May 28, 2009 13:44
529b02
H:\20090528-sws10-sls\LS_p30_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = +10
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
17.2031	3.326416E-2	4.180908E-2	1.281738E-2	1.037598E-2
17.2187	2.624512E-2	3.601074E-2	1.373291E-2	1.098633E-2
17.2187	3.387451E-2	3.479004E-2	1.312256E-2	1.068115E-2
17.2344	3.295898E-2	3.784180E-2	1.281738E-2	1.037598E-2
17.2344	2.349854E-2	3.784180E-2	1.281738E-2	1.007080E-2
17.25	2.685547E-2	3.295898E-2	1.312256E-2	1.007080E-2
17.2656	3.021240E-2	3.814697E-2	1.342773E-2	1.007080E-2
17.2656	3.204346E-2	3.753662E-2	1.342773E-2	1.007080E-2
17.2812	2.868652E-2	3.814697E-2	1.312256E-2	1.098633E-2
17.2812	3.234863E-2	4.180908E-2	1.281738E-2	1.068115E-2
17.2969	3.143311E-2	3.936768E-2	1.403809E-2	1.068115E-2
17.3125	3.448486E-2	4.241943E-2	1.312256E-2	1.068115E-2
17.3125	2.868652E-2	4.180908E-2	1.312256E-2	1.037598E-2
17.3281	3.265381E-2	3.234863E-2	1.342773E-2	1.007080E-2
17.3437	3.051758E-2	4.180908E-2	1.342773E-2	1.007080E-2
17.3437	2.502441E-2	3.662109E-2	1.312256E-2	1.037598E-2
17.3594	3.082275E-2	3.997803E-2	1.342773E-2	1.037598E-2
17.375	3.234863E-2	3.936768E-2	1.342773E-2	1.007080E-2
17.375	3.204346E-2	3.417969E-2	1.373291E-2	1.068115E-2
17.3906	3.417969E-2	3.356934E-2	1.342773E-2	1.007080E-2
17.4062	2.807617E-2	3.692627E-2	1.312256E-2	1.068115E-2
17.4062	3.295898E-2	3.875732E-2	1.342773E-2	1.037598E-2
17.4219	3.448486E-2	3.723145E-2	1.312256E-2	1.068115E-2
17.4375	3.173828E-2	3.051758E-2	1.281738E-2	1.037598E-2
17.4375	3.356934E-2	3.417969E-2	1.342773E-2	1.098633E-2
17.4531	3.021240E-2	4.455566E-2	1.312256E-2	1.098633E-2
17.4687	3.234863E-2	3.326416E-2	1.342773E-2	1.007080E-2
17.4687	2.471924E-2	3.723145E-2	1.342773E-2	1.037598E-2
17.4844	2.868652E-2	3.662109E-2	1.342773E-2	1.037598E-2
17.4844	2.136230E-2	4.180908E-2	1.342773E-2	1.037598E-2
17.5	3.082275E-2	3.570557E-2	1.342773E-2	1.068115E-2
17.5156	2.929687E-2	4.028320E-2	1.312256E-2	1.098633E-2
17.5156	3.692627E-2	3.295898E-2	1.312256E-2	1.068115E-2
17.5312	2.197266E-2	3.784180E-2	1.281738E-2	1.068115E-2
17.5469	2.990723E-2	4.058838E-2	1.373291E-2	1.068115E-2
17.5469	3.448486E-2	3.936768E-2	1.342773E-2	1.007080E-2
17.5625	3.356934E-2	3.417969E-2	1.342773E-2	1.037598E-2
17.5781	3.051758E-2	3.662109E-2	1.281738E-2	1.098633E-2
17.5781	3.234863E-2	3.723145E-2	1.373291E-2	1.068115E-2
17.5937	2.899170E-2	3.814697E-2	1.342773E-2	1.037598E-2
17.5937	2.838135E-2	3.875732E-2	1.373291E-2	1.068115E-2
17.6094	2.807617E-2	4.333496E-2	1.281738E-2	1.037598E-2
17.625	2.868652E-2	3.509521E-2	1.342773E-2	1.037598E-2
17.625	3.234863E-2	3.753662E-2	1.281738E-2	1.068115E-2
17.6406	3.234863E-2	3.631592E-2	1.312256E-2	1.037598E-2
17.6406	3.021240E-2	3.845215E-2	1.312256E-2	1.007080E-2
17.6562	2.593994E-2	3.601074E-2	1.342773E-2	1.068115E-2
17.6719	2.746582E-2	3.509521E-2	1.342773E-2	1.037598E-2
17.6719	2.471924E-2	3.723145E-2	1.342773E-2	1.037598E-2
17.6875	2.929687E-2	3.936768E-2	1.281738E-2	1.068115E-2
17.7031	3.021240E-2	3.479004E-2	1.342773E-2	1.068115E-2
17.7031	3.570557E-2	3.448486E-2	1.312256E-2	9.155273E-3
17.7187	2.899170E-2	3.723145E-2	1.312256E-2	1.037598E-2
17.7344	3.326416E-2	3.753662E-2	1.342773E-2	1.007080E-2
17.7344	2.929687E-2	3.601074E-2	1.342773E-2	1.037598E-2
17.75	3.326416E-2	4.272461E-2	1.373291E-2	1.068115E-2
