dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_a00.data	220	251	349
p30_a01.data	218	249	346
p30_a02.data	218	249	345
p30_a03.data	217	248	342
p30_a04.data	217	248	334
p30_a05.data	216	246	328
p30_a06.data	215	245	321
p30_a07.data	215	245	318
p30_a08.data	213	243	314
p30_a09.data	213	243	312
p30_a10.data	212	241	308
p30_a20.data	212	241	295
p30_a30.data	211	240	291
p30_a40.data	211	240	289
p30_a50.data	209	238	286
p30_a60.data	209	238	282
p30_a70.data	207	236	278
p30_a80.data	208	235	277
p30_a90.data	207	233	281
p35_a00.data	223	275	410
p35_a01.data	222	275	409
p35_a02.data	221	273	404
p35_a03.data	221	273	397
p35_a04.data	219	271	392
p35_a05.data	219	270	391
p35_a06.data	219	270	389
p35_a07.data	219	270	388
p35_a08.data	218	270	387
p35_a09.data	217	268	384
p35_a10.data	217	268	368
p35_a20.data	214	266	354
p35_a30.data	215	266	342
p35_a40.data	215	266	339
p35_a50.data	213	264	333
p35_a60.data	213	264	329
p35_a70.data	212	264	326
p35_a80.data	212	264	326
p35_a90.data	212	263	335
