dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_pa+00_a00.data	229	251	341
p30_pa+00_a01.data	227	249	335
p30_pa+00_a02.data	227	249	329
p30_pa+00_a03.data	227	248	324
p30_pa+00_a04.data	227	247	320
p30_pa+00_a05.data	227	247	317
p30_pa+00_a06.data	226	245	313
p30_pa+00_a07.data	226	245	311
p30_pa+00_a08.data	226	244	307
p30_pa+00_a09.data	225	244	305
p30_pa+00_a10.data	226	243	302
p30_pa+00_a20.data	223	241	285
p30_pa+00_a30.data	223	241	283
p30_pa+00_a40.data	222	239	279
p30_pa+00_a50.data	222	239	277
p30_pa+00_a60.data	222	239	273
p30_pa+00_a70.data	222	239	270
p30_pa+00_a80.data	222	239	268
p30_pa+00_a90.data	221	236	269
p30_pa+05_a00.data	229	251	331
p30_pa+05_a01.data	230	251	328
p30_pa+05_a02.data	229	250	324
p30_pa+05_a03.data	229	250	322
p30_pa+05_a04.data	228	249	316
p30_pa+05_a05.data	227	247	312
p30_pa+05_a06.data	227	247	310
p30_pa+05_a07.data	227	247	307
p30_pa+05_a08.data	228	246	305
p30_pa+05_a09.data	226	245	301
p30_pa+05_a10.data	226	245	299
p30_pa+05_a20.data	225	243	285
p30_pa+05_a30.data	225	243	281
p30_pa+05_a40.data	224	242	280
p30_pa+05_a50.data	224	241	277
p30_pa+05_a60.data	223	241	275
p30_pa+05_a70.data	223	240	272
p30_pa+05_a80.data	221	239	269
p30_pa+05_a90.data	221	239	272
p30_pa+10_a00.data	224	251	346
p30_pa+10_a01.data	224	250	344
p30_pa+10_a02.data	224	250	326
p30_pa+10_a03.data	223	249	322
p30_pa+10_a04.data	223	249	319
p30_pa+10_a05.data	221	247	315
p30_pa+10_a06.data	222	247	312
p30_pa+10_a07.data	220	245	309
p30_pa+10_a08.data	220	244	307
p30_pa+10_a09.data	219	244	305
p30_pa+10_a10.data	218	243	303
p30_pa+10_a20.data	218	243	292
p30_pa+10_a30.data	216	241	287
p30_pa+10_a40.data	216	241	285
p30_pa+10_a50.data	215	240	282
p30_pa+10_a60.data	215	240	279
p30_pa+10_a70.data	214	239	276
p30_pa+10_a80.data	214	239	275
p30_pa+10_a90.data	214	239	280
p30_pa+15_a00.data	225	251	336
p30_pa+15_a01.data	224	249	332
p30_pa+15_a02.data	223	248	331
p30_pa+15_a03.data	223	248	320
p30_pa+15_a04.data	222	247	312
p30_pa+15_a05.data	223	247	310
p30_pa+15_a06.data	222	246	307
p30_pa+15_a07.data	221	246	304
p30_pa+15_a08.data	221	245	301
p30_pa+15_a09.data	220	243	298
p30_pa+15_a10.data	220	243	296
p30_pa+15_a20.data	219	242	285
p30_pa+15_a30.data	218	242	283
p30_pa+15_a40.data	219	242	282
p30_pa+15_a50.data	219	242	280
p30_pa+15_a60.data	217	240	276
p30_pa+15_a70.data	217	240	274
