fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_a00.data	  0.0	-1.904	 6.815	
p30_a01.data	  0.0	-1.830	 6.378	
p30_a02.data	  0.0	-2.016	 6.213	
p30_a03.data	  0.0	-1.949	 5.855	
p30_a04.data	  0.0	-1.606	 5.032	
p30_a05.data	  0.0	-1.486	 4.700	
p30_a06.data	  0.0	-1.405	 4.353	
p30_a07.data	  0.0	-1.303	 3.944	
p30_a08.data	  0.0	-1.101	 3.622	
p30_a09.data	  0.0	-1.059	 3.454	
p30_a10.data	  0.0	-1.111	 3.323	
p30_a20.data	  0.0	-0.867	 2.083	
p30_a30.data	  0.0	-0.850	 1.838	
p30_a40.data	  0.0	-0.913	 1.722	
p30_a50.data	  0.0	-0.849	 1.337	
p30_a60.data	  0.0	-0.960	 1.365	
p30_a70.data	  0.0	-0.726	 0.966	
p30_a80.data	  0.0	-0.858	 0.567	
p30_a90.data	  0.0	-1.126	 0.150	
p30_lights_a00.data	  0.0	 3.194	 0.103	
p30_lights_a01.data	  0.0	-1.931	 6.936	
p30_lights_a02.data	  0.0	-1.837	 6.346	
p30_lights_a03.data	  0.0	-1.910	 6.207	
p30_lights_a04.data	  0.0	-1.910	 5.930	
p30_lights_a05.data	  0.0	-1.739	 5.376	
p30_lights_a06.data	  0.0	-1.561	 4.788	
p30_lights_a07.data	  0.0	-1.399	 4.555	
p30_lights_a08.data	  0.0	-1.463	 4.382	
p30_lights_a09.data	  0.0	-1.191	 3.852	
p30_lights_a10.data	  0.0	-1.061	 3.617	
p30_lights_a20.data	  0.0	-1.067	 2.631	
p30_lights_a30.data	  0.0	-0.841	 2.004	
p30_lights_a40.data	  0.0	-0.859	 1.820	
p30_lights_a50.data	  0.0	-0.914	 1.532	
p30_lights_a60.data	  0.0	-0.953	 1.430	
p30_lights_a70.data	  0.0	-0.857	 1.080	
p30_lights_a80.data	  0.0	-0.881	 0.649	
p30_lights_a90.data	  0.0	-1.141	 0.138	
p33_a00.data	  0.0	-3.263	 11.310	
p33_a01.data	  0.0	-3.228	 10.523	
p33_a02.data	  0.0	-2.975	 9.324	
p33_a03.data	  0.0	-2.793	 8.719	
p33_a04.data	  0.0	-2.158	 7.081	
p33_a05.data	  0.0	-2.066	 6.596	
p33_a06.data	  0.0	-2.089	 6.455	
p33_a07.data	  0.0	-2.062	 6.064	
p33_a08.data	  0.0	-2.096	 5.899	
p33_a09.data	  0.0	-1.629	 5.125	
p33_a10.data	  0.0	-1.598	 4.790	
p33_a20.data	  0.0	-1.170	 2.935	
p33_a30.data	  0.0	-1.087	 2.462	
p33_a40.data	  0.0	-0.924	 2.032	
p33_a50.data	  0.0	-0.975	 1.705	
p33_a60.data	  0.0	-0.949	 1.400	
p33_a70.data	  0.0	-0.896	 1.203	
p33_a80.data	  0.0	-0.945	 0.700	
p33_a90.data	  0.0	-1.175	 0.133	
p36_a00.data	  0.0	-4.298	 17.117	
p36_a01.data	  0.0	-3.076	 11.997	
p36_a02.data	  0.0	-3.362	 12.024	
p36_a03.data	  0.0	-3.687	 12.263	
p36_a04.data	  0.0	-3.813	 11.883	
p36_a05.data	  0.0	-3.686	 10.974	
p36_a06.data	  0.0	-3.130	 9.607	
p36_a07.data	  0.0	-3.236	 9.350	
p36_a08.data	  0.0	-2.639	 8.055	
p36_a09.data	  0.0	-2.255	 7.031	
p36_a10.data	  0.0	-2.122	 6.648	
p36_a20.data	  0.0	-1.396	 3.921	
p36_a30.data	  0.0	-1.359	 2.994	
p36_a40.data	  0.0	-1.178	 2.723	
p36_a50.data	  0.0	-0.925	 2.099	
p36_a60.data	  0.0	-0.911	 1.540	
p36_a70.data	  0.0	-0.925	 1.349	
p36_a80.data	  0.0	-0.871	 0.779	
p36_a90.data	  0.0	-1.221	 0.162	
