June 10, 2009 15:25
529b02
H:\data\LS_p30_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = 0
roll angle = 180
cantilever = 529b02
sample = sws12
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
110.0156	4.272461E-3	1.458740E-1	9.460449E-3	7.019043E-3
110.0312	2.441406E-3	1.416016E-1	9.460449E-3	6.713867E-3
110.0469	2.441406E-3	1.406860E-1	9.765625E-3	6.713867E-3
110.0469	1.220703E-3	1.431274E-1	1.007080E-2	6.713867E-3
110.0625	3.051758E-4	1.406860E-1	9.460449E-3	6.408691E-3
110.0781	4.882812E-3	1.312256E-1	9.765625E-3	6.408691E-3
110.0781	9.155273E-4	1.333618E-1	9.765625E-3	7.019043E-3
110.0937	2.441406E-3	1.397705E-1	1.037598E-2	7.629395E-3
110.1094	5.187988E-3	1.336670E-1	9.460449E-3	7.019043E-3
110.1094	3.662109E-3	1.385498E-1	1.007080E-2	7.324219E-3
110.125	7.629395E-3	1.336670E-1	1.007080E-2	6.713867E-3
110.1406	2.136230E-3	1.376343E-1	9.765625E-3	6.713867E-3
110.1406	6.103516E-3	1.370239E-1	9.765625E-3	6.713867E-3
110.1562	6.103516E-4	1.400757E-1	9.765625E-3	7.019043E-3
110.1562	1.831055E-3	1.431274E-1	9.460449E-3	7.019043E-3
110.1719	-2.746582E-3	1.364136E-1	1.007080E-2	7.324219E-3
110.1875	2.746582E-3	1.367187E-1	1.007080E-2	7.019043E-3
110.1875	5.187988E-3	1.315308E-1	9.155273E-3	6.408691E-3
110.2031	-9.155273E-4	1.379395E-1	9.460449E-3	7.019043E-3
110.2187	-5.187988E-3	1.388550E-1	9.765625E-3	6.713867E-3
110.2187	-6.103516E-4	1.312256E-1	9.765625E-3	7.324219E-3
110.2344	3.051758E-4	1.318359E-1	1.007080E-2	7.019043E-3
110.2344	1.525879E-3	1.312256E-1	9.460449E-3	7.324219E-3
110.25	4.577637E-3	1.434326E-1	9.765625E-3	7.019043E-3
110.2656	3.356934E-3	1.351929E-1	9.765625E-3	6.713867E-3
110.2656	3.051758E-3	1.376343E-1	9.765625E-3	6.103516E-3
110.2812	-9.155273E-4	1.419067E-1	9.460449E-3	6.408691E-3
110.2969	-1.220703E-3	1.333618E-1	9.765625E-3	7.324219E-3
110.2969	3.051758E-3	1.345825E-1	9.765625E-3	7.324219E-3
110.3125	1.831055E-3	1.370239E-1	1.007080E-2	6.713867E-3
110.3281	1.220703E-3	1.403809E-1	1.007080E-2	6.713867E-3
110.3281	4.882812E-3	1.348877E-1	9.460449E-3	7.019043E-3
110.3437	-1.525879E-3	1.391602E-1	9.765625E-3	6.713867E-3
110.3594	1.525879E-3	1.388550E-1	1.007080E-2	6.408691E-3
110.3594	1.525879E-3	1.333618E-1	1.007080E-2	7.019043E-3
110.375	1.525879E-3	1.394653E-1	9.765625E-3	7.019043E-3
110.3906	-3.051758E-4	1.354980E-1	1.007080E-2	7.019043E-3
110.3906	-1.831055E-3	1.394653E-1	1.037598E-2	7.019043E-3
110.4062	-1.220703E-3	1.385498E-1	9.765625E-3	6.713867E-3
110.4062	-1.220703E-3	1.263428E-1	9.460449E-3	7.019043E-3
110.4219	4.272461E-3	1.351929E-1	1.007080E-2	7.324219E-3
110.4375	-5.798340E-3	1.358032E-1	9.765625E-3	6.713867E-3
110.4375	-3.051758E-3	1.351929E-1	1.007080E-2	7.324219E-3
110.4531	3.051758E-4	1.376343E-1	9.765625E-3	7.324219E-3
110.4687	-3.051758E-4	1.300049E-1	9.460449E-3	7.019043E-3
110.4687	8.850098E-3	1.373291E-1	1.007080E-2	6.408691E-3
110.4844	5.798340E-3	1.345825E-1	9.765625E-3	6.713867E-3
110.4844	-9.155273E-4	1.373291E-1	9.460449E-3	6.713867E-3
110.5	-9.155273E-4	1.376343E-1	1.007080E-2	7.324219E-3
110.5156	6.103516E-4	1.354980E-1	9.765625E-3	6.713867E-3
110.5156	-6.103516E-4	1.309204E-1	9.765625E-3	6.713867E-3
110.5312	3.967285E-3	1.361084E-1	1.007080E-2	7.629395E-3
110.5469	-7.629395E-3	1.339722E-1	9.460449E-3	7.019043E-3
110.5469	-4.577637E-3	1.370239E-1	1.007080E-2	7.019043E-3
110.5625	-3.051758E-3	1.370239E-1	1.037598E-2	7.324219E-3
110.5781	-1.831055E-3	1.382446E-1	1.007080E-2	7.019043E-3
110.5781	3.051758E-4	1.379395E-1	9.460449E-3	6.408691E-3
110.5937	-9.155273E-4	1.385498E-1	9.460449E-3	7.019043E-3
110.6094	3.967285E-3	1.388550E-1	9.765625E-3	5.798340E-3
110.6094	-4.882812E-3	1.303101E-1	9.155273E-3	6.713867E-3
110.625	2.441406E-3	1.266479E-1	9.155273E-3	7.324219E-3
110.6406	-6.103516E-4	1.391602E-1	9.765625E-3	7.019043E-3
110.6406	-2.746582E-3	1.354980E-1	1.007080E-2	7.324219E-3
110.6562	0.000000E+0	1.388550E-1	9.765625E-3	6.713867E-3
110.6562	2.136230E-3	1.306152E-1	9.460449E-3	6.408691E-3
110.6719	2.441406E-3	1.385498E-1	9.765625E-3	7.019043E-3
110.6875	4.577637E-3	1.373291E-1	9.765625E-3	7.324219E-3
110.6875	-5.187988E-3	1.309204E-1	9.765625E-3	7.019043E-3
110.7031	-5.187988E-3	1.367187E-1	1.037598E-2	7.019043E-3
110.7187	-3.967285E-3	1.293945E-1	9.460449E-3	7.324219E-3
110.7187	4.577637E-3	1.345825E-1	1.007080E-2	7.324219E-3
110.7344	-1.525879E-3	1.348877E-1	1.007080E-2	6.408691E-3
110.7344	-4.577637E-3	1.361084E-1	1.007080E-2	7.324219E-3
110.75	4.577637E-3	1.370239E-1	1.007080E-2	6.408691E-3
110.7656	4.577637E-3	1.367187E-1	9.765625E-3	7.324219E-3
110.7656	2.746582E-3	1.388550E-1	9.460449E-3	6.713867E-3
110.7812	6.103516E-4	1.419067E-1	9.765625E-3	7.019043E-3
110.7969	0.000000E+0	1.345825E-1	9.765625E-3	6.713867E-3
110.7969	1.831055E-3	1.303101E-1	1.037598E-2	7.019043E-3
110.8125	3.051758E-4	1.361084E-1	9.460449E-3	6.408691E-3
110.8281	-4.272461E-3	1.324463E-1	9.765625E-3	7.019043E-3
110.8281	-2.136230E-3	1.348877E-1	9.765625E-3	6.408691E-3
110.8437	-3.051758E-4	1.382446E-1	1.007080E-2	6.713867E-3
110.8594	0.000000E+0	1.394653E-1	9.765625E-3	7.019043E-3
110.8594	1.525879E-3	1.309204E-1	1.007080E-2	7.019043E-3
110.875	-6.713867E-3	1.403809E-1	9.765625E-3	7.019043E-3
110.8906	-3.356934E-3	1.293945E-1	9.460449E-3	7.019043E-3
110.8906	1.525879E-3	1.376343E-1	1.037598E-2	7.019043E-3
110.9062	-3.051758E-3	1.364136E-1	9.155273E-3	7.019043E-3
110.9062	-1.220703E-3	1.354980E-1	9.765625E-3	7.324219E-3
110.9219	3.051758E-4	1.354980E-1	1.190186E-2	6.103516E-3
110.9375	1.220703E-3	1.397705E-1	2.929687E-2	7.019043E-3
