June 10, 2009 15:34
529b02
H:\data\LS_p36_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = 0
roll angle = 180
cantilever = 529b02
sample = sws12
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
62.4063	-2.716064E-2	-3.387451E-2	1.098633E-2	8.544922E-3
62.4219	-2.014160E-2	-3.112793E-2	1.068115E-2	7.934570E-3
62.4219	-1.403809E-2	-2.624512E-2	1.098633E-2	7.324219E-3
62.4375	-1.739502E-2	-3.356934E-2	1.098633E-2	8.239746E-3
62.4532	-1.770020E-2	-3.204346E-2	1.098633E-2	8.239746E-3
62.4532	-1.220703E-2	-3.356934E-2	1.129150E-2	7.934570E-3
62.4688	-2.075195E-2	-3.051758E-2	1.037598E-2	8.239746E-3
62.4844	-1.495361E-2	-3.295898E-2	1.098633E-2	7.629395E-3
62.4844	-1.525879E-2	-3.570557E-2	1.068115E-2	8.239746E-3
62.5	-2.136230E-2	-3.265381E-2	1.098633E-2	8.239746E-3
62.5157	-2.319336E-2	-3.112793E-2	1.037598E-2	7.629395E-3
62.5157	-2.349854E-2	-3.265381E-2	1.068115E-2	8.544922E-3
62.5313	-2.197266E-2	-3.845215E-2	1.037598E-2	7.629395E-3
62.5469	-1.983643E-2	-3.509521E-2	1.037598E-2	8.544922E-3
62.5469	-2.075195E-2	-3.601074E-2	1.068115E-2	8.239746E-3
62.5625	-1.983643E-2	-4.028320E-2	1.068115E-2	7.629395E-3
62.5782	-1.525879E-2	-3.387451E-2	1.068115E-2	7.934570E-3
62.5782	-2.166748E-2	-2.960205E-2	1.098633E-2	8.544922E-3
62.5938	-1.800537E-2	-3.417969E-2	1.068115E-2	8.239746E-3
62.6094	-2.319336E-2	-3.631592E-2	1.098633E-2	8.239746E-3
62.6094	-2.105713E-2	-3.082275E-2	1.098633E-2	8.239746E-3
62.625	-1.922607E-2	-3.662109E-2	1.129150E-2	8.239746E-3
62.625	-1.647949E-2	-3.906250E-2	1.098633E-2	8.239746E-3
62.6407	-2.014160E-2	-3.021240E-2	1.068115E-2	7.934570E-3
62.6563	-2.197266E-2	-3.509521E-2	1.098633E-2	8.544922E-3
62.6563	-1.770020E-2	-3.845215E-2	1.098633E-2	8.239746E-3
62.6719	-1.403809E-2	-3.295898E-2	1.129150E-2	8.239746E-3
62.6875	-1.647949E-2	-3.509521E-2	1.037598E-2	7.629395E-3
62.6875	-1.983643E-2	-3.540039E-2	1.098633E-2	7.629395E-3
62.7032	-2.899170E-2	-3.570557E-2	1.068115E-2	8.239746E-3
62.7188	-2.227783E-2	-3.570557E-2	1.037598E-2	7.934570E-3
62.7188	-2.227783E-2	-3.723145E-2	1.037598E-2	7.934570E-3
62.7344	-1.617432E-2	-3.540039E-2	1.098633E-2	7.629395E-3
62.7344	-2.471924E-2	-3.479004E-2	1.037598E-2	8.544922E-3
62.75	-1.922607E-2	-3.295898E-2	1.068115E-2	8.544922E-3
62.7657	-2.136230E-2	-3.753662E-2	1.098633E-2	8.239746E-3
62.7657	-2.563477E-2	-3.753662E-2	1.068115E-2	8.239746E-3
62.7813	-1.708984E-2	-3.448486E-2	1.129150E-2	7.934570E-3
62.7813	-2.075195E-2	-2.807617E-2	1.068115E-2	7.934570E-3
62.7969	-1.831055E-2	-3.448486E-2	1.098633E-2	8.544922E-3
62.8125	-2.227783E-2	-3.112793E-2	1.068115E-2	7.934570E-3
62.8125	-2.014160E-2	-3.601074E-2	1.129150E-2	7.324219E-3
62.8282	-1.861572E-2	-3.295898E-2	1.098633E-2	7.934570E-3
62.8438	-2.410889E-2	-3.387451E-2	1.068115E-2	8.544922E-3
62.8438	-2.349854E-2	-3.814697E-2	1.129150E-2	7.629395E-3
62.8594	-1.983643E-2	-3.570557E-2	1.098633E-2	8.544922E-3
62.875	-2.136230E-2	-3.021240E-2	1.068115E-2	8.239746E-3
62.875	-2.502441E-2	-3.692627E-2	1.129150E-2	7.629395E-3
62.8907	-2.105713E-2	-3.570557E-2	1.098633E-2	8.544922E-3
62.9063	-1.281738E-2	-3.448486E-2	1.068115E-2	8.239746E-3
62.9063	-1.953125E-2	-3.326416E-2	1.068115E-2	8.239746E-3
62.9219	-2.471924E-2	-3.295898E-2	1.098633E-2	7.629395E-3
62.9375	-2.349854E-2	-3.387451E-2	1.037598E-2	8.544922E-3
62.9375	-1.556396E-2	-3.875732E-2	1.129150E-2	8.239746E-3
62.9532	-2.227783E-2	-3.326416E-2	1.098633E-2	7.934570E-3
62.9688	-2.136230E-2	-3.326416E-2	1.068115E-2	8.239746E-3
62.9688	-2.349854E-2	-3.784180E-2	1.098633E-2	7.934570E-3
62.9844	-1.953125E-2	-2.807617E-2	1.037598E-2	8.239746E-3
62.9844	-1.739502E-2	-2.990723E-2	1.037598E-2	7.934570E-3
63.0	-2.532959E-2	-3.448486E-2	1.098633E-2	7.629395E-3
63.0157	-2.075195E-2	-3.387451E-2	1.129150E-2	7.934570E-3
63.0157	-2.471924E-2	-3.875732E-2	1.037598E-2	7.934570E-3
