dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion	angle	preload
p30_a00.data	219	252	427	0	30
p30_a01.data	219	252	414	1	30
p30_a02.data	219	250	411	2	30
p30_a03.data	217	249	405	3	30
p30_a04.data	218	248	389	4	30
p30_a05.data	215	246	385	5	30
p30_a06.data	215	246	382	6	30
p30_a07.data	214	244	369	7	30
p30_a08.data	214	245	358	8	30
p30_a09.data	213	243	355	9	30
p30_a10.data	211	241	351	10	30
p30_a20.data	211	241	322	20	30
p30_a30.data	209	239	315	30	30
p30_a40.data	210	239	310	40	30
p30_a50.data	207	237	304	50	30
p30_a60.data	208	237	294	60	30
p30_a70.data	208	237	283	70	30
p30_a80.data	208	237	277	80	30
p30_a90.data	208	237	278	90	30
p30_lights_a00.data	216	251	274	0	30
p30_lights_a01.data	214	250	426	1	30
p30_lights_a02.data	214	250	417	2	30
p30_lights_a03.data	213	248	412	3	30
p30_lights_a04.data	211	247	401	4	30
p30_lights_a05.data	211	247	397	5	30
p30_lights_a06.data	211	246	381	6	30
p30_lights_a07.data	210	245	377	7	30
p30_lights_a08.data	210	244	373	8	30
p30_lights_a09.data	209	245	369	9	30
p30_lights_a10.data	207	243	358	10	30
p30_lights_a20.data	207	242	328	20	30
p30_lights_a30.data	205	240	324	30	30
p30_lights_a40.data	203	238	318	40	30
p30_lights_a50.data	204	238	311	50	30
p30_lights_a60.data	203	236	299	60	30
p30_lights_a70.data	203	236	288	70	30
p30_lights_a80.data	203	236	281	80	30
p30_lights_a90.data	201	233	279	90	30
p33_a00.data	223	267	500	0	33
p33_a01.data	223	267	500	1	33
p33_a02.data	222	265	460	2	33
p33_a03.data	221	264	458	3	33
p33_a04.data	222	264	434	4	33
p33_a05.data	220	262	426	5	33
p33_a06.data	220	262	420	6	33
p33_a07.data	219	262	420	7	33
p33_a08.data	219	262	414	8	33
p33_a09.data	217	259	399	9	33
p33_a10.data	216	258	394	10	33
p33_a20.data	216	258	364	20	33
p33_a30.data	216	257	346	30	33
p33_a40.data	216	257	343	40	33
p33_a50.data	214	255	335	50	33
p33_a60.data	214	255	327	60	33
p33_a70.data	212	252	313	70	33
p33_a80.data	212	253	306	80	33
p33_a90.data	212	253	306	90	33
p36_a00.data	225	284	545	0	36
p36_a01.data	224	278	492	1	36
p36_a02.data	224	279	498	2	36
p36_a03.data	222	278	513	3	36
p36_a04.data	222	277	507	4	36
p36_a05.data	221	276	520	5	36
p36_a06.data	220	275	476	6	36
p36_a07.data	220	276	479	7	36
p36_a08.data	218	273	450	8	36
p36_a09.data	219	273	439	9	36
p36_a10.data	216	271	435	10	36
p36_a20.data	215	269	391	20	36
p36_a30.data	215	269	376	30	36
p36_a40.data	212	267	367	40	36
p36_a50.data	213	267	359	50	36
p36_a60.data	211	265	351	60	36
p36_a70.data	211	265	339	70	36
p36_a80.data	210	264	329	80	36
p36_a90.data	210	264	331	90	36
