fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_a00.data	 -3.0	 0.294	 1.392	
p30_a01.data	 -3.0	 0.136	 1.436	
p30_a02.data	 -3.0	 0.026	 1.399	
p30_a03.data	 -3.0	-0.042	 1.372	
p30_a04.data	 -3.0	-0.054	 1.382	
p30_a05.data	 -3.0	-0.243	 1.368	
p30_a06.data	 -3.0	-0.237	 1.340	
p30_a07.data	 -3.0	-0.268	 1.314	
p30_a08.data	 -3.0	-0.261	 1.258	
p30_a09.data	 -3.0	-0.305	 1.249	
p30_a10.data	 -3.0	-0.355	 1.214	
p30_a20.data	 -3.0	-0.716	 1.008	
p30_a30.data	 -3.0	-0.804	 1.012	
p30_a40.data	 -3.0	-0.848	 1.061	
p30_a50.data	 -3.0	-0.994	 1.028	
p30_a60.data	 -3.0	-1.143	 0.996	
p30_a70.data	 -3.0	-1.319	 0.843	
p30_a80.data	 -3.0	-1.543	 0.676	
p30_a90.data	 -3.0	-1.842	 0.359	
p33_a00.data	 -3.0	-0.084	 2.497	
p33_a01.data	 -3.0	-0.130	 2.448	
p33_a02.data	 -3.0	-0.263	 2.465	
p33_a03.data	 -3.0	-0.359	 2.407	
p33_a04.data	 -3.0	-0.350	 2.383	
p33_a05.data	 -3.0	-0.423	 2.248	
p33_a06.data	 -3.0	-0.485	 2.202	
p33_a07.data	 -3.0	-0.329	 1.935	
p33_a08.data	 -3.0	-0.009	 1.737	
p33_a09.data	 -3.0	-0.165	 1.696	
p33_a10.data	 -3.0	-0.116	 1.631	
p33_a20.data	 -3.0	-0.451	 1.324	
p33_a30.data	 -3.0	-0.664	 1.014	
p33_a40.data	 -3.0	-0.737	 1.064	
p33_a50.data	 -3.0	-0.836	 1.014	
p33_a60.data	 -3.0	-0.903	 1.106	
p33_a70.data	 -3.0	-1.272	 0.990	
p33_a80.data	 -3.0	-1.506	 0.769	
p33_a90.data	 -3.0	-1.885	 0.366	
p36_a00.data	 -3.0	-0.416	 3.850	
p36_a01.data	 -3.0	-0.441	 3.788	
p36_a02.data	 -3.0	-0.487	 3.486	
p36_a03.data	 -3.0	-0.379	 3.322	
p36_a04.data	 -3.0	-0.494	 3.183	
p36_a05.data	 -3.0	-0.478	 3.163	
p36_a06.data	 -3.0	-0.357	 2.885	
p36_a07.data	 -3.0	-0.409	 2.823	
p36_a08.data	 -3.0	-0.436	 2.764	
p36_a09.data	 -3.0	-0.508	 2.663	
p36_a10.data	 -3.0	-0.619	 2.641	
p36_a20.data	 -3.0	-0.319	 1.698	
p36_a30.data	 -3.0	-0.520	 1.387	
p36_a40.data	 -3.0	-0.681	 1.118	
p36_a50.data	 -3.0	-0.695	 0.958	
p36_a60.data	 -3.0	-0.816	 0.994	
p36_a70.data	 -3.0	-0.975	 1.076	
p36_a80.data	 -3.0	-1.408	 0.854	
p36_a90.data	 -3.0	-2.005	 0.414	
