dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_a00.data	232	254	324
p30_a01.data	230	249	320
p30_a02.data	231	249	320
p30_a03.data	229	248	316
p30_a04.data	227	245	315
p30_a05.data	228	245	311
p30_a06.data	227	244	310
p30_a07.data	227	244	310
p30_a08.data	226	243	304
p30_a09.data	226	243	302
p30_a10.data	224	241	299
p30_a20.data	223	239	288
p30_a30.data	223	239	284
p30_a40.data	222	238	278
p30_a50.data	222	238	276
p30_a60.data	220	236	272
p30_a70.data	220	236	269
p30_a80.data	221	236	266
p30_a90.data	219	234	266
p33_a00.data	235	265	372
p33_a01.data	235	265	370
p33_a02.data	234	264	367
p33_a03.data	235	265	366
p33_a04.data	232	262	362
p33_a05.data	233	260	362
p33_a06.data	231	260	359
p33_a07.data	229	258	356
p33_a08.data	229	258	338
p33_a09.data	227	256	342
p33_a10.data	227	257	333
p33_a20.data	226	254	315
p33_a30.data	223	252	317
p33_a40.data	224	252	310
p33_a50.data	223	251	305
p33_a60.data	223	251	298
p33_a70.data	221	249	294
p33_a80.data	221	249	292
p33_a90.data	221	249	294
p36_a00.data	239	283	418
p36_a01.data	236	281	416
p36_a02.data	237	280	410
p36_a03.data	235	278	403
p36_a04.data	236	276	401
p36_a05.data	234	276	400
p36_a06.data	231	274	393
p36_a07.data	232	274	390
p36_a08.data	230	272	382
p36_a09.data	230	272	383
p36_a10.data	228	270	381
p36_a20.data	226	268	353
p36_a30.data	226	268	344
p36_a40.data	226	266	345
p36_a50.data	224	266	340
p36_a60.data	224	266	330
p36_a70.data	224	266	322
p36_a80.data	222	264	319
p36_a90.data	223	264	323
