dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_a00.data	237	253	406
p30_a01.data	237	250	399
p30_a02.data	236	251	389
p30_a03.data	237	249	383
p30_a04.data	235	247	371
p30_a05.data	234	247	362
p30_a06.data	233	246	356
p30_a07.data	232	245	350
p30_a08.data	232	244	347
p30_a09.data	231	243	344
p30_a10.data	231	243	340
p30_a20.data	230	242	318
p30_a30.data	230	242	313
p30_a40.data	228	240	307
p30_a50.data	228	240	301
p30_a60.data	227	239	294
p30_a70.data	227	238	288
p30_a80.data	225	237	280
p30_a90.data	225	237	278
p33_a00.data	240	265	576
p33_a01.data	239	265	523
p33_a02.data	239	265	481
p33_a03.data	237	264	461
p33_a04.data	235	261	440
p33_a05.data	235	261	429
p33_a06.data	233	260	417
p33_a07.data	233	259	406
p33_a08.data	231	258	396
p33_a09.data	231	257	391
p33_a10.data	230	256	384
p33_a20.data	228	254	353
p33_a30.data	228	254	344
p33_a40.data	226	252	338
p33_a50.data	226	252	333
p33_a60.data	225	251	324
p33_a70.data	225	251	318
p33_a80.data	223	249	310
p33_a90.data	223	249	307
p36_a00.data	241	283	635
p36_a01.data	239	279	626
p36_a02.data	239	280	615
p36_a03.data	237	277	609
p36_a04.data	237	277	539
p36_a05.data	235	276	523
p36_a06.data	234	274	498
p36_a07.data	234	274	471
p36_a08.data	233	272	461
p36_a09.data	232	272	448
p36_a10.data	230	270	439
p36_a20.data	229	268	391
p36_a30.data	229	269	376
p36_a40.data	227	267	371
p36_a50.data	227	267	362
p36_a60.data	226	266	355
p36_a70.data	226	266	348
p36_a80.data	224	264	341
p36_a90.data	225	264	340
