fileName	anglePitch	forceMaxAdhesion	forceMaxShear
../027-20091203-sws13-ls/data/separated/p30-a00.data	 -3.0	 0.168	 1.066	
../027-20091203-sws13-ls/data/separated/p30-a01.data	 -3.0	 0.075	 1.038	
../027-20091203-sws13-ls/data/separated/p30-a02.data	 -3.0	 0.034	 1.037	
../027-20091203-sws13-ls/data/separated/p30-a03.data	 -3.0	-0.026	 1.037	
../027-20091203-sws13-ls/data/separated/p30-a04.data	 -3.0	-0.039	 1.033	
../027-20091203-sws13-ls/data/separated/p30-a05.data	 -3.0	-0.094	 1.034	
../027-20091203-sws13-ls/data/separated/p30-a06.data	 -3.0	-0.126	 0.997	
../027-20091203-sws13-ls/data/separated/p30-a07.data	 -3.0	-0.163	 1.006	
../027-20091203-sws13-ls/data/separated/p30-a08.data	 -3.0	-0.199	 0.957	
../027-20091203-sws13-ls/data/separated/p30-a09.data	 -3.0	-0.241	 0.963	
../027-20091203-sws13-ls/data/separated/p30-a10.data	 -3.0	-0.241	 0.926	
../027-20091203-sws13-ls/data/separated/p30-a20.data	 -3.0	-0.577	 0.903	
../027-20091203-sws13-ls/data/separated/p30-a30.data	 -3.0	-0.693	 0.860	
../027-20091203-sws13-ls/data/separated/p30-a40.data	 -3.0	-0.673	 0.802	
../027-20091203-sws13-ls/data/separated/p30-a50.data	 -3.0	-0.802	 0.788	
../027-20091203-sws13-ls/data/separated/p30-a60.data	 -3.0	-0.931	 0.741	
../027-20091203-sws13-ls/data/separated/p30-a70.data	 -3.0	-0.856	 0.543	
../027-20091203-sws13-ls/data/separated/p30-a80.data	 -3.0	-0.908	 0.365	
../027-20091203-sws13-ls/data/separated/p30-a90.data	 -3.0	-0.878	 0.132	
../027-20091203-sws13-ls/data/separated/p33-a00.data	 -3.0	 0.174	 1.620	
../027-20091203-sws13-ls/data/separated/p33-a01.data	 -3.0	 0.172	 1.491	
../027-20091203-sws13-ls/data/separated/p33-a02.data	 -3.0	 0.128	 1.452	
../027-20091203-sws13-ls/data/separated/p33-a03.data	 -3.0	 0.049	 1.506	
../027-20091203-sws13-ls/data/separated/p33-a04.data	 -3.0	 0.022	 1.429	
../027-20091203-sws13-ls/data/separated/p33-a05.data	 -3.0	 0.080	 1.300	
../027-20091203-sws13-ls/data/separated/p33-a06.data	 -3.0	 0.065	 1.287	
../027-20091203-sws13-ls/data/separated/p33-a07.data	 -3.0	 0.077	 1.208	
../027-20091203-sws13-ls/data/separated/p33-a08.data	 -3.0	 0.108	 1.124	
../027-20091203-sws13-ls/data/separated/p33-a09.data	 -3.0	 0.047	 1.125	
../027-20091203-sws13-ls/data/separated/p33-a10.data	 -3.0	 0.026	 1.103	
../027-20091203-sws13-ls/data/separated/p33-a20.data	 -3.0	-0.287	 0.996	
../027-20091203-sws13-ls/data/separated/p33-a30.data	 -3.0	-0.514	 0.988	
../027-20091203-sws13-ls/data/separated/p33-a40.data	 -3.0	-0.554	 0.931	
../027-20091203-sws13-ls/data/separated/p33-a50.data	 -3.0	-0.623	 0.878	
../027-20091203-sws13-ls/data/separated/p33-a60.data	 -3.0	-0.796	 0.840	
../027-20091203-sws13-ls/data/separated/p33-a70.data	 -3.0	-0.934	 0.712	
../027-20091203-sws13-ls/data/separated/p33-a80.data	 -3.0	-1.106	 0.490	
../027-20091203-sws13-ls/data/separated/p33-a90.data	 -3.0	-0.975	 0.148	
../027-20091203-sws13-ls/data/separated/p36-a00.data	 -3.0	 0.432	 1.790	
../027-20091203-sws13-ls/data/separated/p36-a01.data	 -3.0	 0.392	 1.804	
../027-20091203-sws13-ls/data/separated/p36-a02.data	 -3.0	 0.320	 1.822	
../027-20091203-sws13-ls/data/separated/p36-a03.data	 -3.0	 0.282	 1.745	
../027-20091203-sws13-ls/data/separated/p36-a04.data	 -3.0	 0.236	 1.739	
../027-20091203-sws13-ls/data/separated/p36-a05.data	 -3.0	 0.154	 1.754	
../027-20091203-sws13-ls/data/separated/p36-a06.data	 -3.0	 0.143	 1.724	
../027-20091203-sws13-ls/data/separated/p36-a07.data	 -3.0	 0.092	 1.693	
../027-20091203-sws13-ls/data/separated/p36-a08.data	 -3.0	 0.081	 1.624	
../027-20091203-sws13-ls/data/separated/p36-a09.data	 -3.0	 0.034	 1.629	
../027-20091203-sws13-ls/data/separated/p36-a10.data	 -3.0	-0.008	 1.610	
../027-20091203-sws13-ls/data/separated/p36-a20.data	 -3.0	-0.117	 1.197	
../027-20091203-sws13-ls/data/separated/p36-a30.data	 -3.0	-0.305	 1.081	
../027-20091203-sws13-ls/data/separated/p36-a40.data	 -3.0	-0.376	 1.056	
../027-20091203-sws13-ls/data/separated/p36-a50.data	 -3.0	-0.480	 0.994	
../027-20091203-sws13-ls/data/separated/p36-a60.data	 -3.0	-0.625	 0.899	
../027-20091203-sws13-ls/data/separated/p36-a70.data	 -3.0	-0.865	 0.796	
../027-20091203-sws13-ls/data/separated/p36-a80.data	 -3.0	-1.183	 0.575	
../027-20091203-sws13-ls/data/separated/p36-a90.data	 -3.0	-1.222	 0.174	
