December 03, 2009 16:51
629a03
H:\027-20091203-sws13-ls\traj\LS_p33_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -3
roll angle = 200
cantilever = 629a03
sample = sws13
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
140.1406	-4.455566E-2	-4.943848E-2	7.934570E-3	5.493164E-3
140.1406	-4.791260E-2	-4.608154E-2	8.239746E-3	5.187988E-3
140.1563	-4.150391E-2	-4.547119E-2	8.239746E-3	5.187988E-3
140.1563	-4.669189E-2	-4.180908E-2	8.239746E-3	5.493164E-3
140.1719	-4.974365E-2	-4.364014E-2	7.934570E-3	5.187988E-3
140.1875	-5.218506E-2	-4.302979E-2	7.934570E-3	5.493164E-3
140.1875	-4.669189E-2	-4.119873E-2	7.629395E-3	5.493164E-3
140.2031	-4.699707E-2	-4.882812E-2	8.239746E-3	5.493164E-3
140.2188	-4.852295E-2	-4.943848E-2	8.239746E-3	5.187988E-3
140.2188	-4.608154E-2	-4.486084E-2	7.934570E-3	4.577637E-3
140.2344	-4.547119E-2	-4.730225E-2	8.239746E-3	5.493164E-3
140.25	-4.882812E-2	-4.486084E-2	8.239746E-3	5.187988E-3
140.25	-4.974365E-2	-4.638672E-2	7.934570E-3	5.493164E-3
140.2656	-4.669189E-2	-4.302979E-2	8.544922E-3	6.103516E-3
140.2813	-4.791260E-2	-4.821777E-2	8.239746E-3	4.882812E-3
140.2813	-5.065918E-2	-4.913330E-2	7.934570E-3	5.493164E-3
140.2969	-5.371094E-2	-4.302979E-2	8.544922E-3	4.882812E-3
140.2969	-4.211426E-2	-4.760742E-2	7.934570E-3	5.187988E-3
140.3125	-4.730225E-2	-4.150391E-2	8.239746E-3	5.493164E-3
140.3281	-4.760742E-2	-5.371094E-2	7.934570E-3	5.493164E-3
140.3281	-4.547119E-2	-4.608154E-2	7.934570E-3	5.187988E-3
140.3438	-4.455566E-2	-4.821777E-2	7.934570E-3	5.187988E-3
140.3438	-5.065918E-2	-4.302979E-2	8.239746E-3	5.493164E-3
140.3594	-4.638672E-2	-4.638672E-2	8.239746E-3	5.493164E-3
140.375	-4.241943E-2	-4.638672E-2	8.239746E-3	5.187988E-3
140.375	-4.730225E-2	-4.699707E-2	7.629395E-3	5.798340E-3
140.3906	-4.608154E-2	-3.784180E-2	8.239746E-3	4.882812E-3
140.4063	-5.065918E-2	-5.035400E-2	8.239746E-3	5.187988E-3
140.4063	-4.730225E-2	-4.394531E-2	8.239746E-3	5.187988E-3
140.4219	-4.669189E-2	-4.913330E-2	8.544922E-3	5.187988E-3
140.4375	-4.394531E-2	-4.486084E-2	8.544922E-3	5.798340E-3
140.4375	-4.394531E-2	-4.760742E-2	7.934570E-3	5.187988E-3
140.4531	-4.119873E-2	-4.638672E-2	8.544922E-3	5.187988E-3
140.4688	-5.157471E-2	-4.302979E-2	7.934570E-3	5.187988E-3
140.4688	-4.913330E-2	-4.028320E-2	8.544922E-3	5.187988E-3
140.4844	-4.272461E-2	-4.455566E-2	8.239746E-3	4.577637E-3
140.5	-4.577637E-2	-4.119873E-2	8.544922E-3	5.187988E-3
140.5	-4.455566E-2	-4.516602E-2	7.934570E-3	5.493164E-3
140.5156	-4.028320E-2	-4.089355E-2	7.629395E-3	5.493164E-3
140.5313	-5.065918E-2	-4.638672E-2	8.239746E-3	5.187988E-3
140.5313	-4.272461E-2	-4.180908E-2	7.934570E-3	5.798340E-3
140.5469	-4.974365E-2	-4.699707E-2	7.629395E-3	5.187988E-3
140.5469	-5.096436E-2	-4.211426E-2	8.239746E-3	5.493164E-3
140.5625	-5.004883E-2	-4.730225E-2	7.934570E-3	4.882812E-3
140.5781	-4.089355E-2	-4.455566E-2	8.239746E-3	5.187988E-3
140.5781	-5.035400E-2	-3.723145E-2	8.239746E-3	4.882812E-3
140.5938	-5.401611E-2	-4.943848E-2	8.544922E-3	5.798340E-3
140.6094	-4.669189E-2	-4.730225E-2	8.239746E-3	5.493164E-3
140.6094	-4.638672E-2	-5.096436E-2	8.239746E-3	4.882812E-3
140.625	-4.730225E-2	-4.394531E-2	7.934570E-3	4.882812E-3
140.6406	-4.638672E-2	-4.821777E-2	8.239746E-3	5.493164E-3
140.6406	-4.364014E-2	-4.943848E-2	7.934570E-3	5.493164E-3
140.6563	-4.699707E-2	-4.852295E-2	7.629395E-3	5.493164E-3
140.6563	-4.089355E-2	-4.241943E-2	7.934570E-3	5.493164E-3
140.6719	-4.760742E-2	-4.699707E-2	8.239746E-3	5.798340E-3
140.6875	-4.821777E-2	-4.425049E-2	8.850098E-3	5.187988E-3
140.6875	-5.249023E-2	-4.730225E-2	8.239746E-3	4.882812E-3
140.7031	-5.432129E-2	-4.394531E-2	7.629395E-3	6.103516E-3
140.7031	-4.333496E-2	-4.791260E-2	7.934570E-3	5.187988E-3
140.7188	-4.638672E-2	-4.119873E-2	8.239746E-3	5.187988E-3
140.7344	-4.089355E-2	-4.364014E-2	7.934570E-3	5.798340E-3
140.7344	-4.974365E-2	-4.669189E-2	7.934570E-3	5.493164E-3
140.75	-4.943848E-2	-4.730225E-2	7.934570E-3	5.493164E-3
140.7656	-5.279541E-2	-4.791260E-2	8.544922E-3	5.798340E-3
140.7656	-4.699707E-2	-3.845215E-2	7.934570E-3	5.493164E-3
140.7813	-5.157471E-2	-4.486084E-2	8.239746E-3	5.493164E-3
140.7969	-4.425049E-2	-4.577637E-2	8.239746E-3	5.493164E-3
140.7969	-5.401611E-2	-4.730225E-2	8.239746E-3	5.187988E-3
140.8125	-4.638672E-2	-4.882812E-2	8.239746E-3	5.187988E-3
140.8281	-5.340576E-2	-4.577637E-2	7.629395E-3	5.493164E-3
140.8281	-5.065918E-2	-4.241943E-2	7.934570E-3	5.187988E-3
140.8438	-5.249023E-2	-4.577637E-2	7.934570E-3	5.798340E-3
140.8594	-4.821777E-2	-4.486084E-2	7.324219E-3	5.187988E-3
140.8594	-4.852295E-2	-4.943848E-2	8.239746E-3	5.798340E-3
140.875	-4.638672E-2	-4.089355E-2	7.934570E-3	5.187988E-3
140.8906	-4.669189E-2	-4.241943E-2	7.934570E-3	5.493164E-3
140.8906	-4.882812E-2	-5.126953E-2	8.239746E-3	5.493164E-3
140.9063	-5.065918E-2	-4.882812E-2	8.239746E-3	5.798340E-3
140.9063	-4.302979E-2	-5.218506E-2	8.544922E-3	5.187988E-3
140.9219	-4.730225E-2	-4.913330E-2	7.934570E-3	5.493164E-3
140.9375	-4.852295E-2	-5.523682E-2	8.544922E-3	5.493164E-3
140.9375	-5.187988E-2	-4.394531E-2	1.556396E-2	5.493164E-3
140.9531	-4.577637E-2	-4.760742E-2	2.868652E-2	5.493164E-3
140.9688	-4.730225E-2	-4.699707E-2	5.249023E-2	5.493164E-3
140.9688	-4.699707E-2	-4.974365E-2	7.263184E-2	5.493164E-3
140.9844	-4.089355E-2	-5.249023E-2	8.941650E-2	4.577637E-3
141.0	-4.821777E-2	-5.554199E-2	1.135254E-1	4.882812E-3
141.0	-5.157471E-2	-5.310059E-2	1.364136E-1	5.187988E-3
141.0156	-4.516602E-2	-6.256104E-2	1.495361E-1	5.187988E-3
141.0313	-5.096436E-2	-5.371094E-2	1.736450E-1	5.187988E-3
141.0313	-5.035400E-2	-5.340576E-2	1.959229E-1	5.187988E-3
141.0469	-5.340576E-2	-5.615234E-2	2.093506E-1	5.798340E-3
141.0469	-5.493164E-2	-5.523682E-2	2.334595E-1	4.882812E-3
141.0625	-5.645752E-2	-6.195068E-2	2.536011E-1	5.798340E-3
141.0781	-5.737305E-2	-5.828857E-2	2.694702E-1	5.493164E-3
141.0781	-4.730225E-2	-6.011963E-2	2.941895E-1	5.187988E-3
141.0938	-5.432129E-2	-6.469727E-2	3.152466E-1	5.187988E-3
141.0938	-5.004883E-2	-6.683350E-2	3.289795E-1	5.798340E-3
141.1094	-4.730225E-2	-6.988525E-2	3.512573E-1	5.187988E-3
141.125	-5.126953E-2	-6.866455E-2	3.753662E-1	5.493164E-3
141.125	-5.523682E-2	-7.446289E-2	3.894043E-1	5.187988E-3
141.1406	-5.462646E-2	-7.293701E-2	4.141235E-1	4.882812E-3
141.1563	-5.310059E-2	-7.629395E-2	4.367065E-1	5.493164E-3
141.1563	-5.523682E-2	-7.537842E-2	4.489136E-1	4.882812E-3
141.1719	-5.462646E-2	-7.110596E-2	4.733276E-1	5.798340E-3
141.1875	-5.950928E-2	-7.385254E-2	4.928589E-1	5.493164E-3
141.1875	-5.828857E-2	-7.171631E-2	5.084229E-1	5.493164E-3
141.2031	-5.828857E-2	-7.568359E-2	5.331421E-1	5.493164E-3
141.2188	-6.042480E-2	-8.026123E-2	5.551147E-1	5.493164E-3
141.2188	-5.187988E-2	-7.537842E-2	5.676270E-1	5.493164E-3
141.2344	-5.584717E-2	-7.965088E-2	5.932617E-1	5.187988E-3
141.25	-5.859375E-2	-8.361816E-2	6.149292E-1	5.493164E-3
141.25	-6.378174E-2	-7.995605E-2	6.286621E-1	5.187988E-3
141.2656	-5.432129E-2	-7.720947E-2	6.497192E-1	5.493164E-3
141.2813	-6.164551E-2	-7.843018E-2	6.747437E-1	5.187988E-3
141.2813	-5.584717E-2	-8.758545E-2	6.875610E-1	5.493164E-3
141.2969	-5.737305E-2	-8.483887E-2	7.119751E-1	4.882812E-3
141.2969	-6.103516E-2	-9.277344E-2	7.348633E-1	5.798340E-3
141.3125	-6.042480E-2	-9.185791E-2	7.479858E-1	5.493164E-3
141.3281	-6.347656E-2	-8.880615E-2	7.696533E-1	5.493164E-3
141.3281	-5.737305E-2	-8.941650E-2	7.943726E-1	5.798340E-3
141.3438	-5.493164E-2	-9.582520E-2	8.074951E-1	5.187988E-3
141.3594	-5.645752E-2	-8.941650E-2	8.322144E-1	5.493164E-3
141.3594	-6.042480E-2	-9.796143E-2	8.551025E-1	4.882812E-3
141.375	-6.317139E-2	-1.022339E-1	8.673096E-1	5.187988E-3
141.3906	-5.950928E-2	-9.887695E-2	8.911133E-1	5.493164E-3
141.3906	-6.347656E-2	-1.004028E-1	9.121704E-1	5.798340E-3
141.4063	-6.378174E-2	-1.010132E-1	9.268188E-1	5.187988E-3
141.4063	-6.591797E-2	-9.948730E-2	9.509277E-1	4.882812E-3
141.4219	-6.286621E-2	-1.007080E-1	9.738159E-1	5.187988E-3
141.4375	-6.744385E-2	-1.065063E-1	9.869385E-1	5.493164E-3
141.4375	-5.981445E-2	-1.098633E-1	1.011658E+0	5.187988E-3
141.4531	-6.195068E-2	-1.068115E-1	1.033936E+0	5.187988E-3
141.4531	-6.988525E-2	-1.101685E-1	1.046143E+0	5.493164E-3
141.4688	-6.927490E-2	-1.092529E-1	1.068420E+0	5.187988E-3
