fileName	anglePitch	forceMaxAdhesion	forceMaxShear
../028-20091208-sws14-ls/data/separated/p30_a00.data	 -3.0	 0.989	 3.167	
../028-20091208-sws14-ls/data/separated/p30_a01.data	 -3.0	 0.940	 3.111	
../028-20091208-sws14-ls/data/separated/p30_a02.data	 -3.0	 0.835	 3.270	
../028-20091208-sws14-ls/data/separated/p30_a03.data	 -3.0	 0.789	 3.346	
../028-20091208-sws14-ls/data/separated/p30_a04.data	 -3.0	 0.807	 3.120	
../028-20091208-sws14-ls/data/separated/p30_a05.data	 -3.0	 0.665	 3.021	
../028-20091208-sws14-ls/data/separated/p30_a06.data	 -3.0	 0.676	 3.013	
../028-20091208-sws14-ls/data/separated/p30_a07.data	 -3.0	 0.581	 2.994	
../028-20091208-sws14-ls/data/separated/p30_a08.data	 -3.0	 0.482	 2.946	
../028-20091208-sws14-ls/data/separated/p30_a09.data	 -3.0	 0.461	 2.876	
../028-20091208-sws14-ls/data/separated/p30_a10.data	 -3.0	 0.409	 2.760	
../028-20091208-sws14-ls/data/separated/p30_a20.data	 -3.0	-0.123	 2.403	
../028-20091208-sws14-ls/data/separated/p30_a30.data	 -3.0	-0.174	 2.511	
../028-20091208-sws14-ls/data/separated/p30_a40.data	 -3.0	-0.356	 2.466	
../028-20091208-sws14-ls/data/separated/p30_a50.data	 -3.0	-0.503	 2.477	
../028-20091208-sws14-ls/data/separated/p30_a60.data	 -3.0	-0.900	 2.124	
../028-20091208-sws14-ls/data/separated/p30_a70.data	 -3.0	-1.552	 0.706	
../028-20091208-sws14-ls/data/separated/p30_a80.data	 -3.0	-1.905	 1.386	
../028-20091208-sws14-ls/data/separated/p30_a90.data	 -3.0	-2.238	 0.203	
../028-20091208-sws14-ls/data/separated/p33_a00.data	 -3.0	 1.665	 3.497	
../028-20091208-sws14-ls/data/separated/p33_a01.data	 -3.0	 1.621	 3.427	
../028-20091208-sws14-ls/data/separated/p33_a02.data	 -3.0	 1.549	 3.489	
../028-20091208-sws14-ls/data/separated/p33_a03.data	 -3.0	 1.477	 3.503	
../028-20091208-sws14-ls/data/separated/p33_a04.data	 -3.0	 1.279	 3.466	
../028-20091208-sws14-ls/data/separated/p33_a05.data	 -3.0	 1.315	 3.548	
../028-20091208-sws14-ls/data/separated/p33_a06.data	 -3.0	 1.284	 3.488	
../028-20091208-sws14-ls/data/separated/p33_a07.data	 -3.0	 1.242	 3.476	
../028-20091208-sws14-ls/data/separated/p33_a08.data	 -3.0	 1.169	 3.440	
../028-20091208-sws14-ls/data/separated/p33_a09.data	 -3.0	 1.096	 3.310	
../028-20091208-sws14-ls/data/separated/p33_a10.data	 -3.0	 1.020	 3.215	
../028-20091208-sws14-ls/data/separated/p33_a20.data	 -3.0	 0.508	 3.127	
../028-20091208-sws14-ls/data/separated/p33_a30.data	 -3.0	 0.241	 2.811	
../028-20091208-sws14-ls/data/separated/p33_a40.data	 -3.0	 0.096	 2.787	
../028-20091208-sws14-ls/data/separated/p33_a50.data	 -3.0	-0.107	 2.603	
../028-20091208-sws14-ls/data/separated/p33_a60.data	 -3.0	-0.544	 2.492	
../028-20091208-sws14-ls/data/separated/p33_a70.data	 -3.0	-1.140	 2.273	
../028-20091208-sws14-ls/data/separated/p33_a80.data	 -3.0	-1.859	 1.559	
../028-20091208-sws14-ls/data/separated/p33_a90.data	 -3.0	-2.286	 0.183	
../028-20091208-sws14-ls/data/separated/p36_a00.data	 -3.0	 2.545	 3.862	
../028-20091208-sws14-ls/data/separated/p36_a01.data	 -3.0	 2.456	 3.913	
../028-20091208-sws14-ls/data/separated/p36_a02.data	 -3.0	 2.364	 3.958	
../028-20091208-sws14-ls/data/separated/p36_a03.data	 -3.0	 2.307	 3.933	
../028-20091208-sws14-ls/data/separated/p36_a04.data	 -3.0	 2.172	 4.027	
../028-20091208-sws14-ls/data/separated/p36_a05.data	 -3.0	 2.178	 4.074	
../028-20091208-sws14-ls/data/separated/p36_a06.data	 -3.0	 2.035	 3.897	
../028-20091208-sws14-ls/data/separated/p36_a07.data	 -3.0	 2.018	 3.900	
../028-20091208-sws14-ls/data/separated/p36_a08.data	 -3.0	 1.967	 3.916	
../028-20091208-sws14-ls/data/separated/p36_a09.data	 -3.0	 1.855	 3.901	
../028-20091208-sws14-ls/data/separated/p36_a10.data	 -3.0	 1.826	 3.708	
../028-20091208-sws14-ls/data/separated/p36_a20.data	 -3.0	 1.124	 3.645	
../028-20091208-sws14-ls/data/separated/p36_a30.data	 -3.0	 0.748	 3.318	
../028-20091208-sws14-ls/data/separated/p36_a40.data	 -3.0	 0.629	 3.113	
../028-20091208-sws14-ls/data/separated/p36_a50.data	 -3.0	 0.383	 2.893	
../028-20091208-sws14-ls/data/separated/p36_a60.data	 -3.0	-0.071	 2.760	
../028-20091208-sws14-ls/data/separated/p36_a70.data	 -3.0	-0.767	 2.487	
../028-20091208-sws14-ls/data/separated/p36_a80.data	 -3.0	-1.663	 1.729	
../028-20091208-sws14-ls/data/separated/p36_a90.data	 -3.0	-2.289	 0.219	
