December 08, 2009 15:11
629a03
H:\028-20091208-sws14-ls\traj\LS_p36_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -3
roll angle = 70
cantilever = 629a03
sample = sws14
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
80.1094	-3.784180E-2	-1.220703E-2	7.934570E-3	4.882812E-3
80.125	-3.234863E-2	-7.324219E-3	7.324219E-3	4.882812E-3
80.1407	-3.051758E-2	-1.159668E-2	7.324219E-3	5.187988E-3
80.1407	-2.655029E-2	-7.019043E-3	7.934570E-3	5.187988E-3
80.1563	-3.326416E-2	-6.713867E-3	7.934570E-3	4.882812E-3
80.1719	-2.471924E-2	-1.434326E-2	7.629395E-3	5.187988E-3
80.1719	-2.319336E-2	-6.103516E-3	7.629395E-3	5.187988E-3
80.1875	-2.960205E-2	-3.051758E-3	7.934570E-3	4.577637E-3
80.2032	-3.509521E-2	3.356934E-3	7.934570E-3	5.187988E-3
80.2032	-2.502441E-2	-8.239746E-3	7.629395E-3	4.882812E-3
80.2188	-3.143311E-2	-4.882812E-3	7.934570E-3	5.187988E-3
80.2188	-2.380371E-2	-9.460449E-3	7.629395E-3	4.882812E-3
80.2344	-3.204346E-2	-1.007080E-2	7.629395E-3	5.493164E-3
80.25	-2.838135E-2	-1.556396E-2	8.239746E-3	4.882812E-3
80.25	-2.899170E-2	-1.525879E-3	7.934570E-3	5.187988E-3
80.2657	-2.502441E-2	-6.103516E-3	7.324219E-3	4.882812E-3
80.2813	-2.838135E-2	-5.493164E-3	7.934570E-3	5.493164E-3
80.2813	-2.624512E-2	-8.544922E-3	8.239746E-3	5.493164E-3
80.2969	-3.509521E-2	-1.342773E-2	7.324219E-3	5.493164E-3
80.3125	-3.417969E-2	-9.155273E-4	7.934570E-3	4.577637E-3
80.3125	-2.777100E-2	-4.882812E-3	8.239746E-3	5.493164E-3
80.3282	-3.021240E-2	-1.525879E-3	7.934570E-3	4.882812E-3
80.3282	-2.746582E-2	-1.007080E-2	8.239746E-3	5.187988E-3
80.3438	-3.326416E-2	-4.272461E-3	7.324219E-3	4.882812E-3
80.3594	-3.082275E-2	-1.098633E-2	8.239746E-3	5.187988E-3
80.3594	-3.143311E-2	-4.272461E-3	7.934570E-3	5.187988E-3
80.375	-2.319336E-2	1.831055E-3	7.934570E-3	4.882812E-3
80.375	-2.929687E-2	-1.251221E-2	7.934570E-3	5.493164E-3
80.3907	-2.838135E-2	-1.281738E-2	7.324219E-3	4.577637E-3
80.4063	-2.929687E-2	-6.408691E-3	7.629395E-3	4.882812E-3
80.4063	-2.258301E-2	1.525879E-3	8.239746E-3	4.882812E-3
80.4219	-2.868652E-2	-7.934570E-3	7.629395E-3	4.882812E-3
80.4375	-3.387451E-2	-1.098633E-2	8.544922E-3	4.272461E-3
80.4375	-2.624512E-2	3.051758E-3	8.239746E-3	4.882812E-3
80.4532	-2.624512E-2	0.000000E+0	8.239746E-3	4.882812E-3
80.4688	-2.655029E-2	-3.356934E-3	7.324219E-3	4.882812E-3
80.4688	-3.295898E-2	-2.441406E-3	7.629395E-3	4.577637E-3
80.4844	-2.746582E-2	-4.577637E-3	7.324219E-3	4.882812E-3
80.5	-2.136230E-2	-5.187988E-3	7.934570E-3	4.882812E-3
80.5	-2.929687E-2	9.155273E-4	8.239746E-3	4.882812E-3
80.5157	-3.112793E-2	-2.441406E-3	7.934570E-3	4.882812E-3
80.5313	-2.593994E-2	-1.861572E-2	7.324219E-3	5.187988E-3
80.5313	-3.082275E-2	-2.441406E-3	7.934570E-3	5.187988E-3
80.5469	-2.563477E-2	-5.493164E-3	7.629395E-3	4.577637E-3
80.5625	-3.082275E-2	-3.356934E-3	7.934570E-3	4.577637E-3
80.5625	-3.295898E-2	-5.798340E-3	7.629395E-3	4.882812E-3
80.5782	-2.166748E-2	-3.967285E-3	8.239746E-3	5.187988E-3
80.5782	-3.021240E-2	-2.746582E-3	7.934570E-3	5.493164E-3
80.5938	-2.838135E-2	-7.019043E-3	7.629395E-3	4.577637E-3
80.6094	-2.227783E-2	-7.629395E-3	7.629395E-3	4.577637E-3
80.6094	-2.410889E-2	-1.037598E-2	7.934570E-3	4.577637E-3
80.625	-2.532959E-2	-1.586914E-2	7.629395E-3	4.882812E-3
80.6407	-3.417969E-2	-1.251221E-2	7.934570E-3	4.882812E-3
80.6407	-2.502441E-2	-3.051758E-4	7.324219E-3	5.493164E-3
80.6563	-2.227783E-2	-7.019043E-3	7.934570E-3	4.577637E-3
80.6719	-2.166748E-2	-1.007080E-2	7.629395E-3	4.882812E-3
80.6719	-2.655029E-2	-1.312256E-2	7.934570E-3	5.187988E-3
80.6875	-2.471924E-2	-6.713867E-3	8.239746E-3	5.187988E-3
80.7032	-2.502441E-2	-4.882812E-3	7.934570E-3	4.882812E-3
80.7032	-2.868652E-2	-5.187988E-3	7.934570E-3	5.187988E-3
80.7188	-3.356934E-2	-7.934570E-3	7.934570E-3	4.882812E-3
80.7188	-3.387451E-2	-7.019043E-3	7.324219E-3	5.187988E-3
80.7344	-2.471924E-2	-5.187988E-3	7.934570E-3	4.272461E-3
80.75	-2.319336E-2	-1.525879E-3	7.629395E-3	4.882812E-3
80.75	-3.082275E-2	-4.882812E-3	8.239746E-3	5.187988E-3
80.7657	-3.295898E-2	-8.239746E-3	7.934570E-3	5.187988E-3
80.7657	-3.143311E-2	-9.155273E-4	7.629395E-3	4.882812E-3
80.7813	-2.136230E-2	0.000000E+0	8.239746E-3	5.187988E-3
80.7969	-2.716064E-2	-4.882812E-3	7.629395E-3	4.882812E-3
80.7969	-2.319336E-2	-3.051758E-4	7.629395E-3	5.187988E-3
80.8125	-2.288818E-2	-1.251221E-2	7.934570E-3	5.493164E-3
80.8282	-1.831055E-2	-7.629395E-3	8.239746E-3	4.882812E-3
80.8282	-2.685547E-2	-1.007080E-2	7.324219E-3	4.577637E-3
80.8438	-3.662109E-2	-4.882812E-3	8.239746E-3	5.187988E-3
80.8594	-2.014160E-2	-2.746582E-3	7.324219E-3	5.187988E-3
80.8594	-3.875732E-2	-7.324219E-3	7.934570E-3	4.577637E-3
80.875	-2.746582E-2	-1.220703E-2	8.239746E-3	4.882812E-3
80.8907	-3.509521E-2	-1.739502E-2	7.934570E-3	5.187988E-3
80.8907	-2.990723E-2	9.155273E-4	7.934570E-3	5.187988E-3
80.9063	-3.540039E-2	-1.403809E-2	7.629395E-3	5.493164E-3
80.9219	-2.960205E-2	-7.934570E-3	7.629395E-3	4.577637E-3
80.9219	-3.021240E-2	-1.373291E-2	7.629395E-3	5.493164E-3
80.9375	-3.631592E-2	-3.967285E-3	8.544922E-3	5.493164E-3
80.9375	-3.784180E-2	-5.798340E-3	7.629395E-3	4.882812E-3
80.9532	-2.716064E-2	-2.746582E-3	8.239746E-3	4.882812E-3
80.9688	-2.044678E-2	3.051758E-4	7.629395E-3	5.187988E-3
80.9688	-2.380371E-2	-4.272461E-3	7.934570E-3	5.187988E-3
80.9844	-3.448486E-2	-3.051758E-3	7.934570E-3	5.493164E-3
81.0	-2.624512E-2	-6.408691E-3	7.934570E-3	5.187988E-3
81.0	-3.234863E-2	-1.281738E-2	8.239746E-3	5.187988E-3
81.0157	-2.288818E-2	-6.713867E-3	8.544922E-3	4.577637E-3
81.0313	-2.532959E-2	-1.068115E-2	7.934570E-3	4.882812E-3
81.0313	-3.326416E-2	-1.525879E-2	7.934570E-3	4.882812E-3
81.0469	-2.410889E-2	-3.356934E-3	9.460449E-3	5.187988E-3
81.0625	-2.044678E-2	-7.629395E-3	3.173828E-2	4.577637E-3
81.0625	-2.441406E-2	-1.220703E-2	5.859375E-2	5.187988E-3
81.0938	-3.692627E-2	-2.624512E-2	1.098633E-1	5.493164E-3
81.1094	-3.295898E-2	-2.380371E-2	1.382446E-1	4.882812E-3
81.1094	-4.882812E-2	-2.441406E-2	1.538086E-1	4.882812E-3
81.125	-4.577637E-2	-2.868652E-2	1.736450E-1	5.187988E-3
81.1407	-3.082275E-2	-3.631592E-2	1.965332E-1	4.882812E-3
81.1407	-3.814697E-2	-3.265381E-2	2.090454E-1	4.882812E-3
81.1563	-5.187988E-2	-3.784180E-2	2.334595E-1	5.187988E-3
81.1719	-3.875732E-2	-4.821777E-2	2.566528E-1	5.493164E-3
81.1719	-3.204346E-2	-3.601074E-2	2.691650E-1	5.187988E-3
81.1875	-4.302979E-2	-4.516602E-2	2.920532E-1	5.187988E-3
81.2032	-3.601074E-2	-4.425049E-2	3.158569E-1	4.882812E-3
81.2032	-4.943848E-2	-5.493164E-2	3.289795E-1	5.187988E-3
81.2188	-3.540039E-2	-5.279541E-2	3.524780E-1	5.187988E-3
81.2188	-4.974365E-2	-5.615234E-2	3.726196E-1	5.798340E-3
81.2344	-4.241943E-2	-5.035400E-2	3.881836E-1	5.187988E-3
81.25	-4.272461E-2	-6.134033E-2	4.132080E-1	5.187988E-3
81.25	-5.004883E-2	-5.310059E-2	4.357910E-1	4.577637E-3
81.2657	-4.211426E-2	-6.195068E-2	4.479980E-1	4.577637E-3
81.2813	-3.753662E-2	-6.622314E-2	4.727173E-1	5.187988E-3
81.2813	-4.455566E-2	-7.019043E-2	4.949951E-1	5.187988E-3
81.2969	-3.845215E-2	-7.080078E-2	5.078125E-1	5.187988E-3
81.3125	-5.096436E-2	-7.568359E-2	5.316162E-1	5.493164E-3
81.3125	-4.333496E-2	-8.026123E-2	5.551147E-1	5.187988E-3
81.3282	-4.669189E-2	-7.965088E-2	5.679321E-1	5.493164E-3
81.3282	-5.310059E-2	-8.178711E-2	5.920410E-1	5.493164E-3
81.3438	-4.486084E-2	-8.636475E-2	6.152344E-1	5.493164E-3
81.3594	-6.103516E-2	-8.789062E-2	6.271362E-1	5.187988E-3
