December 11, 2009 11:55
529b02
H:\029-20091211-sws14-ls\traj\LS_p36_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -3
roll angle = 70
cantilever = 529b02
sample = sws14


<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
149.2969	-2.078247E-1	-4.357910E-1	9.460449E-3	6.713867E-3
149.3125	-2.127075E-1	-4.312134E-1	9.765625E-3	6.713867E-3
149.3125	-2.099609E-1	-4.367065E-1	9.155273E-3	6.713867E-3
149.3281	-2.102661E-1	-4.345703E-1	9.155273E-3	7.019043E-3
149.3281	-2.096558E-1	-4.370117E-1	1.007080E-2	6.713867E-3
149.3437	-2.108765E-1	-4.351807E-1	1.007080E-2	6.408691E-3
149.3594	-2.032471E-1	-4.373169E-1	9.765625E-3	7.019043E-3
149.3594	-2.075195E-1	-4.370117E-1	9.460449E-3	7.019043E-3
149.375	-2.093506E-1	-4.336548E-1	9.460449E-3	6.713867E-3
149.3906	-2.087402E-1	-4.321289E-1	9.765625E-3	6.713867E-3
149.3906	-2.059937E-1	-4.351807E-1	1.007080E-2	7.019043E-3
149.4062	-2.114868E-1	-4.364014E-1	9.765625E-3	6.713867E-3
149.4219	-2.069092E-1	-4.321289E-1	9.155273E-3	6.408691E-3
149.4219	-2.120972E-1	-4.339600E-1	9.460449E-3	7.019043E-3
149.4375	-2.078247E-1	-4.281616E-1	9.765625E-3	6.713867E-3
149.4375	-2.072144E-1	-4.306030E-1	9.765625E-3	6.713867E-3
149.4531	-2.139282E-1	-4.333496E-1	9.460449E-3	7.019043E-3
149.4687	-2.035522E-1	-4.290771E-1	9.765625E-3	7.324219E-3
149.4687	-2.139282E-1	-4.306030E-1	9.765625E-3	7.324219E-3
149.4844	-2.096558E-1	-4.318237E-1	9.460449E-3	6.713867E-3
149.5	-2.078247E-1	-4.376221E-1	9.460449E-3	6.713867E-3
149.5	-2.072144E-1	-4.364014E-1	9.155273E-3	7.629395E-3
149.5156	-2.108765E-1	-4.351807E-1	9.460449E-3	7.019043E-3
149.5156	-2.059937E-1	-4.379272E-1	9.460449E-3	6.713867E-3
149.5312	-2.124023E-1	-4.345703E-1	9.765625E-3	7.019043E-3
149.5469	-2.066040E-1	-4.364014E-1	9.155273E-3	6.408691E-3
149.5469	-2.105713E-1	-4.306030E-1	9.765625E-3	6.713867E-3
149.5625	-2.099609E-1	-4.318237E-1	9.460449E-3	7.629395E-3
149.5781	-2.081299E-1	-4.321289E-1	9.765625E-3	7.019043E-3
149.5781	-2.124023E-1	-4.364014E-1	9.460449E-3	7.019043E-3
149.5937	-2.090454E-1	-4.309082E-1	9.155273E-3	7.019043E-3
149.6094	-2.117920E-1	-4.348755E-1	9.460449E-3	6.713867E-3
149.6094	-2.111816E-1	-4.339600E-1	9.460449E-3	6.408691E-3
149.625	-2.120972E-1	-4.367065E-1	9.765625E-3	7.019043E-3
149.6406	-2.127075E-1	-4.327393E-1	9.460449E-3	7.019043E-3
149.6406	-2.096558E-1	-4.339600E-1	1.007080E-2	7.324219E-3
149.6562	-2.059937E-1	-4.330444E-1	9.460449E-3	7.019043E-3
149.6719	-2.120972E-1	-4.336548E-1	9.460449E-3	7.019043E-3
149.6719	-2.084351E-1	-4.360962E-1	9.155273E-3	6.408691E-3
149.6875	-2.081299E-1	-4.299927E-1	9.460449E-3	7.629395E-3
149.6875	-2.117920E-1	-4.367065E-1	9.765625E-3	6.408691E-3
149.7031	-2.130127E-1	-4.370117E-1	9.155273E-3	7.019043E-3
149.7187	-2.056885E-1	-4.333496E-1	1.007080E-2	7.019043E-3
149.7187	-2.130127E-1	-4.348755E-1	9.460449E-3	7.019043E-3
149.7344	-2.142334E-1	-4.379272E-1	9.460449E-3	7.019043E-3
149.75	-2.093506E-1	-4.367065E-1	9.155273E-3	7.019043E-3
149.75	-2.084351E-1	-4.376221E-1	8.850098E-3	6.408691E-3
149.7656	-2.090454E-1	-4.339600E-1	9.765625E-3	7.019043E-3
149.7656	-2.105713E-1	-4.293823E-1	9.460449E-3	6.408691E-3
149.7812	-2.099609E-1	-4.357910E-1	1.007080E-2	7.019043E-3
149.7969	-2.102661E-1	-4.348755E-1	9.155273E-3	7.019043E-3
149.7969	-2.062988E-1	-4.345703E-1	9.765625E-3	7.324219E-3
149.8125	-2.047729E-1	-4.382324E-1	9.460449E-3	6.713867E-3
149.8281	-2.078247E-1	-4.296875E-1	9.460449E-3	6.713867E-3
149.8281	-2.142334E-1	-4.367065E-1	1.007080E-2	7.019043E-3
149.8437	-2.124023E-1	-4.309082E-1	9.460449E-3	7.019043E-3
149.8594	-2.111816E-1	-4.333496E-1	9.460449E-3	6.408691E-3
149.8594	-2.078247E-1	-4.306030E-1	9.765625E-3	6.713867E-3
149.875	-2.062988E-1	-4.351807E-1	9.155273E-3	7.324219E-3
149.8906	-2.114868E-1	-4.290771E-1	9.460449E-3	6.408691E-3
149.8906	-2.090454E-1	-4.354858E-1	9.765625E-3	7.324219E-3
149.9062	-2.099609E-1	-4.336548E-1	9.765625E-3	6.408691E-3
149.9219	-2.069092E-1	-4.357910E-1	9.460449E-3	7.324219E-3
149.9219	-2.053833E-1	-4.336548E-1	9.765625E-3	6.713867E-3
149.9375	-2.117920E-1	-4.348755E-1	9.155273E-3	7.019043E-3
149.9375	-2.117920E-1	-4.360962E-1	9.765625E-3	7.019043E-3
149.9531	-2.072144E-1	-4.312134E-1	9.460449E-3	7.019043E-3
149.9687	-2.084351E-1	-4.306030E-1	9.460449E-3	6.713867E-3
149.9687	-2.117920E-1	-4.339600E-1	9.765625E-3	7.019043E-3
149.9844	-2.117920E-1	-4.324341E-1	9.765625E-3	7.324219E-3
150.0	-2.099609E-1	-4.351807E-1	9.765625E-3	7.019043E-3
150.0	-2.044678E-1	-4.342651E-1	9.460449E-3	6.408691E-3
150.0156	-2.084351E-1	-4.345703E-1	9.460449E-3	7.324219E-3
150.0312	-2.111816E-1	-4.354858E-1	9.460449E-3	6.713867E-3
150.0312	-2.139282E-1	-4.360962E-1	1.007080E-2	6.713867E-3
150.0469	-2.084351E-1	-4.360962E-1	9.460449E-3	6.713867E-3
150.0469	-2.081299E-1	-4.348755E-1	9.765625E-3	7.324219E-3
150.0625	-2.090454E-1	-4.345703E-1	9.765625E-3	6.713867E-3
150.0781	-2.072144E-1	-4.318237E-1	9.460449E-3	6.713867E-3
150.0781	-2.127075E-1	-4.339600E-1	9.765625E-3	7.324219E-3
150.0937	-2.069092E-1	-4.348755E-1	9.460449E-3	7.019043E-3
150.1094	-2.090454E-1	-4.339600E-1	9.460449E-3	6.408691E-3
150.1094	-2.072144E-1	-4.342651E-1	9.155273E-3	7.019043E-3
150.125	-2.087402E-1	-4.342651E-1	1.007080E-2	7.019043E-3
150.1406	-2.136230E-1	-4.370117E-1	9.765625E-3	6.713867E-3
150.1406	-2.142334E-1	-4.318237E-1	1.403809E-2	6.408691E-3
150.1562	-2.127075E-1	-4.330444E-1	3.295898E-2	6.408691E-3
150.1562	-2.127075E-1	-4.357910E-1	4.943848E-2	7.629395E-3
150.1719	-2.096558E-1	-4.330444E-1	7.171631E-2	7.019043E-3
150.1875	-2.166748E-1	-4.354858E-1	9.674072E-2	7.019043E-3
150.1875	-2.053833E-1	-4.376221E-1	1.104736E-1	7.324219E-3
150.2031	-2.108765E-1	-4.425049E-1	1.351929E-1	7.019043E-3
150.2187	-2.087402E-1	-4.400635E-1	1.574707E-1	7.019043E-3
150.2187	-2.133179E-1	-4.388428E-1	1.705933E-1	6.713867E-3
150.2344	-2.096558E-1	-4.464722E-1	1.947021E-1	7.019043E-3
150.25	-2.114868E-1	-4.479980E-1	2.148437E-1	7.019043E-3
150.25	-2.114868E-1	-4.473877E-1	2.304077E-1	6.713867E-3
150.2656	-2.182007E-1	-4.489136E-1	2.529907E-1	6.408691E-3
150.2812	-2.185059E-1	-4.479980E-1	2.777100E-1	7.629395E-3
150.2812	-2.203369E-1	-4.498291E-1	2.883911E-1	6.408691E-3
150.2969	-2.236938E-1	-4.510498E-1	3.076172E-1	7.019043E-3
150.2969	-2.212524E-1	-4.525757E-1	3.298950E-1	6.713867E-3
150.3125	-2.114868E-1	-4.544067E-1	3.506470E-1	7.324219E-3
150.3281	-2.185059E-1	-4.592896E-1	3.701782E-1	7.019043E-3
150.3281	-2.148437E-1	-4.547119E-1	3.964233E-1	6.713867E-3
150.3437	-2.154541E-1	-4.623413E-1	4.095459E-1	7.019043E-3
150.3594	-2.212524E-1	-4.574585E-1	4.345703E-1	7.324219E-3
150.3594	-2.212524E-1	-4.598999E-1	4.541016E-1	6.713867E-3
