December 30, 2009 15:15
529b02
H:\030-20091230-sws15-ls\traj\LS_p30_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -3
roll angle = 70
sample = sws15
cantilever = 529b02
temperature = 20.4
humidity = 39.1%
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
42.8282	-6.530762E-2	-1.745605E-1	7.934570E-3	5.798340E-3
42.8438	-6.896973E-2	-1.733398E-1	7.629395E-3	5.187988E-3
42.8594	-6.561279E-2	-1.715088E-1	8.239746E-3	5.493164E-3
42.8594	-6.286621E-2	-1.736450E-1	8.239746E-3	5.493164E-3
42.875	-6.347656E-2	-1.715088E-1	8.239746E-3	5.493164E-3
42.8907	-6.835937E-2	-1.718140E-1	8.239746E-3	5.187988E-3
42.8907	-6.530762E-2	-1.702881E-1	7.629395E-3	5.187988E-3
42.9063	-6.652832E-2	-1.675415E-1	8.239746E-3	5.187988E-3
42.9063	-6.713867E-2	-1.712036E-1	7.934570E-3	5.187988E-3
42.9219	-6.713867E-2	-1.715088E-1	8.239746E-3	5.493164E-3
42.9375	-6.469727E-2	-1.696777E-1	7.934570E-3	5.187988E-3
42.9375	-6.256104E-2	-1.727295E-1	7.934570E-3	5.493164E-3
42.9532	-6.378174E-2	-1.702881E-1	7.934570E-3	5.187988E-3
42.9688	-6.652832E-2	-1.702881E-1	7.934570E-3	5.493164E-3
42.9688	-6.469727E-2	-1.718140E-1	7.934570E-3	5.187988E-3
42.9844	-6.713867E-2	-1.736450E-1	7.934570E-3	5.493164E-3
43.0	-6.439209E-2	-1.690674E-1	7.629395E-3	5.187988E-3
43.0	-7.049561E-2	-1.718140E-1	7.934570E-3	4.882812E-3
43.0157	-6.622314E-2	-1.748657E-1	8.239746E-3	5.187988E-3
43.0313	-6.958008E-2	-1.721191E-1	7.629395E-3	5.187988E-3
43.0313	-6.652832E-2	-1.736450E-1	7.934570E-3	5.187988E-3
43.0469	-6.805420E-2	-1.663208E-1	8.239746E-3	5.187988E-3
43.0469	-6.683350E-2	-1.654053E-1	7.934570E-3	5.493164E-3
43.0625	-6.622314E-2	-1.675415E-1	7.934570E-3	4.882812E-3
43.0782	-6.195068E-2	-1.696777E-1	8.239746E-3	5.187988E-3
43.0782	-6.530762E-2	-1.715088E-1	8.239746E-3	4.882812E-3
43.0938	-6.256104E-2	-1.693726E-1	7.324219E-3	5.187988E-3
43.0938	-6.500244E-2	-1.687622E-1	7.629395E-3	5.493164E-3
43.1094	-6.347656E-2	-1.721191E-1	7.934570E-3	5.493164E-3
43.125	-6.652832E-2	-1.742554E-1	7.629395E-3	5.187988E-3
43.125	-6.744385E-2	-1.684570E-1	8.850098E-3	6.103516E-3
43.1407	-6.286621E-2	-1.705933E-1	7.934570E-3	4.882812E-3
43.1563	-6.713867E-2	-1.730347E-1	7.934570E-3	4.577637E-3
43.1563	-6.561279E-2	-1.721191E-1	8.239746E-3	5.187988E-3
43.1719	-6.317139E-2	-1.736450E-1	8.544922E-3	5.493164E-3
43.1875	-6.378174E-2	-1.733398E-1	7.934570E-3	5.187988E-3
43.1875	-6.408691E-2	-1.690674E-1	7.934570E-3	5.187988E-3
43.2032	-6.286621E-2	-1.727295E-1	7.934570E-3	5.187988E-3
43.2188	-6.774902E-2	-1.660156E-1	7.324219E-3	4.577637E-3
43.2188	-6.347656E-2	-1.727295E-1	7.324219E-3	5.493164E-3
43.2344	-6.195068E-2	-1.739502E-1	8.239746E-3	4.577637E-3
43.25	-6.408691E-2	-1.666260E-1	7.324219E-3	5.798340E-3
43.25	-6.195068E-2	-1.690674E-1	7.629395E-3	5.187988E-3
43.2657	-7.141113E-2	-1.693726E-1	8.239746E-3	4.882812E-3
43.2813	-6.774902E-2	-1.675415E-1	8.239746E-3	5.187988E-3
43.2813	-6.683350E-2	-1.730347E-1	7.934570E-3	5.493164E-3
43.2969	-6.927490E-2	-1.696777E-1	7.934570E-3	5.798340E-3
43.2969	-6.561279E-2	-1.730347E-1	7.629395E-3	5.187988E-3
43.3125	-6.652832E-2	-1.696777E-1	8.239746E-3	5.187988E-3
43.3282	-6.225586E-2	-1.687622E-1	7.934570E-3	5.187988E-3
43.3282	-6.896973E-2	-1.666260E-1	7.934570E-3	4.882812E-3
43.3438	-6.896973E-2	-1.693726E-1	7.324219E-3	5.187988E-3
43.3594	-5.950928E-2	-1.699829E-1	8.239746E-3	5.187988E-3
43.3594	-6.317139E-2	-1.699829E-1	7.934570E-3	4.577637E-3
43.375	-7.202148E-2	-1.742554E-1	7.934570E-3	4.577637E-3
43.3907	-6.744385E-2	-1.696777E-1	7.934570E-3	5.493164E-3
43.3907	-6.713867E-2	-1.715088E-1	7.934570E-3	4.882812E-3
43.4063	-6.378174E-2	-1.672363E-1	7.019043E-3	6.103516E-3
43.4063	-7.019043E-2	-1.721191E-1	7.934570E-3	4.577637E-3
43.4219	-6.164551E-2	-1.708984E-1	7.934570E-3	5.187988E-3
43.4375	-6.805420E-2	-1.708984E-1	7.934570E-3	5.187988E-3
43.4375	-6.317139E-2	-1.681519E-1	7.629395E-3	4.577637E-3
43.4532	-7.080078E-2	-1.681519E-1	7.934570E-3	5.187988E-3
43.4688	-6.958008E-2	-1.715088E-1	7.934570E-3	5.493164E-3
43.4688	-5.981445E-2	-1.708984E-1	8.239746E-3	5.493164E-3
43.4844	-6.683350E-2	-1.760864E-1	7.629395E-3	4.882812E-3
43.4844	-6.744385E-2	-1.715088E-1	7.629395E-3	4.577637E-3
43.5	-6.072998E-2	-1.690674E-1	7.934570E-3	5.187988E-3
43.5157	-6.652832E-2	-1.766968E-1	7.934570E-3	5.187988E-3
43.5157	-6.530762E-2	-1.733398E-1	8.239746E-3	5.187988E-3
43.5313	-6.866455E-2	-1.696777E-1	7.934570E-3	4.882812E-3
43.5469	-6.408691E-2	-1.763916E-1	7.629395E-3	4.577637E-3
43.5469	-6.317139E-2	-1.773071E-1	7.934570E-3	5.493164E-3
43.5625	-6.805420E-2	-1.644897E-1	7.934570E-3	4.882812E-3
43.5782	-6.072998E-2	-1.690674E-1	7.324219E-3	5.187988E-3
43.5782	-6.530762E-2	-1.681519E-1	8.239746E-3	5.187988E-3
43.5938	-6.164551E-2	-1.705933E-1	7.934570E-3	5.187988E-3
43.6094	-6.408691E-2	-1.745605E-1	7.629395E-3	5.493164E-3
43.6094	-6.713867E-2	-1.687622E-1	8.239746E-3	5.187988E-3
43.625	-7.202148E-2	-1.696777E-1	7.934570E-3	4.882812E-3
43.6407	-6.561279E-2	-1.660156E-1	7.629395E-3	4.882812E-3
43.6407	-6.347656E-2	-1.699829E-1	7.629395E-3	5.187988E-3
43.6563	-6.927490E-2	-1.730347E-1	7.934570E-3	5.493164E-3
43.6719	-6.744385E-2	-1.672363E-1	7.629395E-3	5.187988E-3
43.6719	-6.469727E-2	-1.718140E-1	7.934570E-3	5.187988E-3
43.6875	-6.713867E-2	-1.724243E-1	7.324219E-3	4.577637E-3
43.6875	-6.683350E-2	-1.699829E-1	7.324219E-3	4.882812E-3
43.7032	-6.469727E-2	-1.708984E-1	7.019043E-3	4.882812E-3
43.7188	-6.378174E-2	-1.736450E-1	7.934570E-3	5.187988E-3
