fileName	anglePitch	forceMaxAdhesion	forceMaxShear	preload	angle
../031-20100111-sws16-ls/data/separated/p30-a00.data	-3	-1.415	5.483	30	0
../031-20100111-sws16-ls/data/separated/p30-a01.data	-3	-1.445	5.203	30	1
../031-20100111-sws16-ls/data/separated/p30-a02.data	-3	-1.651	5.103	30	2
../031-20100111-sws16-ls/data/separated/p30-a03.data	-3	-1.818	5.019	30	3
../031-20100111-sws16-ls/data/separated/p30-a04.data	-3	-1.894	4.859	30	4
../031-20100111-sws16-ls/data/separated/p30-a05.data	-3	-2.011	4.669	30	5
../031-20100111-sws16-ls/data/separated/p30-a06.data	-3	-2.114	4.542	30	6
../031-20100111-sws16-ls/data/separated/p30-a07.data	-3	-2.141	4.327	30	7
../031-20100111-sws16-ls/data/separated/p30-a08.data	-3	-2.265	4.239	30	8
../031-20100111-sws16-ls/data/separated/p30-a09.data	-3	-2.345	4.099	30	9
../031-20100111-sws16-ls/data/separated/p30-a10.data	-3	-2.422	3.977	30	10
../031-20100111-sws16-ls/data/separated/p30-a20.data	-3	-2.464	2.622	30	20
../031-20100111-sws16-ls/data/separated/p30-a30.data	-3	-2.634	2.427	30	30
../031-20100111-sws16-ls/data/separated/p30-a40.data	-3	-2.791	2.313	30	40
../031-20100111-sws16-ls/data/separated/p30-a50.data	-3	-2.971	2.129	30	50
../031-20100111-sws16-ls/data/separated/p30-a60.data	-3	-3.085	1.836	30	60
../031-20100111-sws16-ls/data/separated/p30-a70.data	-3	-3.384	1.42	30	70
../031-20100111-sws16-ls/data/separated/p30-a80.data	-3	-3.642	0.953	30	80
../031-20100111-sws16-ls/data/separated/p30-a90.data	-3	-3.89	0.368	30	90
../031-20100111-sws16-ls/data/separated/p33-a00.data	-3	-0.755	6.057	33	0
../031-20100111-sws16-ls/data/separated/p33-a01.data	-3	-0.906	5.873	33	1
../031-20100111-sws16-ls/data/separated/p33-a02.data	-3	-1.05	5.76	33	2
../031-20100111-sws16-ls/data/separated/p33-a03.data	-3	-1.251	5.631	33	3
../031-20100111-sws16-ls/data/separated/p33-a04.data	-3	-1.31	5.404	33	4
../031-20100111-sws16-ls/data/separated/p33-a05.data	-3	-1.357	5.226	33	5
../031-20100111-sws16-ls/data/separated/p33-a06.data	-3	-1.559	5.181	33	6
../031-20100111-sws16-ls/data/separated/p33-a07.data	-3	-1.686	5.047	33	7
../031-20100111-sws16-ls/data/separated/p33-a08.data	-3	-1.769	4.908	33	8
../031-20100111-sws16-ls/data/separated/p33-a09.data	-3	-1.82	4.701	33	9
../031-20100111-sws16-ls/data/separated/p33-a10.data	-3	-1.942	4.611	33	10
../031-20100111-sws16-ls/data/separated/p33-a20.data	-3	-2.667	3.623	33	20
../031-20100111-sws16-ls/data/separated/p33-a30.data	-3	-2.476	2.87	33	30
../031-20100111-sws16-ls/data/separated/p33-a40.data	-3	-2.517	2.663	33	40
../031-20100111-sws16-ls/data/separated/p33-a50.data	-3	-2.701	2.435	33	50
../031-20100111-sws16-ls/data/separated/p33-a60.data	-3	-2.99	2.114	33	60
../031-20100111-sws16-ls/data/separated/p33-a70.data	-3	-3.379	1.648	33	70
../031-20100111-sws16-ls/data/separated/p33-a80.data	-3	-3.759	1.111	33	80
../031-20100111-sws16-ls/data/separated/p33-a90.data	-3	-4.001	0.356	33	90
../031-20100111-sws16-ls/data/separated/p36-a00.data	-3	-0.163	6.565	36	0
../031-20100111-sws16-ls/data/separated/p36-a01.data	-3	-0.215	6.305	36	1
../031-20100111-sws16-ls/data/separated/p36-a02.data	-3	-0.27	6.021	36	2
../031-20100111-sws16-ls/data/separated/p36-a03.data	-3	-0.525	5.989	36	3
../031-20100111-sws16-ls/data/separated/p36-a04.data	-3	-0.617	5.869	36	4
../031-20100111-sws16-ls/data/separated/p36-a05.data	-3	-0.861	5.853	36	5
../031-20100111-sws16-ls/data/separated/p36-a06.data	-3	-0.984	5.703	36	6
../031-20100111-sws16-ls/data/separated/p36-a07.data	-3	-1.22	5.67	36	7
../031-20100111-sws16-ls/data/separated/p36-a08.data	-3	-1.376	5.617	36	8
../031-20100111-sws16-ls/data/separated/p36-a09.data	-3	-1.479	5.462	36	9
../031-20100111-sws16-ls/data/separated/p36-a10.data	-3	-1.507	5.265	36	10
../031-20100111-sws16-ls/data/separated/p36-a20.data	-3	-2.236	4.131	36	20
../031-20100111-sws16-ls/data/separated/p36-a30.data	-3	-2.748	3.54	36	30
../031-20100111-sws16-ls/data/separated/p36-a40.data	-3	-2.716	3.176	36	40
../031-20100111-sws16-ls/data/separated/p36-a50.data	-3	-2.575	2.713	36	50
../031-20100111-sws16-ls/data/separated/p36-a60.data	-3	-2.812	2.345	36	60
../031-20100111-sws16-ls/data/separated/p36-a70.data	-3	-3.254	1.889	36	70
../031-20100111-sws16-ls/data/separated/p36-a80.data	-3	-3.749	1.222	36	80
../031-20100111-sws16-ls/data/separated/p36-a90.data	-3	-4.058	0.326	36	90
