dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion	angle	preload
p30-a00.data	231	247	429	0	30
p30-a01.data	230	246	418	1	30
p30-a02.data	227	244	409	2	30
p30-a03.data	222	238	400	3	30
p30-a04.data	219	235	392	4	30
p30-a05.data	219	235	387	5	30
p30-a06.data	213	229	377	6	30
p30-a07.data	213	229	371	7	30
p30-a08.data	211	226	364	8	30
p30-a09.data	209	225	357	9	30
p30-a10.data	206	223	349	10	30
p30-a20.data	204	220	303	20	30
p30-a30.data	202	218	296	30	30
p30-a40.data	197	214	289	40	30
p30-a50.data	197	214	284	50	30
p30-a60.data	197	212	274	60	30
p30-a70.data	194	211	266	70	30
p30-a80.data	195	210	258	80	30
p30-a90.data	190	206	252	90	30
p33-a00.data	235	265	471	0	33
p33-a01.data	235	263	460	1	33
p33-a02.data	231	263	452	2	33
p33-a03.data	229	259	447	3	33
p33-a04.data	227	262	438	4	33
p33-a05.data	222	254	428	5	33
p33-a06.data	224	254	425	6	33
p33-a07.data	224	254	418	7	33
p33-a08.data	221	252	410	8	33
p33-a09.data	219	249	406	9	33
p33-a10.data	219	248	400	10	33
p33-a20.data	217	246	364	20	33
p33-a30.data	214	243	341	30	33
p33-a40.data	214	242	334	40	33
p33-a50.data	211	240	325	50	33
p33-a60.data	210	239	317	60	33
p33-a70.data	206	237	307	70	33
p33-a80.data	206	235	299	80	33
p33-a90.data	205	232	294	90	33
p36-a00.data	238	281	506	0	36
p36-a01.data	234	279	499	1	36
p36-a02.data	234	278	484	2	36
p36-a03.data	228	273	480	3	36
p36-a04.data	225	269	471	4	36
p36-a05.data	224	268	464	5	36
p36-a06.data	223	268	459	6	36
p36-a07.data	220	267	455	7	36
p36-a08.data	216	263	448	8	36
p36-a09.data	213	258	439	9	36
p36-a10.data	214	257	432	10	36
p36-a20.data	209	255	394	20	36
p36-a30.data	208	253	373	30	36
p36-a40.data	204	249	362	40	36
p36-a50.data	203	246	347	50	36
p36-a60.data	202	246	338	60	36
p36-a70.data	198	242	326	70	36
p36-a80.data	199	242	320	80	36
p36-a90.data	198	241	317	90	36
