January 11, 2010 14:59
529b02
H:\031-20100111-sws16-ls\traj\LS_p33_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -3
roll angle = 300
cantilever = 529b02
sample = sws16
temperature = 20.7
humidity = 46%
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
134.1719	-6.774902E-2	-4.302979E-2	1.129150E-2	8.544922E-3
134.1875	-6.958008E-2	-4.913330E-2	1.129150E-2	8.544922E-3
134.1875	-7.141113E-2	-4.882812E-2	1.129150E-2	9.155273E-3
134.2031	-7.049561E-2	-4.730225E-2	1.098633E-2	8.239746E-3
134.2188	-7.568359E-2	-4.211426E-2	1.159668E-2	8.850098E-3
134.2188	-7.476807E-2	-4.577637E-2	1.159668E-2	8.850098E-3
134.2344	-6.652832E-2	-4.119873E-2	1.129150E-2	8.850098E-3
134.25	-7.568359E-2	-4.180908E-2	1.098633E-2	8.850098E-3
134.25	-7.232666E-2	-4.608154E-2	1.190186E-2	9.155273E-3
134.2656	-6.530762E-2	-3.967285E-2	1.037598E-2	8.544922E-3
134.2813	-7.019043E-2	-4.241943E-2	1.129150E-2	8.544922E-3
134.2813	-7.476807E-2	-4.638672E-2	1.129150E-2	8.239746E-3
134.2969	-7.141113E-2	-4.364014E-2	1.098633E-2	8.850098E-3
134.3125	-7.263184E-2	-4.974365E-2	1.159668E-2	8.239746E-3
134.3125	-6.866455E-2	-4.791260E-2	1.129150E-2	8.850098E-3
134.3281	-6.530762E-2	-4.211426E-2	1.129150E-2	8.850098E-3
134.3438	-7.080078E-2	-4.638672E-2	1.159668E-2	8.544922E-3
134.3438	-7.049561E-2	-4.608154E-2	1.129150E-2	8.544922E-3
134.3594	-7.263184E-2	-4.058838E-2	1.098633E-2	8.850098E-3
134.3594	-7.537842E-2	-4.333496E-2	1.129150E-2	8.239746E-3
134.375	-6.744385E-2	-4.425049E-2	1.159668E-2	8.544922E-3
134.3906	-7.171631E-2	-4.516602E-2	1.190186E-2	8.544922E-3
134.3906	-7.141113E-2	-4.394531E-2	1.190186E-2	8.544922E-3
134.4063	-7.049561E-2	-4.669189E-2	1.129150E-2	9.460449E-3
134.4219	-6.988525E-2	-4.241943E-2	1.129150E-2	8.239746E-3
134.4219	-6.927490E-2	-4.608154E-2	1.129150E-2	9.460449E-3
134.4375	-6.896973E-2	-4.760742E-2	1.129150E-2	8.544922E-3
134.4531	-7.080078E-2	-4.699707E-2	1.129150E-2	8.239746E-3
134.4531	-6.683350E-2	-4.943848E-2	1.159668E-2	8.239746E-3
134.4688	-6.744385E-2	-5.035400E-2	1.129150E-2	8.850098E-3
134.4688	-6.286621E-2	-4.547119E-2	1.129150E-2	9.460449E-3
134.4844	-6.683350E-2	-4.394531E-2	1.129150E-2	8.850098E-3
134.5	-6.591797E-2	-4.241943E-2	1.129150E-2	8.850098E-3
134.5	-6.988525E-2	-4.425049E-2	1.159668E-2	8.544922E-3
134.5156	-6.683350E-2	-4.516602E-2	1.159668E-2	8.544922E-3
134.5313	-7.629395E-2	-4.760742E-2	1.159668E-2	9.155273E-3
134.5313	-6.927490E-2	-4.577637E-2	1.190186E-2	8.239746E-3
134.5469	-7.263184E-2	-4.608154E-2	1.098633E-2	8.850098E-3
134.5625	-7.171631E-2	-4.516602E-2	1.129150E-2	8.544922E-3
134.5625	-7.568359E-2	-4.394531E-2	1.129150E-2	9.155273E-3
134.5781	-7.507324E-2	-4.547119E-2	1.098633E-2	8.239746E-3
134.5938	-7.232666E-2	-3.967285E-2	1.129150E-2	8.544922E-3
134.5938	-7.385254E-2	-4.150391E-2	1.098633E-2	8.850098E-3
134.6094	-7.507324E-2	-4.699707E-2	1.159668E-2	8.544922E-3
134.6094	-7.202148E-2	-4.241943E-2	1.159668E-2	8.850098E-3
134.625	-7.080078E-2	-5.065918E-2	1.098633E-2	9.155273E-3
134.6406	-6.622314E-2	-3.967285E-2	1.129150E-2	9.155273E-3
134.6406	-6.927490E-2	-4.913330E-2	1.129150E-2	8.850098E-3
134.6563	-7.293701E-2	-4.425049E-2	1.129150E-2	8.239746E-3
134.6719	-7.232666E-2	-4.699707E-2	1.159668E-2	8.544922E-3
134.6719	-7.049561E-2	-4.547119E-2	1.129150E-2	9.155273E-3
134.6875	-7.354736E-2	-4.119873E-2	1.129150E-2	9.155273E-3
134.7031	-7.171631E-2	-4.394531E-2	1.159668E-2	8.850098E-3
134.7031	-6.835937E-2	-4.669189E-2	1.159668E-2	9.155273E-3
134.7188	-6.988525E-2	-4.455566E-2	1.159668E-2	8.544922E-3
134.7188	-6.835937E-2	-4.608154E-2	1.129150E-2	8.850098E-3
134.7344	-6.774902E-2	-4.241943E-2	1.068115E-2	9.155273E-3
134.75	-7.110596E-2	-3.875732E-2	1.098633E-2	8.544922E-3
134.75	-7.385254E-2	-4.608154E-2	1.098633E-2	8.544922E-3
134.7656	-6.958008E-2	-4.180908E-2	1.098633E-2	8.544922E-3
134.7813	-7.080078E-2	-4.272461E-2	1.159668E-2	8.544922E-3
134.7813	-6.988525E-2	-4.455566E-2	1.159668E-2	8.239746E-3
134.7969	-6.744385E-2	-4.211426E-2	1.129150E-2	8.544922E-3
134.7969	-6.866455E-2	-4.486084E-2	1.129150E-2	8.544922E-3
134.8125	-7.232666E-2	-4.638672E-2	1.159668E-2	8.239746E-3
134.8281	-7.263184E-2	-4.425049E-2	1.129150E-2	8.850098E-3
134.8281	-7.202148E-2	-4.211426E-2	1.129150E-2	8.850098E-3
134.8438	-7.049561E-2	-4.577637E-2	1.068115E-2	8.544922E-3
134.8594	-7.080078E-2	-4.241943E-2	1.098633E-2	8.850098E-3
134.8594	-7.263184E-2	-4.730225E-2	1.129150E-2	8.850098E-3
134.875	-7.659912E-2	-4.425049E-2	1.098633E-2	9.155273E-3
134.8906	-7.171631E-2	-4.577637E-2	1.129150E-2	8.544922E-3
134.8906	-7.019043E-2	-4.516602E-2	1.281738E-2	9.155273E-3
134.9063	-7.080078E-2	-4.302979E-2	3.540039E-2	8.850098E-3
134.9219	-7.232666E-2	-4.455566E-2	5.737305E-2	8.850098E-3
134.9219	-7.202148E-2	-4.882812E-2	7.202148E-2	8.239746E-3
134.9375	-7.324219E-2	-4.211426E-2	9.429932E-2	8.239746E-3
134.9531	-7.202148E-2	-4.852295E-2	1.190186E-1	8.850098E-3
134.9531	-7.263184E-2	-4.791260E-2	1.324463E-1	8.850098E-3
134.9688	-7.751465E-2	-5.157471E-2	1.568604E-1	8.850098E-3
134.9688	-7.263184E-2	-4.364014E-2	1.739502E-1	7.629395E-3
134.9844	-7.446289E-2	-4.699707E-2	1.931763E-1	8.850098E-3
135.0	-7.568359E-2	-5.096436E-2	2.117920E-1	9.155273E-3
135.0	-6.561279E-2	-4.760742E-2	2.386475E-1	8.239746E-3
135.0156	-7.446289E-2	-4.394531E-2	2.526855E-1	8.544922E-3
135.0313	-7.720947E-2	-5.126953E-2	2.774048E-1	8.850098E-3
135.0313	-7.446289E-2	-5.310059E-2	2.987671E-1	8.239746E-3
135.0469	-7.598877E-2	-5.554199E-2	3.134155E-1	9.155273E-3
135.0625	-7.476807E-2	-5.187988E-2	3.363037E-1	7.934570E-3
135.0625	-7.293701E-2	-4.791260E-2	3.567505E-1	8.239746E-3
135.0781	-7.415771E-2	-5.096436E-2	3.720093E-1	8.239746E-3
135.0938	-7.415771E-2	-5.493164E-2	3.958130E-1	8.544922E-3
135.0938	-7.293701E-2	-5.279541E-2	4.180908E-1	8.544922E-3
135.1094	-7.659912E-2	-5.279541E-2	4.321289E-1	8.850098E-3
135.1094	-7.171631E-2	-5.676270E-2	4.544067E-1	8.850098E-3
135.125	-7.843018E-2	-5.218506E-2	4.788208E-1	9.155273E-3
135.1406	-7.049561E-2	-5.554199E-2	4.919434E-1	8.850098E-3
135.1406	-7.507324E-2	-5.310059E-2	5.133057E-1	8.544922E-3
135.1563	-7.904053E-2	-5.401611E-2	5.377197E-1	9.155273E-3
135.1563	-7.019043E-2	-6.225586E-2	5.517578E-1	8.850098E-3
135.1719	-7.049561E-2	-5.615234E-2	5.752563E-1	7.934570E-3
135.1875	-6.896973E-2	-6.072998E-2	5.950928E-1	8.239746E-3
