fileName	anglePitch	forceMaxAdhesion	forceMaxShear	preload	angle
../033-20100302-sws17-ls/data/separated/p30-1-a00.data	-3	-0.127	3.853	30	0
../033-20100302-sws17-ls/data/separated/p30-1-a01.data	-3	-0.304	3.845	30	1
../033-20100302-sws17-ls/data/separated/p30-1-a02.data	-3	-0.514	3.813	30	2
../033-20100302-sws17-ls/data/separated/p30-1-a03.data	-3	-0.752	3.682	30	3
../033-20100302-sws17-ls/data/separated/p30-1-a04.data	-3	-0.946	3.675	30	4
../033-20100302-sws17-ls/data/separated/p30-1-a05.data	-3	-1.036	3.675	30	5
../033-20100302-sws17-ls/data/separated/p30-1-a06.data	-3	-1.438	3.678	30	6
../033-20100302-sws17-ls/data/separated/p30-1-a07.data	-3	-1.385	3.695	30	7
../033-20100302-sws17-ls/data/separated/p30-1-a08.data	-3	-1.626	3.672	30	8
../033-20100302-sws17-ls/data/separated/p30-1-a09.data	-3	-1.78	3.631	30	9
../033-20100302-sws17-ls/data/separated/p30-1-a10.data	-3	-2.043	3.746	30	10
../033-20100302-sws17-ls/data/separated/p30-1-a20.data	-3	-3.273	2.877	30	20
../033-20100302-sws17-ls/data/separated/p30-1-a30.data	-3	-2.952	2.437	30	30
../033-20100302-sws17-ls/data/separated/p30-1-a40.data	-3	-2.715	2.267	30	40
../033-20100302-sws17-ls/data/separated/p30-1-a50.data	-3	-2.672	2.245	30	50
../033-20100302-sws17-ls/data/separated/p30-1-a60.data	-3	-1.752	1.66	30	60
../033-20100302-sws17-ls/data/separated/p30-1-a70.data	-3	-1.904	1.337	30	70
../033-20100302-sws17-ls/data/separated/p30-1-a80.data	-3	-2.104	0.876	30	80
../033-20100302-sws17-ls/data/separated/p30-1-a90.data	-3	-2.5	0.262	30	90
../033-20100302-sws17-ls/data/separated/p30-2-a00.data	-3	-0.329	4.108	30	0
../033-20100302-sws17-ls/data/separated/p30-2-a01.data	-3	-0.6	4.007	30	1
../033-20100302-sws17-ls/data/separated/p30-2-a02.data	-3	-0.632	3.886	30	2
../033-20100302-sws17-ls/data/separated/p30-2-a03.data	-3	-0.906	3.853	30	3
../033-20100302-sws17-ls/data/separated/p30-2-a04.data	-3	-1.041	3.798	30	4
../033-20100302-sws17-ls/data/separated/p30-2-a05.data	-3	-1.329	3.846	30	5
../033-20100302-sws17-ls/data/separated/p30-2-a06.data	-3	-1.314	3.766	30	6
../033-20100302-sws17-ls/data/separated/p30-2-a07.data	-3	-1.516	3.83	30	7
../033-20100302-sws17-ls/data/separated/p30-2-a08.data	-3	-1.621	3.779	30	8
../033-20100302-sws17-ls/data/separated/p30-2-a09.data	-3	-1.938	3.833	30	9
../033-20100302-sws17-ls/data/separated/p30-2-a10.data	-3	-2.194	3.808	30	10
../033-20100302-sws17-ls/data/separated/p30-2-a20.data	-3	-3.285	2.931	30	20
../033-20100302-sws17-ls/data/separated/p30-2-a30.data	-3	-2.985	2.541	30	30
../033-20100302-sws17-ls/data/separated/p30-2-a40.data	-3	-2.873	2.307	30	40
../033-20100302-sws17-ls/data/separated/p30-2-a50.data	-3	-2.581	2.185	30	50
../033-20100302-sws17-ls/data/separated/p30-2-a60.data	-3	-1.776	1.677	30	60
../033-20100302-sws17-ls/data/separated/p30-2-a70.data	-3	-1.947	1.312	30	70
../033-20100302-sws17-ls/data/separated/p30-2-a80.data	-3	-2.192	0.868	30	80
../033-20100302-sws17-ls/data/separated/p30-2-a90.data	-3	-2.524	0.286	30	90
../033-20100302-sws17-ls/data/separated/p30-3-a00.data	-3	-0.585	4.205	30	0
../033-20100302-sws17-ls/data/separated/p30-3-a01.data	-3	-0.671	4.084	30	1
../033-20100302-sws17-ls/data/separated/p30-3-a02.data	-3	-0.904	4.12	30	2
../033-20100302-sws17-ls/data/separated/p30-3-a03.data	-3	-1.04	3.998	30	3
../033-20100302-sws17-ls/data/separated/p30-3-a04.data	-3	-1.193	3.816	30	4
../033-20100302-sws17-ls/data/separated/p30-3-a05.data	-3	-1.209	3.862	30	5
../033-20100302-sws17-ls/data/separated/p30-3-a06.data	-3	-1.331	3.776	30	6
../033-20100302-sws17-ls/data/separated/p30-3-a07.data	-3	-1.727	3.837	30	7
../033-20100302-sws17-ls/data/separated/p30-3-a08.data	-3	-1.952	3.827	30	8
