dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion	angle
p30-1-a00.data	229	251	354	0
p30-1-a01.data	227	249	348	1
p30-1-a02.data	227	249	349	2
p30-1-a03.data	226	247	346	3
p30-1-a04.data	224	245	342	4
p30-1-a05.data	222	243	332	5
p30-1-a06.data	220	239	330	6
p30-1-a07.data	219	240	330	7
p30-1-a08.data	218	239	324	8
p30-1-a09.data	218	239	323	9
p30-1-a10.data	216	237	322	10
p30-1-a20.data	216	237	319	20
p30-1-a30.data	213	234	306	30
p30-1-a40.data	213	234	298	40
p30-1-a50.data	212	232	287	50
p30-1-a60.data	211	232	273	60
p30-1-a70.data	209	230	266	70
p30-1-a80.data	209	230	262	80
p30-1-a90.data	207	228	261	90
p30-2-a00.data	228	250	353	0
p30-2-a01.data	227	248	356	1
p30-2-a02.data	225	247	356	2
p30-2-a03.data	226	248	351	3
p30-2-a04.data	225	246	349	4
p30-2-a05.data	225	245	337	5
p30-2-a06.data	223	245	331	6
p30-2-a07.data	223	244	332	7
p30-2-a08.data	221	242	328	8
p30-2-a09.data	219	240	327	9
p30-2-a10.data	220	240	325	10
p30-2-a20.data	217	239	324	20
p30-2-a30.data	218	239	311	30
p30-2-a40.data	215	236	300	40
p30-2-a50.data	215	236	289	50
p30-2-a60.data	213	234	275	60
p30-2-a70.data	213	234	270	70
p30-2-a80.data	211	232	265	80
p30-2-a90.data	211	232	265	90
p30-3-a00.data	230	251	356	0
p30-3-a01.data	223	243	347	1
p30-3-a02.data	221	242	348	2
p30-3-a03.data	220	241	349	3
p30-3-a04.data	218	240	345	4
p30-3-a05.data	214	235	331	5
p30-3-a06.data	214	235	323	6
p30-3-a07.data	212	232	320	7
p30-3-a08.data	211	231	322	8
p30-3-a09.data	210	230	321	9
p30-3-a10.data	208	229	317	10
p30-3-a20.data	208	229	313	20
p30-3-a30.data	207	228	299	30
p30-3-a40.data	206	227	290	40
p30-3-a50.data	204	225	279	50
p30-3-a60.data	203	224	265	60
p30-3-a70.data	199	220	256	70
p30-3-a80.data	199	220	252	80
p30-3-a90.data	199	220	252	90
p33-1-a00.data	230	266	392	0
p33-1-a01.data	227	264	385	1
p33-1-a02.data	227	263	384	2
p33-1-a03.data	225	261	391	3
p33-1-a04.data	225	261	387	4
p33-1-a05.data	224	260	386	5
p33-1-a06.data	221	257	380	6
p33-1-a07.data	219	255	376	7
p33-1-a08.data	218	254	370	8
p33-1-a09.data	218	254	357	9
p33-1-a10.data	217	253	363	10
p33-1-a20.data	217	252	339	20
p33-1-a30.data	216	252	353	30
p33-1-a40.data	213	249	342	40
p33-1-a50.data	212	248	330	50
p33-1-a60.data	211	247	314	60
p33-1-a70.data	211	247	299	70
p33-1-a80.data	211	247	294	80
p33-1-a90.data	209	245	292	90
p33-2-a00.data	230	267	387	0
p33-2-a01.data	230	266	387	1
p33-2-a02.data	228	264	382	2
p33-2-a03.data	228	264	383	3
p33-2-a04.data	225	261	381	4
p33-2-a05.data	223	259	385	5
p33-2-a06.data	222	258	381	6
p33-2-a07.data	219	255	377	7
p33-2-a08.data	218	254	372	8
p33-2-a09.data	216	252	367	9
p33-2-a10.data	214	251	366	10
p33-2-a20.data	214	249	336	20
p33-2-a30.data	211	247	348	30
p33-2-a40.data	211	247	339	40
p33-2-a50.data	210	246	328	50
p33-2-a60.data	208	243	311	60
p33-2-a70.data	205	241	293	70
p33-2-a80.data	205	241	288	80
p33-2-a90.data	204	240	287	90
p33-3-a00.data	230	265	383	0
p33-3-a01.data	227	263	385	1
p33-3-a02.data	226	262	395	2
p33-3-a03.data	226	262	383	3
p33-3-a04.data	226	262	391	4
p33-3-a05.data	225	261	387	5
p33-3-a06.data	221	257	381	6
p33-3-a07.data	221	257	378	7
p33-3-a08.data	219	256	376	8
p33-3-a09.data	219	255	371	9
p33-3-a10.data	216	252	373	10
p33-3-a20.data	214	250	338	20
p33-3-a30.data	214	250	351	30
