fileName	anglePitch	forceMaxAdhesion	forceMaxShear
../034-sws17-ldp/data/separated/ldp-p29-d00.data	 -3.0	-2.368	 0.309	
../034-sws17-ldp/data/separated/ldp-p29-d04.data	 -3.0	-2.345	 1.259	
../034-sws17-ldp/data/separated/ldp-p29-d08.data	 -3.0	-2.468	 2.105	
../034-sws17-ldp/data/separated/ldp-p29-d12.data	 -3.0	-3.813	 3.261	
../034-sws17-ldp/data/separated/ldp-p29-d16.data	 -3.0	-1.482	 3.658	
../034-sws17-ldp/data/separated/ldp-p29-d20.data	 -3.0	-1.800	 4.138	
../034-sws17-ldp/data/separated/ldp-p29-d24.data	 -3.0	-1.768	 3.931	
../034-sws17-ldp/data/separated/ldp-p29-d28.data	 -3.0	-1.907	 4.191	
../034-sws17-ldp/data/separated/ldp-p29-d32.data	 -3.0	-1.875	 3.910	
../034-sws17-ldp/data/separated/ldp-p29-d36.data	 -3.0	-1.953	 4.127	
../034-sws17-ldp/data/separated/ldp-p29-d40.data	 -3.0	-1.784	 4.006	
../034-sws17-ldp/data/separated/ldp-p31-d00.data	 -3.0	-2.403	 0.335	
../034-sws17-ldp/data/separated/ldp-p31-d04.data	 -3.0	-2.444	 1.323	
../034-sws17-ldp/data/separated/ldp-p31-d08.data	 -3.0	-3.563	 2.379	
../034-sws17-ldp/data/separated/ldp-p31-d12.data	 -3.0	-3.733	 3.556	
../034-sws17-ldp/data/separated/ldp-p31-d16.data	 -3.0	-3.808	 3.776	
../034-sws17-ldp/data/separated/ldp-p31-d20.data	 -3.0	-1.197	 4.718	
../034-sws17-ldp/data/separated/ldp-p31-d24.data	 -3.0	-1.541	 5.242	
../034-sws17-ldp/data/separated/ldp-p31-d28.data	 -3.0	-1.360	 4.869	
../034-sws17-ldp/data/separated/ldp-p31-d32.data	 -3.0	-1.349	 5.149	
../034-sws17-ldp/data/separated/ldp-p31-d36.data	 -3.0	-1.296	 4.865	
../034-sws17-ldp/data/separated/ldp-p31-d40.data	 -3.0	-1.100	 4.712	
../034-sws17-ldp/data/separated/ldp-p33-d00.data	 -3.0	-2.385	 0.275	
../034-sws17-ldp/data/separated/ldp-p33-d04.data	 -3.0	-2.329	 1.271	
../034-sws17-ldp/data/separated/ldp-p33-d08.data	 -3.0	-3.572	 2.434	
../034-sws17-ldp/data/separated/ldp-p33-d12.data	 -3.0	-3.578	 3.580	
../034-sws17-ldp/data/separated/ldp-p33-d16.data	 -3.0	-3.885	 3.835	
../034-sws17-ldp/data/separated/ldp-p33-d20.data	 -3.0	-1.938	 5.492	
../034-sws17-ldp/data/separated/ldp-p33-d24.data	 -3.0	-2.147	 5.436	
../034-sws17-ldp/data/separated/ldp-p33-d28.data	 -3.0	-1.247	 6.438	
../034-sws17-ldp/data/separated/ldp-p33-d32.data	 -3.0	-1.274	 6.408	
../034-sws17-ldp/data/separated/ldp-p33-d36.data	 -3.0	-1.466	 6.747	
../034-sws17-ldp/data/separated/ldp-p33-d40.data	 -3.0	-1.429	 6.631	
../034-sws17-ldp/data/separated/ldp-p35-d00.data	 -3.0	-2.498	 0.301	
../034-sws17-ldp/data/separated/ldp-p35-d04.data	 -3.0	-2.279	 1.256	
../034-sws17-ldp/data/separated/ldp-p35-d08.data	 -3.0	-3.656	 2.435	
../034-sws17-ldp/data/separated/ldp-p35-d12.data	 -3.0	-3.576	 3.599	
../034-sws17-ldp/data/separated/ldp-p35-d16.data	 -3.0	-3.805	 3.636	
../034-sws17-ldp/data/separated/ldp-p35-d20.data	 -3.0	-2.569	 5.650	
../034-sws17-ldp/data/separated/ldp-p35-d24.data	 -3.0	-2.456	 5.317	
../034-sws17-ldp/data/separated/ldp-p35-d28.data	 -3.0	-0.414	 6.807	
../034-sws17-ldp/data/separated/ldp-p35-d32.data	 -3.0	-0.510	 6.801	
../034-sws17-ldp/data/separated/ldp-p35-d36.data	 -3.0	-0.638	 6.974	
../034-sws17-ldp/data/separated/ldp-p35-d40.data	 -3.0	-1.027	 7.357	
