dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
ldp-p29-d00.data	204	211	228
ldp-p29-d04.data	191	200	230
ldp-p29-d08.data	210	218	262
ldp-p29-d12.data	208	218	282
ldp-p29-d16.data	219	227	292
ldp-p29-d20.data	215	227	299
ldp-p29-d24.data	203	211	287
ldp-p29-d28.data	195	204	283
ldp-p29-d32.data	193	199	275
ldp-p29-d36.data	208	216	292
ldp-p29-d40.data	216	225	296
ldp-p31-d00.data	226	242	268
ldp-p31-d04.data	222	237	272
ldp-p31-d08.data	215	232	292
ldp-p31-d12.data	215	230	301
ldp-p31-d16.data	204	220	310
ldp-p31-d20.data	215	233	314
ldp-p31-d24.data	209	225	319
ldp-p31-d28.data	211	226	320
ldp-p31-d32.data	200	218	302
ldp-p31-d36.data	199	219	309
ldp-p31-d40.data	268	285	375
ldp-p33-d00.data	218	245	279
ldp-p33-d04.data	206	233	281
ldp-p33-d08.data	208	236	300
ldp-p33-d12.data	214	241	321
ldp-p33-d16.data	204	230	331
ldp-p33-d20.data	213	241	336
ldp-p33-d24.data	218	239	356
ldp-p33-d28.data	172	198	305
ldp-p33-d32.data	197	223	327
ldp-p33-d36.data	216	242	347
ldp-p33-d40.data	192	218	332
ldp-p35-d00.data	213	245	288
ldp-p35-d04.data	205	238	295
ldp-p35-d08.data	236	267	345
ldp-p35-d12.data	194	230	323
ldp-p35-d16.data	206	241	343
ldp-p35-d20.data	220	251	357
ldp-p35-d24.data	222	256	383
ldp-p35-d28.data	219	253	361
ldp-p35-d32.data	216	252	357
ldp-p35-d36.data	230	265	379
ldp-p35-d40.data	231	266	380
