March 08, 2010 16:10
529b02
H:\034-sws17-ldp\traj\LDP-vp20-vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -3
roll angle = 280
cantilever = 529b02
sample = sws17
temp = 21.1
humidity = 30.0
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
401.2188	-2.563477E-2	8.850098E-3	9.460449E-3	6.713867E-3
401.2188	-1.892090E-2	4.882812E-3	9.155273E-3	5.798340E-3
401.2344	-1.831055E-2	4.882812E-3	9.155273E-3	6.713867E-3
401.25	-1.983643E-2	2.746582E-3	9.155273E-3	6.103516E-3
401.2656	-2.166748E-2	1.159668E-2	9.155273E-3	6.103516E-3
401.2813	-1.434326E-2	1.098633E-2	8.850098E-3	6.408691E-3
401.2813	-2.624512E-2	4.272461E-3	9.155273E-3	5.798340E-3
401.2969	-1.953125E-2	8.850098E-3	9.155273E-3	6.408691E-3
401.3125	-1.831055E-2	1.342773E-2	9.155273E-3	6.103516E-3
401.3281	-1.983643E-2	1.342773E-2	9.460449E-3	6.103516E-3
401.3438	-2.227783E-2	9.155273E-3	9.155273E-3	6.103516E-3
401.3594	-1.647949E-2	1.037598E-2	9.155273E-3	5.798340E-3
401.375	-1.831055E-2	1.525879E-2	9.155273E-3	5.493164E-3
401.3906	-1.556396E-2	6.408691E-3	9.155273E-3	6.103516E-3
401.4219	-3.082275E-2	1.647949E-2	9.155273E-3	6.408691E-3
401.4219	-1.556396E-2	1.129150E-2	8.850098E-3	7.019043E-3
401.4531	-2.227783E-2	1.403809E-2	8.850098E-3	7.019043E-3
401.4531	-1.922607E-2	1.190186E-2	8.850098E-3	6.408691E-3
401.4688	-2.380371E-2	9.765625E-3	8.544922E-3	6.408691E-3
401.4844	-2.075195E-2	1.098633E-2	8.850098E-3	5.798340E-3
401.4844	-1.953125E-2	6.408691E-3	8.850098E-3	6.103516E-3
401.5	-2.044678E-2	1.129150E-2	8.850098E-3	5.798340E-3
401.5156	-1.953125E-2	1.190186E-2	9.155273E-3	6.408691E-3
401.5313	-2.319336E-2	2.746582E-3	8.850098E-3	6.103516E-3
401.5469	-1.922607E-2	5.493164E-3	8.850098E-3	6.103516E-3
401.5625	-2.410889E-2	1.251221E-2	9.155273E-3	6.408691E-3
401.5625	-2.288818E-2	1.708984E-2	9.155273E-3	6.103516E-3
401.5781	-1.922607E-2	7.019043E-3	9.460449E-3	6.713867E-3
401.5781	-1.800537E-2	1.312256E-2	8.544922E-3	6.103516E-3
401.5938	-1.586914E-2	1.098633E-2	8.544922E-3	6.103516E-3
401.6094	-2.288818E-2	7.019043E-3	9.155273E-3	6.408691E-3
401.625	-1.617432E-2	9.765625E-3	9.155273E-3	6.713867E-3
401.6406	-1.617432E-2	9.765625E-3	9.155273E-3	6.408691E-3
401.6406	-1.617432E-2	5.798340E-3	8.544922E-3	6.103516E-3
401.6563	-2.868652E-2	8.544922E-3	8.850098E-3	6.713867E-3
401.6719	-1.983643E-2	1.007080E-2	9.155273E-3	6.408691E-3
401.6719	-1.678467E-2	1.251221E-2	9.155273E-3	6.103516E-3
401.7031	-1.861572E-2	7.934570E-3	9.155273E-3	6.103516E-3
401.7031	-2.258301E-2	1.037598E-2	8.850098E-3	7.019043E-3
401.7188	-1.892090E-2	6.103516E-4	9.155273E-3	6.408691E-3
401.7188	-2.532959E-2	5.187988E-3	9.155273E-3	6.103516E-3
401.7344	-2.288818E-2	9.155273E-4	8.850098E-3	7.019043E-3
401.75	-2.319336E-2	1.098633E-2	9.155273E-3	5.493164E-3
401.75	-1.892090E-2	7.324219E-3	9.460449E-3	6.103516E-3
401.7656	-1.800537E-2	3.662109E-3	9.155273E-3	6.408691E-3
401.7813	-2.166748E-2	1.068115E-2	9.155273E-3	5.798340E-3
401.7969	-2.044678E-2	8.544922E-3	8.850098E-3	6.103516E-3
