fileName	pulloffAngle	forceMaxAdhesion	forceMaxShear	forcePreload
p27-a00.data	  0.0	-1.581	 2.944	 0.572	
p27-a01.data	  1.0	-1.612	 2.874	 0.585	
p27-a02.data	  2.0	-1.766	 2.795	 0.497	
p27-a03.data	  3.0	-1.835	 2.713	 0.481	
p27-a04.data	  4.0	-1.894	 2.629	 0.549	
p27-a05.data	  5.0	-1.910	 2.538	 0.527	
p27-a06.data	  6.0	-2.090	 2.581	 0.531	
p27-a07.data	  7.0	-2.132	 2.450	 0.514	
p27-a08.data	  8.0	-2.203	 2.426	 0.524	
p27-a09.data	  9.0	-2.315	 2.436	 0.474	
p27-a10.data	 10.0	-2.321	 2.324	 0.570	
p27-a20.data	 20.0	-2.815	 1.979	 0.574	
p27-a30.data	 30.0	-2.875	 1.983	 0.558	
p27-a40.data	 40.0	-3.118	 1.982	 0.417	
p27-a50.data	 50.0	-3.120	 1.842	 0.531	
p27-a60.data	 60.0	-3.431	 1.729	 0.423	
p27-a70.data	 70.0	-3.421	 1.431	 0.558	
p27-a80.data	 80.0	-3.539	 1.033	 0.400	
p27-a90.data	 90.0	-3.377	 0.555	 0.404	
p29-a00.data	  0.0	-0.936	 3.618	 2.479	
p29-a01.data	  1.0	-0.988	 3.450	 2.506	
p29-a02.data	  2.0	-1.003	 3.411	 2.646	
p29-a03.data	  3.0	-1.270	 3.375	 2.563	
p29-a04.data	  4.0	-1.305	 3.379	 2.663	
p29-a05.data	  5.0	-1.499	 3.320	 2.520	
p29-a06.data	  6.0	-1.653	 3.272	 2.460	
p29-a07.data	  7.0	-1.719	 3.118	 2.490	
p29-a08.data	  8.0	-1.634	 2.991	 2.616	
p29-a09.data	  9.0	-1.958	 2.946	 2.474	
p29-a10.data	 10.0	-1.805	 2.884	 2.646	
p29-a20.data	 20.0	-2.531	 2.605	 2.525	
p29-a30.data	 30.0	-2.387	 2.452	 2.684	
p29-a40.data	 40.0	-2.500	 2.320	 2.656	
p29-a50.data	 50.0	-3.087	 1.652	 2.691	
p29-a60.data	 60.0	-3.096	 1.669	 2.626	
p29-a70.data	 70.0	-3.317	 1.701	 2.456	
p29-a80.data	 80.0	-3.306	 1.178	 2.403	
p29-a90.data	 90.0	-3.172	 0.544	 2.554	
p31-a00.data	  0.0	-0.734	 4.655	 4.636	
p31-a01.data	  1.0	-0.883	 4.529	 4.604	
p31-a02.data	  2.0	-1.013	 4.415	 4.628	
p31-a03.data	  3.0	-1.085	 4.303	 4.584	
p31-a04.data	  4.0	-1.236	 4.348	 4.560	
p31-a05.data	  5.0	-1.155	 4.133	 4.628	
p31-a06.data	  6.0	-1.253	 4.055	 4.599	
p31-a07.data	  7.0	-1.223	 3.815	 4.674	
p31-a08.data	  8.0	-1.467	 3.863	 4.571	
p31-a09.data	  9.0	-1.556	 3.788	 4.645	
p31-a10.data	 10.0	-1.515	 3.673	 4.690	
p31-a20.data	 20.0	-2.259	 2.939	 4.557	
p31-a30.data	 30.0	-2.520	 3.024	 4.597	
p31-a40.data	 40.0	-3.139	 1.506	 4.781	
p31-a50.data	 50.0	-3.096	 1.613	 4.741	
p31-a60.data	 60.0	-3.265	 1.669	 4.604	
p31-a70.data	 70.0	-3.415	 2.112	 4.523	
p31-a80.data	 80.0	-3.124	 1.348	 4.706	
p31-a90.data	 90.0	-3.184	 0.525	 4.853	
p33-a00.data	  0.0	-1.498	 7.143	 6.998	
p33-a01.data	  1.0	-1.885	 7.027	 6.789	
p33-a02.data	  2.0	-1.641	 6.341	 6.768	
p33-a03.data	  3.0	-1.393	 5.971	 6.936	
p33-a04.data	  4.0	-1.186	 5.554	 6.975	
p33-a05.data	  5.0	-1.184	 5.357	 6.976	
p33-a06.data	  6.0	-1.386	 5.095	 6.790	
p33-a07.data	  7.0	-1.381	 4.894	 6.794	
p33-a08.data	  8.0	-1.377	 4.672	 6.754	
p33-a09.data	  9.0	-1.314	 4.578	 6.825	
p33-a10.data	 10.0	-1.360	 4.378	 6.964	
p33-a20.data	 20.0	-1.832	 3.466	 6.922	
p33-a30.data	 30.0	-2.052	 3.347	 6.710	
p33-a40.data	 40.0	-2.321	 3.242	 6.682	
p33-a50.data	 50.0	-2.702	 3.010	 6.419	
p33-a60.data	 60.0	-2.610	 2.666	 6.789	
p33-a70.data	 70.0	-2.458	 2.043	 6.765	
p33-a80.data	 80.0	-3.291	 1.526	 6.905	
p33-a90.data	 90.0	-3.237	 0.540	 6.897	
p35-a00.data	  0.0	-2.713	 10.487	 9.167	
p35-a01.data	  1.0	-2.255	 9.141	 9.014	
p35-a02.data	  2.0	-2.248	 8.766	 9.000	
p35-a03.data	  3.0	-2.332	 8.449	 9.151	
p35-a04.data	  4.0	-2.318	 8.050	 8.967	
p35-a05.data	  5.0	-2.364	 7.785	 9.003	
p35-a06.data	  6.0	-2.439	 7.443	 8.975	
p35-a07.data	  7.0	-2.242	 6.947	 8.882	
p35-a08.data	  8.0	-1.877	 6.389	 8.940	
p35-a09.data	  9.0	-1.837	 6.089	 9.026	
p35-a10.data	 10.0	-1.699	 5.703	 9.116	
p35-a20.data	 20.0	-1.877	 4.293	 8.965	
p35-a30.data	 30.0	-2.117	 3.489	 8.891	
p35-a40.data	 40.0	-2.092	 3.240	 9.148	
p35-a50.data	 50.0	-2.413	 2.985	 8.917	
p35-a60.data	 60.0	-2.403	 2.972	 8.966	
p35-a70.data	 70.0	-2.810	 2.393	 8.704	
p35-a80.data	 80.0	-3.405	 1.711	 8.893	
p35-a90.data	 90.0	-3.457	 0.591	 8.865	
