fileName	pulloffAngle	forceMaxAdhesion	forceMaxShear	forcePreload
p27-a00.data	  0.0	-1.384	 1.277	 0.257	
p27-a01.data	  1.0	-1.465	 1.300	 0.290	
p27-a02.data	  2.0	-1.430	 1.226	 0.259	
p27-a03.data	  3.0	-1.526	 1.207	 0.248	
p27-a04.data	  4.0	-1.659	 1.188	 0.251	
p27-a05.data	  5.0	-1.740	 1.121	 0.137	
p27-a06.data	  6.0	-1.598	 1.093	 0.279	
p27-a07.data	  7.0	-1.710	 1.106	 0.294	
p27-a08.data	  8.0	-1.747	 1.023	 0.240	
p27-a09.data	  9.0	-1.725	 0.986	 0.272	
p27-a10.data	 10.0	-1.772	 0.977	 0.268	
p27-a20.data	 20.0	-1.767	 0.661	 0.263	
p27-a30.data	 30.0	-1.833	 0.620	 0.221	
p27-a40.data	 40.0	-1.792	 0.573	 0.299	
p27-a50.data	 50.0	-1.818	 0.531	 0.267	
p27-a60.data	 60.0	-1.762	 0.414	 0.249	
p27-a70.data	 70.0	-1.847	 0.314	 0.240	
p27-a80.data	 80.0	-1.818	 0.158	 0.259	
p27-a90.data	 90.0	-1.908	 0.067	 0.197	
p29-a00.data	  0.0	-1.216	 1.567	 1.303	
p29-a01.data	  1.0	-1.208	 1.470	 1.261	
p29-a02.data	  2.0	-1.222	 1.409	 1.305	
p29-a03.data	  3.0	-1.144	 1.280	 1.297	
p29-a04.data	  4.0	-1.231	 1.258	 1.270	
p29-a05.data	  5.0	-1.226	 1.198	 1.268	
p29-a06.data	  6.0	-1.385	 1.172	 1.149	
p29-a07.data	  7.0	-1.446	 1.147	 1.150	
p29-a08.data	  8.0	-1.496	 1.199	 1.310	
p29-a09.data	  9.0	-1.508	 1.158	 1.257	
p29-a10.data	 10.0	-1.567	 1.132	 1.248	
p29-a20.data	 20.0	-1.896	 0.864	 1.117	
p29-a30.data	 30.0	-1.848	 0.800	 1.147	
p29-a40.data	 40.0	-1.847	 0.724	 1.156	
p29-a50.data	 50.0	-1.829	 0.627	 1.208	
p29-a60.data	 60.0	-1.841	 0.547	 1.146	
p29-a70.data	 70.0	-1.734	 0.394	 1.251	
p29-a80.data	 80.0	-1.835	 0.247	 1.232	
p29-a90.data	 90.0	-1.976	 0.099	 1.191	
p31-a00.data	  0.0	-1.019	 1.654	 2.180	
p31-a01.data	  1.0	-1.016	 1.585	 2.192	
p31-a02.data	  2.0	-1.042	 1.504	 2.190	
p31-a03.data	  3.0	-1.085	 1.449	 2.195	
p31-a04.data	  4.0	-1.189	 1.473	 2.195	
p31-a05.data	  5.0	-1.196	 1.436	 2.193	
p31-a06.data	  6.0	-1.155	 1.299	 2.196	
p31-a07.data	  7.0	-1.172	 1.279	 2.200	
p31-a08.data	  8.0	-1.185	 1.234	 2.186	
p31-a09.data	  9.0	-1.243	 1.226	 2.242	
p31-a10.data	 10.0	-1.232	 1.167	 2.218	
p31-a20.data	 20.0	-1.702	 1.053	 2.253	
p31-a30.data	 30.0	-1.671	 0.909	 2.262	
p31-a40.data	 40.0	-1.837	 0.884	 2.211	
p31-a50.data	 50.0	-1.856	 0.780	 2.226	
p31-a60.data	 60.0	-1.863	 0.665	 2.231	
p31-a70.data	 70.0	-1.838	 0.476	 2.245	
p31-a80.data	 80.0	-1.901	 0.279	 2.177	
p31-a90.data	 90.0	-1.943	 0.080	 2.192	
p33-a00.data	  0.0	-0.803	 1.803	 3.244	
p33-a01.data	  1.0	-0.877	 1.722	 3.246	
p33-a02.data	  2.0	-0.954	 1.746	 3.222	
p33-a03.data	  3.0	-1.015	 1.656	 3.132	
p33-a04.data	  4.0	-1.091	 1.699	 3.261	
p33-a05.data	  5.0	-0.913	 1.513	 3.246	
p33-a06.data	  6.0	-1.026	 1.510	 3.263	
p33-a07.data	  7.0	-1.061	 1.466	 3.292	
p33-a08.data	  8.0	-1.062	 1.407	 3.230	
p33-a09.data	  9.0	-1.147	 1.439	 3.267	
p33-a10.data	 10.0	-1.103	 1.333	 3.223	
p33-a20.data	 20.0	-1.586	 1.139	 3.131	
p33-a30.data	 30.0	-1.753	 1.062	 3.272	
p33-a40.data	 40.0	-1.784	 0.979	 3.204	
p33-a50.data	 50.0	-1.723	 0.857	 3.243	
p33-a60.data	 60.0	-1.845	 0.704	 3.211	
p33-a70.data	 70.0	-1.947	 0.561	 3.106	
p33-a80.data	 80.0	-1.959	 0.325	 3.122	
p33-a90.data	 90.0	-2.016	 0.078	 3.216	
p35-a00.data	  0.0	-0.570	 1.706	 4.145	
p35-a01.data	  1.0	-0.510	 1.680	 4.257	
p35-a02.data	  2.0	-0.570	 1.653	 4.305	
p35-a03.data	  3.0	-0.691	 1.666	 4.193	
p35-a04.data	  4.0	-0.794	 1.676	 4.192	
p35-a05.data	  5.0	-0.937	 1.727	 4.178	
p35-a06.data	  6.0	-0.855	 1.652	 4.278	
p35-a07.data	  7.0	-0.946	 1.595	 4.183	
p35-a08.data	  8.0	-1.042	 1.599	 4.163	
p35-a09.data	  9.0	-1.106	 1.624	 4.233	
p35-a10.data	 10.0	-1.056	 1.501	 4.167	
p35-a20.data	 20.0	-1.422	 1.213	 4.169	
p35-a30.data	 30.0	-1.612	 1.129	 4.267	
p35-a40.data	 40.0	-1.812	 1.079	 4.151	
p35-a50.data	 50.0	-1.716	 0.941	 4.250	
p35-a60.data	 60.0	-1.771	 0.802	 4.275	
p35-a70.data	 70.0	-1.827	 0.576	 4.226	
p35-a80.data	 80.0	-1.954	 0.395	 4.231	
p35-a90.data	 90.0	-2.052	 0.079	 4.248	
