dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p27-a00.data	232	236	353
p27-a01.data	233	236	350
p27-a02.data	232	235	343
p27-a03.data	232	235	339
p27-a04.data	230	233	335
p27-a05.data	228	231	328
p27-a06.data	228	231	323
p27-a07.data	228	231	321
p27-a08.data	228	231	317
p27-a09.data	226	229	312
p27-a10.data	226	229	309
p27-a20.data	224	227	282
p27-a30.data	224	227	279
p27-a40.data	223	226	274
p27-a50.data	223	226	269
p27-a60.data	222	225	261
p27-a70.data	222	225	255
p27-a80.data	221	224	248
p27-a90.data	221	223	246
p29-a00.data	233	247	388
p29-a01.data	232	244	380
p29-a02.data	232	246	373
p29-a03.data	231	245	366
p29-a04.data	229	242	359
p29-a05.data	229	242	355
p29-a06.data	228	241	350
p29-a07.data	228	240	347
p29-a08.data	226	239	345
p29-a09.data	226	239	341
p29-a10.data	224	237	336
p29-a20.data	222	235	308
p29-a30.data	223	235	302
p29-a40.data	221	233	295
p29-a50.data	221	233	289
p29-a60.data	220	232	281
p29-a70.data	219	232	272
p29-a80.data	219	232	266
p29-a90.data	217	230	262
p31-a00.data	234	257	414
p31-a01.data	232	254	407
p31-a02.data	232	254	402
p31-a03.data	231	255	396
p31-a04.data	231	255	390
p31-a05.data	229	251	385
p31-a06.data	228	250	379
p31-a07.data	228	251	374
p31-a08.data	227	249	369
p31-a09.data	227	249	365
p31-a10.data	226	248	362
p31-a20.data	225	249	337
p31-a30.data	223	246	327
p31-a40.data	223	245	322
p31-a50.data	223	245	315
p31-a60.data	222	244	306
p31-a70.data	222	244	296
p31-a80.data	222	244	288
p31-a90.data	221	242	284
p33-a00.data	232	264	438
p33-a01.data	232	264	433
p33-a02.data	230	266	427
p33-a03.data	231	263	420
p33-a04.data	228	260	417
p33-a05.data	228	262	411
p33-a06.data	227	259	406
p33-a07.data	226	258	400
p33-a08.data	226	258	397
p33-a09.data	224	256	391
p33-a10.data	224	256	387
p33-a20.data	223	254	358
p33-a30.data	222	254	348
p33-a40.data	222	254	343
p33-a50.data	221	253	334
p33-a60.data	221	253	326
p33-a70.data	222	253	315
p33-a80.data	221	252	306
p33-a90.data	220	252	304
p35-a00.data	235	276	462
p35-a01.data	232	273	454
p35-a02.data	232	276	450
p35-a03.data	229	270	441
p35-a04.data	229	271	435
p35-a05.data	226	267	432
p35-a06.data	223	265	425
p35-a07.data	223	264	420
p35-a08.data	219	260	413
p35-a09.data	215	257	408
p35-a10.data	216	257	403
p35-a20.data	215	256	374
p35-a30.data	214	256	361
p35-a40.data	213	254	354
p35-a50.data	210	252	344
p35-a60.data	209	251	334
p35-a70.data	207	249	322
p35-a80.data	205	247	312
p35-a90.data	205	247	309
