        Nominal	           Drag	        Pulloff	       Measured	       Measured	            Max	            Max	            Max	         Normal	
        Preload	       Distance	          Angle	        Preload	    Compression	        Preload	       Adhesion	          Shear	         Spring	
           (um)	           (um)	          (deg)	           (um)	           (um)	           (uN)	           (uN)	           (uN)	       Constant	
             01	             50	             00	         -1.001	         -1.267	          0.083	         -0.032	          0.011	         -0.066	
             02	             50	             00	         -1.886	         -2.146	          0.081	         -0.032	          0.008	         -0.038	
             03	             50	             00	         -2.988	         -3.218	          0.072	         -0.050	          0.010	         -0.022	
             04	             50	             00	         -3.989	         -4.230	          0.076	         -0.059	          0.011	         -0.018	
             05	             50	             00	         -4.929	         -5.159	          0.072	         -0.081	          0.014	         -0.014	
             06	             50	             00	         -5.972	         -6.213	          0.075	         -0.189	          0.539	         -0.012	
             07	             50	             00	         -4.636	         -4.872	          0.074	         -1.173	          2.244	         -0.015	
             08	             50	             00	         -5.270	         -5.551	          0.088	         -1.093	          2.593	         -0.016	
             09	             50	             00	          1.422	          0.595	          0.259	         -1.052	          2.680	          0.436	
             10	             50	             00	          2.341	          0.786	          0.487	         -1.012	          3.108	          0.619	
             11	             50	             00	          3.595	          1.207	          0.747	         -1.106	          3.102	          0.619	
             12	             50	             00	          4.218	          1.328	          0.905	         -1.218	          3.273	          0.681	
             13	             50	             00	          5.283	          1.579	          1.159	         -1.065	          3.743	          0.734	
             14	             50	             00	          6.424	          1.879	          1.423	         -1.175	          3.738	          0.757	
             15	             50	             00	          7.495	          2.096	          1.690	         -1.179	          3.711	          0.806	
             01	             80	             00	         -0.815	         -1.195	          0.119	         -0.034	          0.008	         -0.100	
             02	             80	             00	         -1.233	         -1.630	          0.124	         -0.040	          0.009	         -0.076	
             03	             80	             00	         -2.988	         -3.411	          0.133	         -0.050	          0.010	         -0.039	
             04	             80	             00	         -3.979	         -4.376	          0.124	         -0.062	          0.011	         -0.028	
             05	             80	             00	         -4.697	         -5.102	          0.127	         -0.076	          0.014	         -0.025	
             06	             80	             00	         -5.969	         -6.383	          0.130	         -0.094	          0.013	         -0.020	
             07	             80	             00	         -6.653	         -7.043	          0.122	         -0.110	          0.016	         -0.017	
             08	             80	             00	         -7.959	         -8.376	          0.131	         -0.579	          1.402	         -0.016	
             09	             80	             00	         -8.890	         -9.275	          0.121	         -0.722	          2.349	         -0.013	
             10	             80	             00	         -9.781	        -10.183	          0.126	         -0.858	          2.599	         -0.012	
             11	             80	             00	          1.221	          0.277	          0.295	         -0.771	          2.960	          1.067	
             12	             80	             00	          2.753	          1.004	          0.547	         -0.701	          2.853	          0.545	
             13	             80	             00	          3.741	          1.235	          0.784	         -0.628	          3.165	          0.635	
             14	             80	             00	          4.773	          1.434	          1.045	         -0.585	          3.444	          0.729	
             15	             80	             00	          5.841	          1.691	          1.299	         -0.488	          3.738	          0.768	
