         Sample	     Cantilever	        Pulloff	            Max	            Max	
		          Angle	       Adhesion	          Shear	
		          (deg)	           (uN)	           (uN)	
           sws6	         629A03	             00	         -0.538	          3.424	
           sws6	         629A03	             05	         -0.625	          1.971	
           sws6	         629A03	             10	         -0.477	          1.455	
           sws6	         629A03	             15	         -0.554	          1.183	
           sws6	         629A03	             20	         -0.592	          1.020	
           sws6	         629A03	             25	         -0.546	          0.823	
           sws6	         629A03	             30	         -0.494	          0.664	
           sws6	         629A03	             35	         -0.565	          0.604	
           sws6	         629A03	             40	         -0.705	          0.601	
           sws6	         629A03	             45	         -0.796	          0.567	
           sws6	         629A03	             50	         -0.895	          0.518	
           sws6	         629A03	             55	         -0.924	          0.463	
           sws6	         629A03	             60	         -0.998	          0.397	
           sws6	         629A03	             65	         -0.997	          0.330	
           sws6	         629A03	             70	         -1.051	          0.287	
           sws6	         629A03	             75	         -1.097	          0.226	
           sws6	         629A03	             80	         -1.131	          0.173	
           sws6	         629A03	             85	         -1.143	          0.124	
           sws6	         629A03	             90	         -1.181	          0.049	
           sws6	         629A03	             00	         -3.361	          6.184	
           sws6	         629A03	             05	         -0.390	          3.630	
           sws6	         629A03	             10	         -0.532	          3.173	
           sws6	         629A03	             15	         -0.614	          2.550	
           sws6	         629A03	             20	         -0.646	          2.088	
           sws6	         629A03	             25	         -0.560	          1.623	
           sws6	         629A03	             30	         -0.565	          1.355	
           sws6	         629A03	             35	         -0.583	          1.149	
           sws6	         629A03	             40	         -0.674	          1.086	
           sws6	         629A03	             45	         -0.627	          0.923	
           sws6	         629A03	             50	         -0.647	          0.803	
           sws6	         629A03	             55	         -0.774	          0.713	
           sws6	         629A03	             60	         -0.876	          0.641	
           sws6	         629A03	             65	         -1.141	          0.643	
           sws6	         629A03	             70	         -1.182	          0.543	
           sws6	         629A03	             75	         -1.246	          0.459	
           sws6	         629A03	             80	         -1.370	          0.359	
           sws6	         629A03	             85	         -1.418	          0.245	
           sws6	         629A03	             90	         -1.390	          0.127	
           sws6	         629A03	             90	         -0.512	          0.039	
           sws6	         629A03	             00	         -3.509	          6.151	
           sws6	         629A03	             05	         -2.525	          6.202	
           sws6	         629A03	             10	         -0.723	          4.695	
           sws6	         629A03	             15	         -0.769	          3.823	
           sws6	         629A03	             20	         -0.819	          3.089	
           sws6	         629A03	             25	         -0.796	          2.502	
           sws6	         629A03	             30	         -0.714	          2.005	
           sws6	         629A03	             35	         -0.682	          1.658	
           sws6	         629A03	             40	         -0.680	          1.437	
           sws6	         629A03	             45	         -0.657	          1.184	
           sws6	         629A03	             50	         -0.761	          1.071	
           sws6	         629A03	             55	         -0.839	          0.937	
           sws6	         629A03	             60	         -0.949	          0.807	
           sws6	         629A03	             65	         -1.040	          0.689	
           sws6	         629A03	             70	         -1.297	          0.625	
           sws6	         629A03	             75	         -1.479	          0.527	
           sws6	         629A03	             80	         -1.466	          0.400	
           sws6	         629A03	             85	         -1.421	          0.261	
           sws6	         629A03	             90	         -1.475	          0.106	
           sws6	         629A03	             00	         -2.917	         10.141	
           sws6	         629A03	             05	         -2.058	          6.794	
