        Nominal	           Drag	        Pulloff	       Measured	       Measured	            Max	            Max	            Max	         Normal	
        Preload	       Distance	          Angle	        Preload	    Compression	        Preload	       Adhesion	          Shear	         Spring	
           (um)	           (um)	          (deg)	           (um)	           (um)	           (uN)	           (uN)	           (uN)	       Constant	
             80	             80	             00	        -28.171	        -28.429	          0.081	         -0.480	          0.057	         -0.003	
             81	             80	             00	        -33.057	        -33.335	          0.087	         -0.584	          0.254	         -0.003	
             82	             80	             00	        -28.809	        -29.082	          0.086	         -0.544	          0.621	         -0.003	
             83	             80	             00	        -38.458	        -38.787	          0.103	         -0.630	          1.266	         -0.003	
             84	             80	             00	        -28.107	        -28.337	          0.072	         -0.540	          1.521	         -0.003	
             85	             80	             00	          0.797	          0.126	          0.210	         -0.558	          1.958	          1.665	
             86	             80	             00	          2.136	          0.448	          0.528	         -0.540	          2.388	          1.178	
             87	             80	             00	          2.701	          0.388	          0.724	         -0.536	          2.489	          1.866	
             88	             80	             00	          4.041	          0.656	          1.059	         -0.547	          2.860	          1.614	
             89	             80	             00	          5.103	          0.831	          1.337	         -0.529	          3.038	          1.609	
             90	             80	             00	          6.143	          0.988	          1.614	         -0.534	          2.841	          1.634	
             91	             80	             00	          7.211	          1.075	          1.921	         -0.532	          3.172	          1.786	
             92	             80	             00	          8.246	          1.199	          2.206	         -0.564	          3.782	          1.840	
             80	             80	             00	        -20.752	        -20.936	          0.057	         -0.549	          0.346	         -0.003	
             81	             80	             00	        -21.347	        -21.530	          0.057	         -0.523	          0.658	         -0.003	
             82	             80	             00	        -20.480	        -20.653	          0.054	         -0.558	          1.378	         -0.003	
             83	             80	             00	        -20.871	        -21.050	          0.056	         -0.529	          1.514	         -0.003	
             84	             80	             00	          0.613	          0.061	          0.173	         -0.515	          1.723	          2.849	
             85	             80	             00	          1.611	          0.234	          0.431	         -0.522	          1.989	          1.840	
             86	             80	             00	          2.695	          0.506	          0.685	         -0.523	          2.374	          1.352	
             87	             80	             00	          3.635	          0.610	          0.947	         -0.530	          2.405	          1.553	
             88	             80	             00	          4.666	          0.747	          1.227	         -0.517	          2.466	          1.642	
             89	             80	             00	          5.692	          0.926	          1.492	         -0.524	          2.598	          1.611	
             90	             80	             00	          6.686	          1.084	          1.754	         -0.523	          2.950	          1.618	
             91	             80	             00	          7.718	          1.254	          2.023	         -0.529	          3.186	          1.614	
             92	             80	             00	          8.734	          1.401	          2.295	         -0.523	          3.813	          1.638	
             80	             80	             00	        -19.196	        -19.380	          0.058	         -0.609	          0.364	         -0.003	
             81	             80	             00	        -21.686	        -21.846	          0.050	         -0.517	          0.678	         -0.002	
             82	             80	             00	        -18.500	        -18.670	          0.053	         -0.533	          1.276	         -0.003	
             83	             80	             00	        -25.043	        -25.265	          0.070	         -0.513	          1.353	         -0.003	
             84	             80	             00	          0.571	          0.041	          0.166	         -0.518	          1.613	          4.090	
             85	             80	             00	          1.605	          0.209	          0.437	         -0.525	          1.910	          2.091	
             86	             80	             00	          2.747	          0.495	          0.705	         -0.521	          2.292	          1.423	
             87	             80	             00	          3.772	          0.641	          0.980	         -0.544	          2.361	          1.530	
             88	             80	             00	          4.938	          0.882	          1.269	         -0.530	          2.559	          1.439	
             89	             80	             00	          5.768	          0.965	          1.503	         -0.530	          2.845	          1.558	
             90	             80	             00	          6.516	          1.045	          1.712	         -0.537	          3.132	          1.638	
             91	             80	             00	          7.626	          1.164	          2.023	         -0.522	          3.095	          1.738	
             92	             80	             00	          8.667	          1.381	          2.280	         -0.521	          3.676	          1.651	
             80	             80	             00	        -22.391	        -22.575	          0.058	         -0.632	          0.404	         -0.003	
             81	             80	             00	        -19.183	        -19.355	          0.054	         -0.524	          0.690	         -0.003	
             82	             80	             00	        -20.108	        -20.292	          0.058	         -0.554	          1.272	         -0.003	
             83	             80	             00	        -20.688	        -20.872	          0.058	         -0.881	          1.455	         -0.003	
             84	             80	             00	          0.952	          0.168	          0.245	         -0.532	          1.767	          1.463	
             85	             80	             00	          1.932	          0.350	          0.495	         -0.516	          1.968	          1.417	
             86	             80	             00	          2.921	          0.494	          0.760	         -0.533	          2.395	          1.538	
             87	             80	             00	          3.903	          0.597	          1.035	         -0.518	          2.567	          1.732	
             88	             80	             00	          4.935	          0.793	          1.296	         -0.539	          2.662	          1.635	
             89	             80	             00	          5.923	          0.835	          1.593	         -0.526	          2.905	          1.906	
             90	             80	             00	          6.879	          1.064	          1.820	         -0.559	          3.182	          1.711	
             91	             80	             00	          7.904	          1.226	          2.090	         -0.536	          4.116	          1.705	
             92	             80	             00	          8.887	          1.399	          2.344	         -0.534	          5.225	          1.675	
