                Data	          Trajectory	         Sample	     Cantilever	        Pulloff	            Max	            Max	      Effective	
                File	                File	               	               	          Angle	       Adhesion	          Shear	        Preload	
                Name	                Name	               	               	          (deg)	           (uN)	           (uN)	           (um)	
  ls_20081211_150656	      LS_p30_a00_v20	           sws6	         529b02	             00	         -0.627	          3.792	          6.557
  ls_20081211_150744	      LS_p30_a05_v20	           sws6	         529b02	             05	         -0.791	          3.213	          5.638
  ls_20081211_150831	      LS_p30_a10_v20	           sws6	         529b02	             10	         -0.480	          2.274	          3.515
  ls_20081211_150944	      LS_p30_a15_v20	           sws6	         529b02	             15	         -0.513	          1.327	          0.647
  ls_20081211_151027	      LS_p30_a20_v20	           sws6	         529b02	             20	         -0.544	          1.609	          2.077
  ls_20081211_151115	      LS_p30_a25_v20	           sws6	         529b02	             25	         -0.556	          1.521	          1.817
  ls_20081211_151157	      LS_p30_a30_v20	           sws6	         529b02	             30	         -0.679	          1.606	          2.245
  ls_20081211_151236	      LS_p30_a35_v20	           sws6	         529b02	             35	         -0.572	          1.414	          1.774
  ls_20081211_151444	      LS_p30_a40_v20	           sws6	         529b02	             40	         -0.643	          1.444	          2.056
  ls_20081211_151526	      LS_p30_a45_v20	           sws6	         529b02	             45	         -0.540	          1.314	          1.388
  ls_20081211_151605	      LS_p30_a50_v20	           sws6	         529b02	             50	         -0.523	          1.268	          1.395
  ls_20081211_151642	      LS_p30_a55_v20	           sws6	         529b02	             55	         -0.524	          1.183	          1.461
  ls_20081211_151716	      LS_p30_a60_v20	           sws6	         529b02	             60	         -0.431	          1.045	          1.191
  ls_20081211_151747	      LS_p30_a65_v20	           sws6	         529b02	             65	         -0.287	          0.828	          1.174
  ls_20081211_151816	      LS_p30_a70_v20	           sws6	         529b02	             70	         -0.328	          0.678	          0.641
  ls_20081211_151842	      LS_p30_a75_v20	           sws6	         529b02	             75	         -0.469	          0.612	          0.452
  ls_20081211_151913	      LS_p30_a80_v20	           sws6	         529b02	             80	         -0.646	          0.508	          0.261
  ls_20081211_151938	      LS_p30_a85_v20	           sws6	         529b02	             85	         -1.003	          0.432	          0.350
  ls_20081211_152010	      LS_p30_a90_v20	           sws6	         529b02	             90	         -1.513	          0.277	         -0.192
  ls_20081211_155626	      LS_p35_a00_v20	           sws6	         529b02	             00	         -3.492	         18.998	         18.586
  ls_20081211_155708	      LS_p35_a05_v20	           sws6	         529b02	             05	         -1.876	          8.548	         11.737
  ls_20081211_155750	      LS_p35_a10_v20	           sws6	         529b02	             10	         -0.788	          5.129	          9.100
  ls_20081211_155832	      LS_p35_a15_v20	           sws6	         529b02	             15	         -0.865	          4.295	          7.325
  ls_20081211_155915	      LS_p35_a20_v20	           sws6	         529b02	             20	         -0.917	          3.693	          5.758
  ls_20081211_160009	      LS_p35_a25_v20	           sws6	         529b02	             25	         -0.858	          3.048	          4.604
  ls_20081211_160054	      LS_p35_a30_v20	           sws6	         529b02	             30	         -0.911	          2.918	          4.303
  ls_20081211_160332	      LS_p35_a35_v20	           sws6	         529b02	             35	         -0.842	          2.750	          4.055
  ls_20081211_160420	      LS_p35_a40_v20	           sws6	         529b02	             40	         -0.875	          2.670	          3.809
  ls_20081211_160456	      LS_p35_a45_v20	           sws6	         529b02	             45	         -0.762	          2.397	          3.308
  ls_20081211_160531	      LS_p35_a50_v20	           sws6	         529b02	             50	         -0.607	          2.119	          3.021
  ls_20081211_160609	      LS_p35_a55_v20	           sws6	         529b02	             55	         -0.601	          1.894	          2.532
  ls_20081211_160642	      LS_p35_a60_v20	           sws6	         529b02	             60	         -0.596	          1.664	          2.159
  ls_20081211_160712	      LS_p35_a65_v20	           sws6	         529b02	             65	         -0.650	          1.511	          1.667
  ls_20081211_160741	      LS_p35_a70_v20	           sws6	         529b02	             70	         -0.546	          1.242	          1.445
  ls_20081211_160815	      LS_p35_a75_v20	           sws6	         529b02	             75	         -0.405	          0.962	          1.179
  ls_20081211_160841	      LS_p35_a80_v20	           sws6	         529b02	             80	         -0.470	          0.669	          0.641
  ls_20081211_160908	      LS_p35_a85_v20	           sws6	         529b02	             85	         -0.780	          0.455	          0.177
  ls_20081211_160933	      LS_p35_a90_v20	           sws6	         529b02	             90	         -1.501	          0.299	          0.148
  ls_20081212_124142	      LS_p30_a01_v20	           sws6	         529b02	             01	         -0.752	          2.600	          3.730
  ls_20081212_124250	      LS_p30_a02_v20	           sws6	         529b02	             02	         -0.744	          2.804	          2.533
  ls_20081212_124332	      LS_p30_a03_v20	           sws6	         529b02	             03	         -0.722	          2.383	          2.606
  ls_20081212_124518	      LS_p30_a04_v20	           sws6	         529b02	             04	         -0.715	          2.190	          1.008
  ls_20081212_124601	      LS_p30_a06_v20	           sws6	         529b02	             06	         -0.771	          1.726	          0.047
  ls_20081212_124728	      LS_p30_a07_v20	           sws6	         529b02	             07	         -0.444	          1.108	         -0.181
  ls_20081212_124809	      LS_p30_a08_v20	           sws6	         529b02	             08	         -0.556	          1.072	         -0.622
  ls_20081212_124854	      LS_p30_a09_v20	           sws6	         529b02	             09	         -0.586	          0.894	         -1.021
  ls_20081212_131014	      LS_p35_a01_v20	           sws6	         529b02	             01	         -1.439	          7.010	          9.746
  ls_20081212_131057	      LS_p35_a02_v20	           sws6	         529b02	             02	         -0.773	          5.127	          8.464
  ls_20081212_131139	      LS_p35_a03_v20	           sws6	         529b02	             03	         -0.956	          5.267	          8.147
  ls_20081212_131221	      LS_p35_a04_v20	           sws6	         529b02	             04	         -0.687	          4.377	          7.747
  ls_20081212_131323	      LS_p35_a06_v20	           sws6	         529b02	             06	         -0.742	          4.132	          6.289
  ls_20081212_131405	      LS_p35_a07_v20	           sws6	         529b02	             07	         -0.725	          3.872	          5.703
  ls_20081212_131448	      LS_p35_a08_v20	           sws6	         529b02	             08	         -0.666	          3.541	          6.156
  ls_20081212_131547	      LS_p35_a09_v20	           sws6	         529b02	             09	         -0.760	          3.390	          4.906
