dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
sb_sws7_20090126_155641.data	567	645	1182
sb_sws7_20090126_155703.data	558	712	1074
sb_sws7_20090126_155722.data	546	650	1035
sb_sws7_20090126_155742.data	541	634	979
sb_sws7_20090126_160013.data	541	617	919
sb_sws7_20090126_160032.data	559	631	865
sb_sws7_20090126_160051.data	559	686	813
sb_sws7_20090126_160857.data	513	794	1086
sb_sws7_20090126_160926.data	505	774	1022
sb_sws7_20090126_160944.data	506	729	962
sb_sws7_20090126_161003.data	509	712	874
sb_sws7_20090126_161024.data	495	670	833
sb_sws7_20090126_161047.data	507	641	773
sb_sws7_20090126_161104.data	529	633	739
sb_sws7_20090126_161129.data	465	662	943
sb_sws7_20090126_161234.data	457	664	898
sb_sws7_20090126_161257.data	454	621	826
sb_sws7_20090126_161314.data	461	549	791
sb_sws7_20090126_161330.data	455	616	757
sb_sws7_20090126_161345.data	460	512	681
sb_sws7_20090126_161400.data	454	551	632
sb_sws7_20090126_161454.data	430	481	884
sb_sws7_20090126_161512.data	426	527	828
sb_sws7_20090126_161528.data	418	468	760
sb_sws7_20090126_161544.data	434	464	719
sb_sws7_20090126_161601.data	417	508	660
sb_sws7_20090126_163215.data	613	1037	1473
sb_sws7_20090126_163247.data	584	953	1301
sb_sws7_20090126_163307.data	581	864	1161
sb_sws7_20090126_163328.data	573	794	1024
sb_sws7_20090126_163345.data	564	729	895
sb_sws7_20090126_163403.data	578	691	801
sb_sws7_20090126_163426.data	539	685	1333
sb_sws7_20090126_163449.data	541	732	1174
sb_sws7_20090126_163508.data	538	732	1092
sb_sws7_20090126_163528.data	542	754	958
sb_sws7_20090126_163546.data	529	672	817
sb_sws7_20090126_163604.data	532	614	702
sb_sws7_20090126_163626.data	514	770	1203
sb_sws7_20090126_163648.data	508	594	1070
sb_sws7_20090126_163706.data	516	750	987
sb_sws7_20090126_163726.data	504	681	850
sb_sws7_20090126_163741.data	494	601	723
sb_sws7_20090126_163756.data	476	525	590
sb_sws7_20090126_163830.data	460	485	513
sb_sws7_20090126_163856.data	473	536	1105
sb_sws7_20090126_163917.data	479	542	704
sb_sws7_20090126_163936.data	471	533	877
sb_sws7_20090126_163952.data	473	590	752
sb_sws7_20090126_164006.data	460	540	631
sb_sws7_20090126_164018.data	468	489	517
sb_sws7_20090126_164038.data	442	691	997
sb_sws7_20090126_164058.data	442	661	885
sb_sws7_20090126_164112.data	439	608	791
sb_sws7_20090126_164133.data	439	553	670
sb_sws7_20090126_164152.data	471	691	933
sb_sws7_20090126_165403.data	490	1013	1617
sb_sws7_20090126_165426.data	510	955	1458
sb_sws7_20090126_165446.data	453	855	1300
sb_sws7_20090126_165511.data	471	796	1168
sb_sws7_20090126_165617.data	487	748	1057
sb_sws7_20090126_165635.data	480	690	930
sb_sws7_20090126_165659.data	440	962	1552
sb_sws7_20090126_165732.data	397	869	1379
sb_sws7_20090126_165750.data	415	811	1282
sb_sws7_20090126_165813.data	404	735	1112
sb_sws7_20090126_165832.data	407	681	1007
sb_sws7_20090126_165846.data	389	598	872
sb_sws7_20090126_165906.data	345	898	1480
sb_sws7_20090126_165940.data	352	807	1295
sb_sws7_20090126_165958.data	344	743	1180
sb_sws7_20090126_170014.data	340	674	1032
sb_sws7_20090126_170027.data	341	619	932
sb_sws7_20090126_170041.data	346	557	782
sb_sws7_20090126_170105.data	292	834	1410
sb_sws7_20090126_170125.data	283	756	1241
sb_sws7_20090126_170150.data	270	667	1101
sb_sws7_20090126_170208.data	276	617	972
sb_sws7_20090126_170220.data	277	563	865
sb_sws7_20090126_170234.data	269	475	713
sb_sws7_20090126_170302.data	217	700	1307
sb_sws7_20090126_170319.data	211	683	200
sb_sws7_20090126_170334.data	205	603	1015
sb_sws7_20090126_170347.data	196	538	905
sb_sws7_20090126_170402.data	215	493	797
sb_sws7_20090126_170414.data	210	422	665
sb_sws7_20090126_171011.data	634	1029	1424
sb_sws7_20090126_171040.data	632	953	1287
sb_sws7_20090126_171105.data	631	882	1141
sb_sws7_20090126_171123.data	611	811	1011
sb_sws7_20090126_171147.data	619	754	893
sb_sws7_20090126_171216.data	603	677	755
sb_sws7_20090126_171346.data	546	921	1294
sb_sws7_20090126_171416.data	568	871	1183
sb_sws7_20090126_171435.data	567	811	1049
sb_sws7_20090126_171455.data	556	743	935
sb_sws7_20090126_171509.data	545	676	799
sb_sws7_20090126_171522.data	556	619	686
sb_sws7_20090126_171550.data	523	869	1215
sb_sws7_20090126_171613.data	536	813	1109
sb_sws7_20090126_171631.data	521	741	980
sb_sws7_20090126_171647.data	525	690	852
sb_sws7_20090126_171703.data	505	600	693
sb_sws7_20090126_171720.data	511	547	589
sb_sws7_20090126_171744.data	485	807	1124
sb_sws7_20090126_171803.data	500	770	1018
sb_sws7_20090126_171824.data	467	504	864
sb_sws7_20090126_171841.data	468	526	730
sb_sws7_20090126_171901.data	454	593	1030
sb_sws7_20090126_171931.data	464	607	857
