                Data	          Trajectory	         Sample	     Cantilever	     Cantilever	          Stage	        Preload	     Microwedge	         Spring	
                File	                File	               	               	     Deflection	        Preload	          Force	     Deflection	       Constant	
                Name	                Name	               	               	           (um)	           (um)	           (uN)	           (um)	          (N/m)	
nc_sws7_20090127_162142	          SB_x20_v20	           sws7	         529b02	         10.560	         14.377	          6.959	          3.817	          1.823	            220	            000	
nc_sws7_20090127_162203	          SB_x18_v20	           sws7	         529b02	          9.005	         12.390	          5.935	          3.385	          1.753	            220	            000	
nc_sws7_20090127_162217	          SB_x16_v20	           sws7	         529b02	          7.537	         10.455	          4.967	          2.919	          1.702	            220	            000	
nc_sws7_20090127_162229	          SB_x14_v20	           sws7	         529b02	          6.019	          8.499	          3.967	          2.480	          1.599	            220	            000	
nc_sws7_20090127_162243	          SB_x12_v20	           sws7	         529b02	          4.553	          6.470	          3.001	          1.917	          1.566	            220	            000	
nc_sws7_20090127_162254	          SB_x10_v20	           sws7	         529b02	          3.110	          4.474	          2.050	          1.364	          1.503	            220	            000	
nc_sws7_20090127_162304	          SB_x08_v20	           sws7	         529b02	          1.693	          2.484	          1.116	          0.791	          1.411	            220	            000	
nc_sws7_20090127_162313	          SB_x06_v20	           sws7	         529b02	          0.309	          0.476	          0.204	          0.167	          1.222	            220	            000	
nc_sws7_20090127_162854	          SB_x20_v20	           sws7	         529b02	         11.422	         14.078	          7.527	          2.655	          2.835	            130	            000	
nc_sws7_20090127_162924	          SB_x18_v20	           sws7	         529b02	          9.809	         12.155	          6.464	          2.346	          2.756	            130	            000	
nc_sws7_20090127_162945	          SB_x16_v20	           sws7	         529b02	          8.147	         10.254	          5.369	          2.107	          2.548	            130	            000	
nc_sws7_20090127_162959	          SB_x14_v20	           sws7	         529b02	          6.481	          8.264	          4.271	          1.783	          2.395	            130	            000	
nc_sws7_20090127_163011	          SB_x12_v20	           sws7	         529b02	          4.854	          6.277	          3.199	          1.423	          2.248	            130	            000	
nc_sws7_20090127_163021	          SB_x10_v20	           sws7	         529b02	          3.244	          4.340	          2.138	          1.096	          1.951	            130	            000	
nc_sws7_20090127_163029	          SB_x08_v20	           sws7	         529b02	          1.768	          2.356	          1.165	          0.588	          1.983	            130	            000	
nc_sws7_20090127_163610	          SB_x20_v20	           sws7	         529b02	         15.331	         16.876	         10.103	          1.545	          6.538	            040	            000	
nc_sws7_20090127_163631	          SB_x18_v20	           sws7	         529b02	         13.478	         14.899	          8.882	          1.421	          6.253	            040	            000	
nc_sws7_20090127_163649	          SB_x16_v20	           sws7	         529b02	         11.689	         12.946	          7.703	          1.256	          6.132	            040	            000	
nc_sws7_20090127_163703	          SB_x14_v20	           sws7	         529b02	          9.860	         11.029	          6.497	          1.169	          5.556	            040	            000	
nc_sws7_20090127_163718	          SB_x12_v20	           sws7	         529b02	          8.072	          9.012	          5.320	          0.940	          5.661	            040	            000	
nc_sws7_20090127_163728	          SB_x10_v20	           sws7	         529b02	          6.266	          7.175	          4.129	          0.909	          4.542	            040	            000	
nc_sws7_20090127_163743	          SB_x08_v20	           sws7	         529b02	          4.432	          5.127	          2.921	          0.695	          4.202	            040	            000	
nc_sws7_20090127_163751	          SB_x06_v20	           sws7	         529b02	          2.663	          3.134	          1.755	          0.471	          3.729	            040	            000	
nc_sws7_20090127_163758	          SB_x04_v20	           sws7	         529b02	          0.943	          1.114	          0.621	          0.171	          3.631	            040	            000	
nc_sws7_20090127_164409	          SB_x20_v20	           sws7	         529b02	         11.909	         15.128	          7.848	          3.219	          2.438	            310	            000	
nc_sws7_20090127_164430	          SB_x18_v20	           sws7	         529b02	         10.387	         13.184	          6.845	          2.797	          2.447	            310	            000	
nc_sws7_20090127_164443	          SB_x16_v20	           sws7	         529b02	          8.819	         11.240	          5.812	          2.421	          2.401	            310	            000	
nc_sws7_20090127_164457	          SB_x14_v20	           sws7	         529b02	          7.237	          9.286	          4.769	          2.049	          2.327	            310	            000	
nc_sws7_20090127_164506	          SB_x12_v20	           sws7	         529b02	          5.651	          7.291	          3.724	          1.639	          2.272	            310	            000	
nc_sws7_20090127_164521	          SB_x10_v20	           sws7	         529b02	          4.094	          5.334	          2.698	          1.240	          2.175	            310	            000	
nc_sws7_20090127_164532	          SB_x08_v20	           sws7	         529b02	          2.507	          3.290	          1.652	          0.783	          2.110	            310	            000	
nc_sws7_20090127_164541	          SB_x06_v20	           sws7	         529b02	          1.027	          1.367	          0.677	          0.340	          1.991	            310	            000	
