fileName	anglePitch	forceMaxAdhesion	forceMaxShear	anglePulloff
ls_sws7_20090130_143815.data	  0.0	 0.276	 3.490	
ls_sws7_20090130_143902.data	  0.0	 0.286	 3.321	
ls_sws7_20090130_143955.data	  0.0	 0.189	 3.340	
ls_sws7_20090130_144040.data	  0.0	 0.313	 3.068	
ls_sws7_20090130_144126.data	  0.0	 0.117	 3.238	
ls_sws7_20090130_144207.data	  0.0	-0.127	 3.421	
ls_sws7_20090130_144249.data	  0.0	-0.172	 3.373	
ls_sws7_20090130_144346.data	  0.0	-0.161	 3.397	
ls_sws7_20090130_144427.data	  0.0	-0.249	 3.328	
ls_sws7_20090130_144514.data	  0.0	-0.218	 3.152	
ls_sws7_20090130_144558.data	  0.0	-0.268	 3.176	
ls_sws7_20090130_144636.data	  0.0	-0.672	 2.709	
ls_sws7_20090130_144739.data	  0.0	-0.678	 2.599	
ls_sws7_20090130_144814.data	  0.0	-0.532	 2.314	
ls_sws7_20090130_144845.data	  0.0	-0.635	 2.206	
ls_sws7_20090130_144912.data	  0.0	-0.602	 1.850	
ls_sws7_20090130_144944.data	  0.0	-0.437	 1.380	
ls_sws7_20090130_145009.data	  0.0	-0.554	 0.969	
ls_sws7_20090130_145029.data	  0.0	-0.957	 0.426	
ls_sws7_20090130_145309.data	  0.0	 1.634	 4.596	
ls_sws7_20090130_145403.data	  0.0	 1.455	 4.590	
ls_sws7_20090130_145445.data	  0.0	 1.700	 4.006	
ls_sws7_20090130_145528.data	  0.0	 1.584	 4.006	
ls_sws7_20090130_145614.data	  0.0	 1.334	 4.254	
ls_sws7_20090130_145655.data	  0.0	 1.134	 4.188	
ls_sws7_20090130_145736.data	  0.0	 1.104	 4.149	
ls_sws7_20090130_145816.data	  0.0	 1.513	 3.410	
ls_sws7_20090130_145902.data	  0.0	 1.351	 3.616	
ls_sws7_20090130_145942.data	  0.0	 0.980	 3.831	
ls_sws7_20090130_150023.data	  0.0	 1.164	 3.509	
ls_sws7_20090130_150104.data	  0.0	-0.005	 3.669	
ls_sws7_20090130_150141.data	  0.0	 0.078	 3.109	
ls_sws7_20090130_150216.data	  0.0	 0.009	 2.867	
ls_sws7_20090130_150249.data	  0.0	-0.294	 2.878	
ls_sws7_20090130_150318.data	  0.0	-0.519	 2.473	
ls_sws7_20090130_150346.data	  0.0	-0.720	 2.058	
ls_sws7_20090130_150419.data	  0.0	-0.542	 1.304	
ls_sws7_20090130_150453.data	  0.0	-0.978	 0.438	
