dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
ls_sws7_20090130_143815.data	883	1079	1614
ls_sws7_20090130_143902.data	865	1061	1567
ls_sws7_20090130_143955.data	896	1091	1673
ls_sws7_20090130_144040.data	813	1013	1517
ls_sws7_20090130_144126.data	854	1065	1563
ls_sws7_20090130_144207.data	820	1019	1483
ls_sws7_20090130_144249.data	850	1066	1556
ls_sws7_20090130_144346.data	875	1090	1584
ls_sws7_20090130_144427.data	857	1066	1527
ls_sws7_20090130_144514.data	871	1096	1561
ls_sws7_20090130_144558.data	853	1077	1552
ls_sws7_20090130_144636.data	857	1075	1486
ls_sws7_20090130_144739.data	890	1103	1499
ls_sws7_20090130_144814.data	877	1088	1428
ls_sws7_20090130_144845.data	815	1026	1364
ls_sws7_20090130_144912.data	811	997	1295
ls_sws7_20090130_144944.data	799	995	1243
ls_sws7_20090130_145009.data	794	995	1232
ls_sws7_20090130_145029.data	800	997	1242
ls_sws7_20090130_145309.data	797	1383	1936
ls_sws7_20090130_145403.data	835	1438	2017
ls_sws7_20090130_145445.data	901	1452	2059
ls_sws7_20090130_145528.data	911	1449	2060
ls_sws7_20090130_145614.data	836	1389	1988
ls_sws7_20090130_145655.data	868	1420	2017
ls_sws7_20090130_145736.data	877	1411	2002
ls_sws7_20090130_145816.data	864	1391	1981
ls_sws7_20090130_145902.data	873	1394	1948
ls_sws7_20090130_145942.data	832	1313	1916
ls_sws7_20090130_150023.data	863	1387	1945
ls_sws7_20090130_150104.data	859	1321	1903
ls_sws7_20090130_150141.data	884	1365	1852
ls_sws7_20090130_150216.data	820	1241	1719
ls_sws7_20090130_150249.data	813	1234	1721
ls_sws7_20090130_150318.data	819	1253	1707
ls_sws7_20090130_150346.data	822	1204	1670
ls_sws7_20090130_150419.data	774	1143	1538
ls_sws7_20090130_150453.data	757	1139	1568
