                Data	          Trajectory	         Sample	     Cantilever	        Pulloff	            Max	            Max	      Effective	
                File	                File	               	               	          Angle	       Adhesion	          Shear	        Preload	
                Name	                Name	               	               	          (deg)	           (uN)	           (uN)	           (um)	
ls_sws9_20090206_144520	      LS_p30_a00_v20	           sws9	         529b02	             00	         -0.533	          2.998	          7.374
ls_sws9_20090206_144603	      LS_p30_a01_v20	           sws9	         529b02	             01	         -0.592	          2.854	          7.062
ls_sws9_20090206_144645	      LS_p30_a02_v20	           sws9	         529b02	             02	         -0.625	          2.850	          6.872
ls_sws9_20090206_144727	      LS_p30_a03_v20	           sws9	         529b02	             03	         -0.636	          2.732	          6.479
ls_sws9_20090206_144812	      LS_p30_a04_v20	           sws9	         529b02	             04	         -0.616	          2.654	          6.223
ls_sws9_20090206_144855	      LS_p30_a05_v20	           sws9	         529b02	             05	         -0.676	          2.612	          6.031
ls_sws9_20090206_144938	      LS_p30_a06_v20	           sws9	         529b02	             06	         -0.727	          2.543	          5.718
ls_sws9_20090206_145023	      LS_p30_a07_v20	           sws9	         529b02	             07	         -0.692	          2.465	          5.555
ls_sws9_20090206_145110	      LS_p30_a08_v20	           sws9	         529b02	             08	         -0.717	          2.374	          5.385
ls_sws9_20090206_145150	      LS_p30_a09_v20	           sws9	         529b02	             09	         -0.777	          2.349	          5.073
ls_sws9_20090206_145229	      LS_p30_a10_v20	           sws9	         529b02	             10	         -0.782	          2.322	          4.849
ls_sws9_20090206_145316	      LS_p30_a20_v20	           sws9	         529b02	             20	         -0.668	          1.605	          3.186
ls_sws9_20090206_145352	      LS_p30_a30_v20	           sws9	         529b02	             30	         -0.695	          1.463	          2.898
ls_sws9_20090206_145450	      LS_p30_a40_v20	           sws9	         529b02	             40	         -0.606	          1.336	          2.473
ls_sws9_20090206_145525	      LS_p30_a50_v20	           sws9	         529b02	             50	         -0.620	          1.231	          2.095
ls_sws9_20090206_145554	      LS_p30_a60_v20	           sws9	         529b02	             60	         -0.664	          1.050	          1.722
ls_sws9_20090206_145624	      LS_p30_a70_v20	           sws9	         529b02	             70	         -0.701	          0.838	          1.070
ls_sws9_20090206_150121	      LS_p30_a80_v20	           sws9	         529b02	             80	         -0.760	          0.604	          0.507
ls_sws9_20090206_150145	      LS_p30_a90_v20	           sws9	         529b02	             90	         -0.835	          0.195	         -0.082
ls_sws9_20090206_150236	      LS_p35_a00_v20	           sws9	         529b02	             00	         -0.357	          4.780	         12.591
