                Data	          Trajectory	         Sample	     Cantilever	          Slant	           Roll	            Max	            Max	
                File	                File	               	               	          Angle	          Angle	       Adhesion	          Shear	
                Name	                Name	               	               	               	               	           (uN)	           (uN)	
st_sws10_20090211_145840	      LS_p30_a00_v20	          sws10	         629a03	            -10	            130	         -0.321	          1.854	          4.283
st_sws10_20090211_145924	      LS_p31_a00_v20	          sws10	         629a03	            -10	            130	         -0.310	          2.123	          5.219
st_sws10_20090211_150004	      LS_p32_a00_v20	          sws10	         629a03	            -10	            130	         -0.342	          2.557	          6.354
st_sws10_20090211_150052	      LS_p33_a00_v20	          sws10	         629a03	            -10	            130	         -0.592	          3.265	          7.991
st_sws10_20090211_150136	      LS_p34_a00_v20	          sws10	         629a03	            -10	            130	         -1.042	          4.645	         10.307
st_sws10_20090211_150218	      LS_p35_a00_v20	          sws10	         629a03	            -10	            130	         -1.111	          5.153	         11.333
st_sws10_20090211_150946	      LS_p30_a00_v20	          sws10	         629a03	             -5	            130	         -0.409	          1.563	          3.910
st_sws10_20090211_151032	      LS_p31_a00_v20	          sws10	         629a03	             -5	            130	         -0.409	          1.771	          4.692
st_sws10_20090211_151113	      LS_p32_a00_v20	          sws10	         629a03	             -5	            130	         -0.379	          1.960	          5.346
st_sws10_20090211_151157	      LS_p33_a00_v20	          sws10	         629a03	             -5	            130	         -0.376	          2.179	          6.259
st_sws10_20090211_151433	      LS_p34_a00_v20	          sws10	         629a03	             -5	            130	         -0.449	          2.525	          6.905
st_sws10_20090211_151521	      LS_p35_a00_v20	          sws10	         629a03	             -5	            130	         -0.810	          3.281	          8.786
st_sws10_20090211_152154	      LS_p30_a00_v20	          sws10	         629a03	              0	            130	         -0.199	          1.478	          5.044
st_sws10_20090211_152244	      LS_p31_a00_v20	          sws10	         629a03	              0	            130	         -0.170	          1.617	          5.633
st_sws10_20090211_152328	      LS_p32_a00_v20	          sws10	         629a03	              0	            130	         -0.212	          1.912	          6.620
st_sws10_20090211_152414	      LS_p33_a00_v20	          sws10	         629a03	              0	            130	         -0.256	          2.200	          7.651
st_sws10_20090211_152458	      LS_p34_a00_v20	          sws10	         629a03	              0	            130	         -0.443	          2.755	          9.032
st_sws10_20090211_152541	      LS_p35_a00_v20	          sws10	         629a03	              0	            130	         -0.539	          3.196	         10.419
