                Data	          Index	          Index	          Index	
                File	        Contact	            Max	            Max	
                Name	               	        Preload	       Adhesion	
st_sws10_20090211_145840	        921	       1032	       1791
st_sws10_20090211_145924	        933	       1065	       1908
st_sws10_20090211_150004	        922	       1095	       2087
st_sws10_20090211_150052	        944	       1153	       2298
st_sws10_20090211_150136	        922	       1159	       2551
st_sws10_20090211_150218	        944	       1196	       2750
st_sws10_20090211_150946	        959	       1048	       1696
st_sws10_20090211_151032	        968	       1076	       1793
st_sws10_20090211_151113	       1007	       1150	       1940
st_sws10_20090211_151157	        994	       1183	       2034
st_sws10_20090211_151433	        980	       1188	       2075
st_sws10_20090211_151521	       1019	       1223	       2298
st_sws10_20090211_152154	        909	       1040	       1613
st_sws10_20090211_152244	        870	       1037	       1677
st_sws10_20090211_152328	        891	       1072	       1823
st_sws10_20090211_152414	        901	       1116	       1938
st_sws10_20090211_152458	        911	       1169	       2126
st_sws10_20090211_152541	        895	       1175	       2180
st_sws10_20090211_153055	        642	        689	       1004
st_sws10_20090211_153502	        953	       1070	       1698
st_sws10_20090211_153616	        956	       1078	       1743
st_sws10_20090211_153656	        940	       1089	       1839
st_sws10_20090211_153738	        986	       1169	       2086
st_sws10_20090211_153822	        998	       1202	       2248
st_sws10_20090211_153905	       1005	       1241	       2364
st_sws10_20090211_155347	        868	        998	       1640
st_sws10_20090211_155502	        923	       1069	       1762
st_sws10_20090211_155547	        912	       1094	       1884
st_sws10_20090211_155630	        902	       1108	       2046
st_sws10_20090211_155717	        924	       1157	       2158
st_sws10_20090211_155759	        938	       1175	       2245
st_sws10_20090211_162412	        927	       1039	       1660
st_sws10_20090211_162456	        938	       1069	       1891
st_sws10_20090211_162539	        936	       1079	       1991
st_sws10_20090211_162622	        951	       1128	       2088
st_sws10_20090211_162708	        957	       1159	       2157
st_sws10_20090211_162801	        968	       1197	       2245
st_sws10_20090211_163937	        877	       1034	       1947
st_sws10_20090211_164027	        880	       1062	       2034
st_sws10_20090211_164108	        911	       1110	       2140
st_sws10_20090211_164149	        891	       1132	       2204
st_sws10_20090211_164231	        888	       1143	       2329
st_sws10_20090211_164314	        899	       1201	       2529
st_sws10_20090211_164531	        832	       1207	       2582
st_sws10_20090211_165726	        986	       1056	       1644
st_sws10_20090211_165810	        944	       1029	       1676
st_sws10_20090211_165852	        990	       1113	       1818
st_sws10_20090211_165933	       1014	       1164	       1955
st_sws10_20090211_170016	       1024	       1207	       2051
st_sws10_20090211_170124	        987	       1164	       2089
st_sws10_20090211_170837	        920	       1051	       1814
st_sws10_20090211_170930	        906	       1056	       1884
st_sws10_20090211_171016	        920	       1103	       2006
st_sws10_20090211_171059	        948	       1155	       2171
st_sws10_20090211_171144	        949	       1169	       2250
st_sws10_20090211_171245	        960	       1234	       2540
st_sws10_20090211_172426	        915	       1014	       1766
st_sws10_20090211_172508	        948	       1075	       1903
st_sws10_20090211_172549	        939	       1094	       1992
st_sws10_20090211_172633	        962	       1131	       2096
st_sws10_20090211_172717	        954	       1153	       2185
st_sws10_20090211_172800	        949	       1175	       2444
