                Data	          Index	          Index	          Index	
                File	        Contact	            Max	            Max	
                Name	               	        Preload	       Adhesion	
st_sws10_20090211_145840	        921.000	       1032.000	       1791.000
st_sws10_20090211_145924	        933.000	       1065.000	       1908.000
st_sws10_20090211_150004	        922.000	       1095.000	       2087.000
st_sws10_20090211_150052	        944.000	       1153.000	       2298.000
st_sws10_20090211_150136	        922.000	       1159.000	       2551.000
st_sws10_20090211_150218	        944.000	       1196.000	       2750.000
st_sws10_20090211_150946	        959.000	       1048.000	       1696.000
st_sws10_20090211_151032	        968.000	       1076.000	       1793.000
st_sws10_20090211_151113	       1007.000	       1150.000	       1940.000
st_sws10_20090211_151157	        994.000	       1183.000	       2034.000
st_sws10_20090211_151433	        980.000	       1188.000	       2075.000
st_sws10_20090211_151521	       1019.000	       1223.000	       2298.000
st_sws10_20090211_152154	        909.000	       1040.000	       1613.000
st_sws10_20090211_152244	        870.000	       1037.000	       1677.000
st_sws10_20090211_152328	        891.000	       1072.000	       1823.000
st_sws10_20090211_152414	        901.000	       1116.000	       1938.000
st_sws10_20090211_152458	        911.000	       1169.000	       2126.000
st_sws10_20090211_152541	        895.000	       1175.000	       2180.000
st_sws10_20090211_153055	        642.000	        689.000	       1004.000
st_sws10_20090211_153502	        953.000	       1070.000	       1698.000
st_sws10_20090211_153616	        956.000	       1078.000	       1743.000
st_sws10_20090211_153656	        940.000	       1089.000	       1839.000
st_sws10_20090211_153738	        986.000	       1169.000	       2086.000
st_sws10_20090211_153822	        998.000	       1202.000	       2248.000
st_sws10_20090211_153905	       1005.000	       1241.000	       2364.000
st_sws10_20090211_155347	        868.000	        998.000	       1640.000
st_sws10_20090211_155502	        923.000	       1069.000	       1762.000
st_sws10_20090211_155547	        912.000	       1094.000	       1884.000
st_sws10_20090211_155630	        902.000	       1108.000	       2046.000
st_sws10_20090211_155717	        924.000	       1157.000	       2158.000
st_sws10_20090211_155759	        938.000	       1175.000	       2245.000
st_sws10_20090211_162412	        927.000	       1039.000	       1660.000
st_sws10_20090211_162456	        938.000	       1069.000	       1891.000
st_sws10_20090211_162539	        936.000	       1079.000	       1991.000
st_sws10_20090211_162622	        951.000	       1128.000	       2088.000
st_sws10_20090211_162708	        957.000	       1159.000	       2157.000
st_sws10_20090211_162801	        968.000	       1197.000	       2245.000
st_sws10_20090211_163937	        877.000	       1034.000	       1947.000
st_sws10_20090211_164027	        880.000	       1062.000	       2034.000
st_sws10_20090211_164108	        911.000	       1110.000	       2140.000
st_sws10_20090211_164149	        891.000	       1132.000	       2204.000
st_sws10_20090211_164231	        888.000	       1143.000	       2329.000
st_sws10_20090211_164314	        899.000	       1201.000	       2529.000
st_sws10_20090211_164531	        832.000	       1207.000	       2582.000
st_sws10_20090211_165726	        986.000	       1056.000	       1644.000
st_sws10_20090211_165810	        944.000	       1029.000	       1676.000
st_sws10_20090211_165852	        990.000	       1113.000	       1818.000
st_sws10_20090211_165933	       1014.000	       1164.000	       1955.000
st_sws10_20090211_170016	       1024.000	       1207.000	       2051.000
st_sws10_20090211_170124	        987.000	       1164.000	       2089.000
st_sws10_20090211_170837	        920.000	       1051.000	       1814.000
st_sws10_20090211_170930	        906.000	       1056.000	       1884.000
st_sws10_20090211_171016	        920.000	       1103.000	       2006.000
st_sws10_20090211_171059	        948.000	       1155.000	       2171.000
st_sws10_20090211_171144	        949.000	       1169.000	       2250.000
st_sws10_20090211_171245	        960.000	       1234.000	       2540.000
st_sws10_20090211_172426	        915.000	       1014.000	       1766.000
st_sws10_20090211_172508	        948.000	       1075.000	       1903.000
st_sws10_20090211_172549	        939.000	       1094.000	       1992.000
st_sws10_20090211_172633	        962.000	       1131.000	       2096.000
st_sws10_20090211_172717	        954.000	       1153.000	       2185.000
st_sws10_20090211_172800	        949.000	       1175.000	       2444.000
