fileName	anglePitch	forceMaxAdhesion	forceMaxShear	anglePulloff
sws10-ls-20090225_155936	 -8.0	-1.019	 3.191	
sws10-ls-20090225_160133	 -8.0	-0.917	 2.776	
sws10-ls-20090225_160212	 -8.0	-0.889	 2.543	
sws10-ls-20090225_160400	 -8.0	-0.730	 2.127	
sws10-ls-20090225_160500	 -8.0	-0.699	 2.079	
sws10-ls-20090225_160546	 -8.0	-0.726	 2.020	
sws10-ls-20090225_160626	 -8.0	-0.760	 1.943	
sws10-ls-20090225_160726	 -8.0	-0.734	 1.803	
sws10-ls-20090225_160806	 -8.0	-0.784	 1.770	
sws10-ls-20090225_160848	 -8.0	-0.828	 1.764	
sws10-ls-20090225_160932	 -8.0	-0.782	 1.634	
sws10-ls-20090225_161216	 -8.0	-0.858	 1.239	
sws10-ls-20090225_161254	 -8.0	-0.872	 1.080	
sws10-ls-20090225_161330	 -8.0	-0.837	 0.999	
sws10-ls-20090225_161402	 -8.0	-0.909	 0.917	
sws10-ls-20090225_161505	 -8.0	-0.911	 0.806	
sws10-ls-20090225_161557	 -8.0	-1.095	 0.753	
sws10-ls-20090225_161658	 -8.0	-1.223	 0.490	
sws10-ls-20090225_161750	 -8.0	-1.292	 0.285	
sws10-ls-20090225_162034	 -8.0	-3.161	 9.688	
sws10-ls-20090225_162239	 -8.0	-3.246	 9.599	
sws10-ls-20090225_162330	 -8.0	-3.407	 9.418	
sws10-ls-20090225_162412	 -8.0	-3.397	 8.995	
sws10-ls-20090225_162454	 -8.0	-3.377	 8.407	
sws10-ls-20090225_162536	 -8.0	-2.081	 5.810	
sws10-ls-20090225_162618	 -8.0	-2.056	 5.588	
sws10-ls-20090225_162703	 -8.0	-1.941	 5.270	
sws10-ls-20090225_162802	 -8.0	-1.987	 5.133	
sws10-ls-20090225_162844	 -8.0	-1.845	 4.810	
sws10-ls-20090225_162928	 -8.0	-1.542	 4.274	
sws10-ls-20090225_163206	 -8.0	-0.960	 2.611	
sws10-ls-20090225_163245	 -8.0	-0.844	 2.059	
sws10-ls-20090225_163321	 -8.0	-0.803	 1.904	
sws10-ls-20090225_163358	 -8.0	-0.883	 1.751	
sws10-ls-20090225_163432	 -8.0	-0.868	 1.447	
sws10-ls-20090225_163502	 -8.0	-0.902	 1.071	
sws10-ls-20090225_163530	 -8.0	-1.155	 0.765	
sws10-ls-20090225_163556	 -8.0	-1.545	 0.285	
