fileName	anglePitch	forceMaxAdhesion	forceMaxShear	anglePulloff
sws10-ls-20090225_155936	 -8.0	-1.484	 3.838	
sws10-ls-20090225_160133	 -8.0	-1.156	 2.853	
sws10-ls-20090225_160212	 -8.0	-1.086	 2.608	
sws10-ls-20090225_160400	 -8.0	-0.945	 2.215	
sws10-ls-20090225_160500	 -8.0	-0.910	 2.167	
sws10-ls-20090225_160546	 -8.0	-0.893	 2.064	
sws10-ls-20090225_160626	 -8.0	-0.988	 2.052	
sws10-ls-20090225_160726	 -8.0	-0.947	 1.837	
sws10-ls-20090225_160806	 -8.0	-0.950	 1.803	
sws10-ls-20090225_160848	 -8.0	-1.045	 1.809	
sws10-ls-20090225_160932	 -8.0	-1.013	 1.699	
sws10-ls-20090225_161216	 -8.0	-1.023	 1.203	
sws10-ls-20090225_161254	 -8.0	-0.983	 1.082	
sws10-ls-20090225_161330	 -8.0	-1.032	 1.047	
sws10-ls-20090225_161402	 -8.0	-1.114	 0.970	
sws10-ls-20090225_161505	 -8.0	-1.163	 0.874	
sws10-ls-20090225_161557	 -8.0	-1.282	 0.749	
sws10-ls-20090225_161658	 -8.0	-1.457	 0.557	
sws10-ls-20090225_161750	 -8.0	-1.546	 0.275	
sws10-ls-20090225_162034	 -8.0	-3.658	 11.212	
sws10-ls-20090225_162239	 -8.0	-3.910	 11.291	
sws10-ls-20090225_162330	 -8.0	-3.812	 9.916	
sws10-ls-20090225_162412	 -8.0	-4.095	 10.031	
sws10-ls-20090225_162454	 -8.0	-3.620	 8.237	
sws10-ls-20090225_162536	 -8.0	-2.233	 5.861	
sws10-ls-20090225_162618	 -8.0	-2.278	 5.688	
sws10-ls-20090225_162703	 -8.0	-2.265	 5.439	
sws10-ls-20090225_162802	 -8.0	-2.178	 5.182	
sws10-ls-20090225_162844	 -8.0	-2.071	 4.885	
sws10-ls-20090225_162928	 -8.0	-1.788	 4.317	
sws10-ls-20090225_163206	 -8.0	-1.167	 2.678	
sws10-ls-20090225_163245	 -8.0	-1.067	 2.140	
sws10-ls-20090225_163321	 -8.0	-0.997	 1.963	
sws10-ls-20090225_163358	 -8.0	-1.094	 1.794	
sws10-ls-20090225_163432	 -8.0	-1.123	 1.496	
sws10-ls-20090225_163502	 -8.0	-1.115	 1.147	
sws10-ls-20090225_163530	 -8.0	-1.394	 0.864	
sws10-ls-20090225_163556	 -8.0	-1.715	 0.314	
