dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
sws10-ls-20090225_155936	1001	1152	2845
sws10-ls-20090225_160133	914	1031	1624
sws10-ls-20090225_160212	870	988	1536
sws10-ls-20090225_160400	938	1046	1569
sws10-ls-20090225_160500	962	1086	1636
sws10-ls-20090225_160546	972	1082	1600
sws10-ls-20090225_160626	1002	1117	1613
sws10-ls-20090225_160726	979	1092	1565
sws10-ls-20090225_160806	965	1078	1519
sws10-ls-20090225_160848	990	1098	1562
sws10-ls-20090225_160932	985	1081	1508
sws10-ls-20090225_161216	1007	1105	1428
sws10-ls-20090225_161254	992	1084	1370
sws10-ls-20090225_161330	994	1083	1369
sws10-ls-20090225_161402	1029	1119	1357
sws10-ls-20090225_161505	1037	1128	1348
sws10-ls-20090225_161557	956	1037	1233
sws10-ls-20090225_161658	952	1036	1220
sws10-ls-20090225_161750	965	1048	1235
sws10-ls-20090225_162034	980	2488	3256
sws10-ls-20090225_162239	982	2462	3265
sws10-ls-20090225_162330	938	2435	2943
sws10-ls-20090225_162412	963	2434	3104
sws10-ls-20090225_162454	943	2336	2976
sws10-ls-20090225_162536	960	1271	2213
sws10-ls-20090225_162618	898	1202	2106
sws10-ls-20090225_162703	918	1209	2057
sws10-ls-20090225_162802	889	1186	2049
sws10-ls-20090225_162844	923	1212	2059
sws10-ls-20090225_162928	900	1193	1996
sws10-ls-20090225_163206	922	1226	1837
sws10-ls-20090225_163245	940	1245	1804
sws10-ls-20090225_163321	950	1264	1805
sws10-ls-20090225_163358	988	1322	1841
sws10-ls-20090225_163432	956	1273	1775
sws10-ls-20090225_163502	893	1217	1638
sws10-ls-20090225_163530	902	1219	1634
sws10-ls-20090225_163556	849	1171	1594
