dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion	
sws10-ls-20090225_155936	           1004	           1155	           1875
sws10-ls-20090225_160133	            916	           1032	           1625
sws10-ls-20090225_160212	            872	            989	           1537
sws10-ls-20090225_160400	            941	           1047	           1570
sws10-ls-20090225_160500	            965	           1087	           1637
sws10-ls-20090225_160546	            975	           1082	           1602
sws10-ls-20090225_160626	           1005	           1118	           1614
sws10-ls-20090225_160726	            986	           1094	           1569
sws10-ls-20090225_160806	            971	           1084	           1522
sws10-ls-20090225_160848	            993	           1099	           1563
sws10-ls-20090225_160932	            987	           1088	           1509
sws10-ls-20090225_161216	           1014	           1108	           1423
sws10-ls-20090225_161254	           1000	           1089	           1367
sws10-ls-20090225_161330	            998	           1084	           1370
sws10-ls-20090225_161402	           1033	           1120	           1358
sws10-ls-20090225_161505	           1040	           1129	           1349
sws10-ls-20090225_161557	            962	           1038	           1234
sws10-ls-20090225_161658	            955	           1037	           1221
sws10-ls-20090225_161750	            971	           1049	           1236
sws10-ls-20090225_162034	            987	           1293	           2487
sws10-ls-20090225_162239	            987	           1293	           2460
sws10-ls-20090225_162330	            949	           1250	           2433
sws10-ls-20090225_162412	            970	           1277	           2433
sws10-ls-20090225_162454	            954	           1218	           2331
sws10-ls-20090225_162536	            965	           1282	           2218
sws10-ls-20090225_162618	            901	           1203	           2107
sws10-ls-20090225_162703	            920	           1210	           2058
sws10-ls-20090225_162802	            893	           1187	           2050
sws10-ls-20090225_162844	            926	           1213	           2060
sws10-ls-20090225_162928	            903	           1194	           1997
sws10-ls-20090225_163206	            925	           1227	           1838
sws10-ls-20090225_163245	            943	           1246	           1805
sws10-ls-20090225_163321	            953	           1265	           1806
sws10-ls-20090225_163358	            992	           1323	           1842
sws10-ls-20090225_163432	            961	           1274	           1776
sws10-ls-20090225_163502	            896	           1218	           1639
sws10-ls-20090225_163530	            905	           1220	           1635
sws10-ls-20090225_163556	            853	           1172	           1595
