fileName	anglePitch	forceMaxAdhesion	forceMaxShear	anglePulloff
a0.0.data	 -6.5	-1.854	 6.270	
a1.0.data	 -6.5	-1.941	 6.259	
a10.0.data	 -6.5	-1.150	 3.264	
a2.0.data	 -6.5	-2.045	 6.040	
a20.0.data	 -6.5	-0.994	 2.273	
a3.0.data	 -6.5	-2.010	 5.809	
a30.0.data	 -6.5	-0.983	 2.084	
a4.0.data	 -6.5	-1.765	 5.113	
a40.0.data	 -6.5	-1.069	 1.877	
a5.0.data	 -6.5	-1.579	 4.556	
a50.0.data	 -6.5	-0.917	 1.638	
a6.0.data	 -6.5	-1.103	 3.748	
a60.0.data	 -6.5	-1.096	 1.455	
a7.0.data	 -6.5	-1.059	 3.655	
a70.0.data	 -6.5	-1.176	 1.251	
a8.0.data	 -6.5	-1.156	 3.581	
a80.0.data	 -6.5	-1.377	 0.852	
a9.0.data	 -6.5	-1.101	 3.386	
a90.0.data	 -6.5	-1.759	 0.299	
a0.0.data	 -6.5	-1.789	 5.655	
a1.0.data	 -6.5	-1.935	 5.648	
a10.0.data	 -6.5	-0.948	 2.799	
a2.0.data	 -6.5	-1.509	 4.665	
a20.0.data	 -6.5	-0.927	 2.077	
a3.0.data	 -6.5	-1.096	 3.905	
a30.0.data	 -6.5	-0.852	 1.873	
a4.0.data	 -6.5	-1.042	 3.643	
a40.0.data	 -6.5	-0.871	 1.624	
a5.0.data	 -6.5	-1.073	 3.630	
a50.0.data	 -6.5	-0.888	 1.554	
a6.0.data	 -6.5	-1.090	 3.444	
a60.0.data	 -6.5	-0.960	 1.358	
a7.0.data	 -6.5	-1.038	 3.297	
a70.0.data	 -6.5	-1.065	 1.113	
a8.0.data	 -6.5	-1.032	 3.183	
a80.0.data	 -6.5	-1.295	 0.840	
a9.0.data	 -6.5	-0.974	 3.086	
a90.0.data	 -6.5	-1.670	 0.375	
a0.0.data	 -6.5	-1.755	 5.345	
a1.0.data	 -6.5	-1.305	 4.426	
a10.0.data	 -6.5	-0.877	 2.703	
a2.0.data	 -6.5	-1.099	 3.919	
a20.0.data	 -6.5	-0.936	 2.018	
a3.0.data	 -6.5	-1.102	 3.678	
a30.0.data	 -6.5	-0.813	 1.718	
a4.0.data	 -6.5	-1.066	 3.528	
a40.0.data	 -6.5	-0.780	 1.585	
a5.0.data	 -6.5	-1.097	 3.457	
a50.0.data	 -6.5	-0.842	 1.426	
a6.0.data	 -6.5	-1.111	 3.349	
a60.0.data	 -6.5	-0.920	 1.323	
a7.0.data	 -6.5	-1.021	 3.172	
a70.0.data	 -6.5	-1.045	 1.081	
a8.0.data	 -6.5	-0.942	 2.995	
a80.0.data	 -6.5	-1.314	 0.755	
a9.0.data	 -6.5	-0.962	 2.922	
a90.0.data	 -6.5	-1.678	 0.287	
