fileName	anglePitch	forceMaxAdhesion	forceMaxShear	anglePulloff
a0.0.data	 -6.5	-1.854	 6.270	
a1.0.data	 -6.5	-1.941	 6.259	
a10.0.data	 -6.5	-1.150	 3.264	
a2.0.data	 -6.5	-2.045	 6.040	
a20.0.data	 -6.5	-0.994	 2.273	
a3.0.data	 -6.5	-2.010	 5.809	
a30.0.data	 -6.5	-0.983	 2.084	
a4.0.data	 -6.5	-1.765	 5.113	
a40.0.data	 -6.5	-1.069	 1.877	
a5.0.data	 -6.5	-1.579	 4.556	
a50.0.data	 -6.5	-0.917	 1.638	
a6.0.data	 -6.5	-1.103	 3.748	
a60.0.data	 -6.5	-1.096	 1.455	
a7.0.data	 -6.5	-1.059	 3.655	
a70.0.data	 -6.5	-1.176	 1.251	
a8.0.data	 -6.5	-1.156	 3.581	
a80.0.data	 -6.5	-1.377	 0.852	
a9.0.data	 -6.5	-1.101	 3.386	
a90.0.data	 -6.5	-1.759	 0.299	
