May 22, 2009 16:21
cantilever = 529b02
H:\20090522-sws10-ls\LS_p30_d90_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -6.5
roll angle = 294
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
59.9062	-2.044678E-2	-9.826660E-2	1.190186E-2	9.155273E-3
59.9062	-1.281738E-2	-1.016235E-1	1.220703E-2	1.007080E-2
59.9218	-1.892090E-2	-9.796143E-2	1.251221E-2	1.007080E-2
59.9375	-2.258301E-2	-8.728027E-2	1.190186E-2	9.765625E-3
59.9375	-1.892090E-2	-1.040649E-1	1.251221E-2	9.460449E-3
59.9531	-4.577637E-3	-8.972168E-2	1.190186E-2	9.765625E-3
59.9687	-1.617432E-2	-8.819580E-2	1.281738E-2	9.765625E-3
59.9687	-1.495361E-2	-9.857178E-2	1.251221E-2	9.765625E-3
59.9843	-8.239746E-3	-1.000977E-1	1.190186E-2	9.765625E-3
59.9843	-4.882812E-3	-9.124756E-2	1.220703E-2	1.007080E-2
60.0	-1.831055E-2	-9.765625E-2	1.190186E-2	1.007080E-2
60.0156	-8.850098E-3	-9.796143E-2	1.251221E-2	9.155273E-3
60.0156	-2.319336E-2	-9.582520E-2	1.281738E-2	9.155273E-3
60.0312	-1.892090E-2	-9.338379E-2	1.220703E-2	1.007080E-2
60.0312	-1.800537E-2	-9.704590E-2	1.220703E-2	9.765625E-3
60.0468	-1.770020E-2	-1.010132E-1	1.220703E-2	9.765625E-3
60.0625	-8.850098E-3	-9.979248E-2	1.220703E-2	9.765625E-3
60.0625	-2.319336E-2	-9.338379E-2	1.190186E-2	9.765625E-3
60.0781	-2.075195E-2	-9.277344E-2	1.190186E-2	1.007080E-2
60.0937	-1.556396E-2	-9.613037E-2	1.190186E-2	9.765625E-3
60.0937	-1.922607E-2	-8.911133E-2	1.251221E-2	9.765625E-3
60.1093	-1.617432E-2	-1.007080E-1	1.281738E-2	9.765625E-3
60.125	-1.281738E-2	-9.124756E-2	1.190186E-2	9.155273E-3
60.125	-1.190186E-2	-8.300781E-2	1.220703E-2	9.765625E-3
60.1406	-1.525879E-2	-9.368896E-2	1.190186E-2	1.007080E-2
60.1562	-2.960205E-2	-1.010132E-1	1.190186E-2	9.460449E-3
60.1562	-2.166748E-2	-8.972168E-2	1.220703E-2	9.765625E-3
60.1718	-2.441406E-2	-9.155273E-2	1.281738E-2	9.155273E-3
60.1875	-1.190186E-2	-9.674072E-2	1.190186E-2	9.155273E-3
60.1875	-1.037598E-2	-9.490967E-2	1.220703E-2	9.155273E-3
60.2031	-1.159668E-2	-9.582520E-2	1.251221E-2	9.460449E-3
60.2187	-2.014160E-2	-9.765625E-2	1.220703E-2	9.460449E-3
60.2187	-2.380371E-2	-9.063721E-2	1.220703E-2	9.460449E-3
60.2343	-2.258301E-2	-9.063721E-2	1.190186E-2	9.155273E-3
60.2343	-1.647949E-2	-9.643555E-2	1.251221E-2	9.765625E-3
60.25	-1.647949E-2	-8.880615E-2	1.220703E-2	9.460449E-3
60.2656	-1.617432E-2	-9.490967E-2	1.281738E-2	9.460449E-3
60.2656	-1.464844E-2	-1.004028E-1	1.220703E-2	9.460449E-3
60.2812	-1.129150E-2	-1.000977E-1	1.251221E-2	9.765625E-3
60.2968	-8.239746E-3	-8.941650E-2	1.281738E-2	9.765625E-3
60.2968	-5.187988E-3	-9.094238E-2	1.220703E-2	9.765625E-3
60.3125	-2.441406E-2	-9.063721E-2	1.251221E-2	9.765625E-3
60.3281	-2.136230E-2	-1.007080E-1	1.220703E-2	9.155273E-3
60.3281	-2.258301E-2	-9.796143E-2	1.220703E-2	9.765625E-3
60.3437	-1.037598E-2	-9.521484E-2	1.220703E-2	9.765625E-3
60.3593	-1.647949E-2	-8.972168E-2	1.251221E-2	9.155273E-3
60.3593	-2.075195E-2	-1.019287E-1	1.220703E-2	9.155273E-3
60.375	-2.044678E-2	-9.552002E-2	1.220703E-2	9.765625E-3
60.375	-1.800537E-2	-1.025391E-1	1.251221E-2	1.007080E-2
60.3906	-2.166748E-2	-9.765625E-2	1.251221E-2	8.850098E-3
60.4062	-2.777100E-2	-9.246826E-2	1.281738E-2	1.007080E-2
60.4062	-1.556396E-2	-9.490967E-2	1.220703E-2	9.460449E-3
60.4218	-2.197266E-2	-1.004028E-1	1.220703E-2	9.765625E-3
60.4218	-2.593994E-2	-8.880615E-2	1.190186E-2	9.460449E-3
60.4375	-1.434326E-2	-9.582520E-2	1.251221E-2	9.765625E-3
60.4531	-1.556396E-2	-9.094238E-2	1.190186E-2	9.460449E-3
60.4531	-1.525879E-2	-9.582520E-2	1.251221E-2	9.460449E-3
60.4687	-2.624512E-2	-9.826660E-2	1.251221E-2	9.765625E-3
60.4843	-2.166748E-2	-9.216309E-2	1.190186E-2	1.007080E-2
60.4843	-1.586914E-2	-8.728027E-2	1.190186E-2	1.007080E-2
60.5	-9.155273E-3	-9.704590E-2	1.251221E-2	1.037598E-2
60.5156	-1.251221E-2	-9.399414E-2	1.251221E-2	9.460449E-3
60.5156	-2.563477E-2	-9.521484E-2	1.251221E-2	9.460449E-3
60.5312	-2.166748E-2	-9.704590E-2	1.220703E-2	9.460449E-3
60.5468	-1.464844E-2	-9.796143E-2	1.220703E-2	9.460449E-3
60.5468	-1.068115E-2	-8.605957E-2	1.281738E-2	1.007080E-2
60.5625	-1.251221E-2	-9.674072E-2	1.281738E-2	9.460449E-3
60.5781	-2.563477E-2	-9.948730E-2	1.190186E-2	9.765625E-3
60.5781	-1.495361E-2	-9.490967E-2	1.281738E-2	9.460449E-3
60.5937	-1.342773E-2	-1.016235E-1	1.190186E-2	1.037598E-2
60.5937	-1.403809E-2	-8.270264E-2	1.220703E-2	9.460449E-3
60.6093	-1.220703E-2	-1.022339E-1	1.220703E-2	9.765625E-3
60.625	-1.342773E-2	-9.857178E-2	1.220703E-2	9.155273E-3
60.625	-1.983643E-2	-9.368896E-2	1.190186E-2	9.765625E-3
60.6406	-2.746582E-2	-1.052856E-1	1.190186E-2	9.460449E-3
60.6562	-1.007080E-2	-8.850098E-2	1.251221E-2	9.765625E-3
60.6562	-1.708984E-2	-9.613037E-2	1.159668E-2	9.155273E-3
60.6718	-1.129150E-2	-9.796143E-2	1.190186E-2	1.007080E-2
60.6875	-2.044678E-2	-1.043701E-1	1.220703E-2	1.007080E-2
60.6875	-1.678467E-2	-1.034546E-1	1.251221E-2	1.007080E-2
60.7031	-2.258301E-2	-9.552002E-2	1.220703E-2	9.155273E-3
60.7187	-1.373291E-2	-9.887695E-2	1.159668E-2	9.155273E-3
