fileName	anglePitch	forceMaxAdhesion	forceMaxShear
a0.0.data	 -6.5	-1.755	 5.345	
a1.0.data	 -6.5	-1.305	 4.426	
a10.0.data	 -6.5	-0.877	 2.703	
a2.0.data	 -6.5	-1.099	 3.919	
a20.0.data	 -6.5	-0.936	 2.018	
a3.0.data	 -6.5	-1.102	 3.678	
a30.0.data	 -6.5	-0.813	 1.718	
a4.0.data	 -6.5	-1.066	 3.528	
a40.0.data	 -6.5	-0.780	 1.585	
a5.0.data	 -6.5	-1.097	 3.457	
a50.0.data	 -6.5	-0.842	 1.426	
a6.0.data	 -6.5	-1.111	 3.349	
a60.0.data	 -6.5	-0.920	 1.323	
a7.0.data	 -6.5	-1.021	 3.172	
a70.0.data	 -6.5	-1.045	 1.081	
a8.0.data	 -6.5	-0.942	 2.995	
a80.0.data	 -6.5	-1.314	 0.755	
a9.0.data	 -6.5	-0.962	 2.922	
a90.0.data	 -6.5	-1.678	 0.287	
