fileName	anglePitch	forceMaxAdhesion	forceMaxShear	angle	preload
a00.0.data	0	-1.292	3.924	0	30
a01.0.data	0	-1.294	3.771	1	30
a02.0.data	0	-1.28	3.618	2	30
a03.0.data	0	-1.203	3.374	3	30
a04.0.data	0	-1.184	3.225	4	30
a05.0.data	0	-1.007	2.849	5	30
a06.0.data	0	-0.907	2.683	6	30
a07.0.data	0	-1.002	2.587	7	30
a08.0.data	0	-0.909	2.426	8	30
a09.0.data	0	-0.91	2.374	9	30
a10.0.data	0	-0.95	2.306	10	30
a20.0.data	0	-0.869	1.67	20	30
a30.0.data	0	-0.921	1.537	30	30
a40.0.data	0	-0.964	1.451	40	30
a50.0.data	0	-0.956	1.32	50	30
a60.0.data	0	-1.1	1.163	60	30
a70.0.data	0	-1.228	1.015	70	30
a80.0.data	0	-1.367	0.732	80	30
