May 26, 2009 13:37
529b02
H:\20090526-sws10-ls\LS_p30_d80_vp20_vd20.traj
cantilever = 529b02
lateral amplification = 100
normal amp = 100
pitch angle = 0
roll angle = 294
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
25.7813	-3.326416E-2	-1.022339E-1	1.403809E-2	1.190186E-2
25.7813	-3.082275E-2	-1.013184E-1	1.434326E-2	1.129150E-2
25.7969	-3.479004E-2	-1.019287E-1	1.403809E-2	1.159668E-2
25.7969	-4.486084E-2	-1.058960E-1	1.495361E-2	1.220703E-2
25.8125	-4.760742E-2	-1.022339E-1	1.434326E-2	1.159668E-2
25.8281	-4.241943E-2	-1.037598E-1	1.403809E-2	1.190186E-2
25.8281	-3.784180E-2	-1.010132E-1	1.434326E-2	1.159668E-2
25.8438	-4.547119E-2	-1.052856E-1	1.434326E-2	1.159668E-2
25.8438	-4.882812E-2	-1.034546E-1	1.434326E-2	1.159668E-2
25.8594	-3.662109E-2	-1.022339E-1	1.464844E-2	1.220703E-2
25.875	-4.180908E-2	-1.025391E-1	1.495361E-2	1.159668E-2
25.875	-3.387451E-2	-1.068115E-1	1.495361E-2	1.190186E-2
25.8906	-4.547119E-2	-1.049805E-1	1.434326E-2	1.159668E-2
25.9063	-4.425049E-2	-9.857178E-2	1.373291E-2	1.159668E-2
25.9063	-4.394531E-2	-1.058960E-1	1.434326E-2	1.190186E-2
25.9219	-3.845215E-2	-1.098633E-1	1.434326E-2	1.129150E-2
25.9375	-4.638672E-2	-1.004028E-1	1.434326E-2	1.220703E-2
25.9375	-4.211426E-2	-1.022339E-1	1.434326E-2	1.190186E-2
25.9531	-4.394531E-2	-1.046753E-1	1.434326E-2	1.159668E-2
25.9688	-4.211426E-2	-9.918213E-2	1.434326E-2	1.251221E-2
25.9688	-4.730225E-2	-1.007080E-1	1.403809E-2	1.159668E-2
25.9844	-4.516602E-2	-1.028442E-1	1.403809E-2	1.190186E-2
26.0	-3.906250E-2	-1.028442E-1	1.647949E-2	1.220703E-2
26.0	-4.760742E-2	-1.068115E-1	1.434326E-2	1.159668E-2
26.0156	-4.211426E-2	-1.010132E-1	1.403809E-2	1.129150E-2
26.0313	-3.845215E-2	-1.028442E-1	1.434326E-2	1.159668E-2
26.0313	-4.486084E-2	-9.918213E-2	1.403809E-2	1.190186E-2
26.0469	-4.852295E-2	-1.119995E-1	1.464844E-2	1.129150E-2
26.0625	-3.417969E-2	-1.052856E-1	1.464844E-2	1.190186E-2
26.0625	-4.302979E-2	-1.037598E-1	1.403809E-2	1.190186E-2
26.0781	-4.211426E-2	-1.116943E-1	1.373291E-2	1.129150E-2
26.0781	-5.371094E-2	-1.077271E-1	1.373291E-2	1.159668E-2
26.0938	-4.211426E-2	-1.107788E-1	1.434326E-2	1.190186E-2
26.1094	-4.699707E-2	-1.144409E-1	1.403809E-2	1.159668E-2
26.1094	-4.974365E-2	-1.089478E-1	1.434326E-2	1.098633E-2
26.125	-3.753662E-2	-1.089478E-1	1.403809E-2	1.220703E-2
26.1406	-4.638672E-2	-1.132202E-1	1.464844E-2	1.220703E-2
26.1406	-4.028320E-2	-1.135254E-1	1.434326E-2	1.159668E-2
26.1563	-3.875732E-2	-1.089478E-1	1.464844E-2	1.129150E-2
