fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_a00.data	-15.0	-1.196	 4.287	
p30_a01.data	-15.0	-1.188	 4.055	
p30_a02.data	-15.0	-1.106	 3.713	
p30_a03.data	-15.0	-1.046	 3.438	
p30_a04.data	-15.0	-0.975	 3.141	
p30_a05.data	-15.0	-0.857	 2.907	
p30_a06.data	-15.0	-0.875	 2.687	
p30_a07.data	-15.0	-0.819	 2.558	
p30_a08.data	-15.0	-0.840	 2.422	
p30_a09.data	-15.0	-0.811	 2.329	
p30_a10.data	-15.0	-0.826	 2.192	
p30_a20.data	-15.0	-0.782	 1.527	
p30_a30.data	-15.0	-0.871	 1.395	
p30_a40.data	-15.0	-0.927	 1.323	
p30_a50.data	-15.0	-1.013	 1.226	
p30_a60.data	-15.0	-1.063	 1.094	
p30_a70.data	-15.0	-1.301	 0.878	
p30_a80.data	-15.0	-1.585	 0.572	
p30_a90.data	-15.0	-1.887	 0.173	
p35_a00.data	-15.0	-2.568	 9.725	
p35_a01.data	-15.0	-2.703	 9.408	
p35_a02.data	-15.0	-2.891	 9.224	
p35_a03.data	-15.0	-2.069	 7.111	
p35_a04.data	-15.0	-2.103	 6.683	
p35_a05.data	-15.0	-2.080	 6.442	
p35_a06.data	-15.0	-1.969	 6.012	
p35_a07.data	-15.0	-1.734	 5.367	
p35_a08.data	-15.0	-1.545	 4.836	
p35_a09.data	-15.0	-1.315	 4.229	
p35_a10.data	-15.0	-1.264	 4.069	
p35_a20.data	-15.0	-0.922	 2.515	
p35_a30.data	-15.0	-0.830	 1.976	
p35_a40.data	-15.0	-0.819	 1.783	
p35_a50.data	-15.0	-0.805	 1.601	
p35_a60.data	-15.0	-0.929	 1.423	
p35_a70.data	-15.0	-1.171	 1.163	
p35_a80.data	-15.0	-1.639	 0.786	
p35_a90.data	-15.0	-2.077	 0.203	
