May 28, 2009 15:44
529b02
H:\20090528-sws10-sls\LS_p35_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -15
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
88.3594	1.986694E-1	2.133179E-1	1.342773E-2	1.129150E-2
88.375	1.901245E-1	2.075195E-1	1.434326E-2	1.129150E-2
88.3907	1.934814E-1	2.111816E-1	1.434326E-2	1.068115E-2
88.3907	1.922607E-1	2.139282E-1	1.434326E-2	1.129150E-2
88.4063	2.005005E-1	2.111816E-1	1.403809E-2	1.129150E-2
88.4219	1.898193E-1	2.066040E-1	1.373291E-2	1.037598E-2
88.4219	1.953125E-1	2.053833E-1	1.434326E-2	1.129150E-2
88.4375	1.904297E-1	2.108765E-1	1.434326E-2	1.098633E-2
88.4532	1.980591E-1	2.096558E-1	1.434326E-2	1.098633E-2
88.4532	1.950073E-1	2.090454E-1	1.403809E-2	1.068115E-2
88.4688	1.922607E-1	2.081299E-1	1.403809E-2	1.068115E-2
88.4844	1.940918E-1	2.093506E-1	1.373291E-2	1.098633E-2
88.4844	1.922607E-1	2.087402E-1	1.403809E-2	1.037598E-2
88.5	1.922607E-1	2.053833E-1	1.403809E-2	1.098633E-2
88.5	1.950073E-1	2.117920E-1	1.434326E-2	1.129150E-2
88.5157	1.892090E-1	2.093506E-1	1.342773E-2	1.129150E-2
88.5313	1.937866E-1	2.136230E-1	1.373291E-2	1.068115E-2
88.5313	1.907349E-1	2.117920E-1	1.434326E-2	1.159668E-2
88.5469	1.907349E-1	2.069092E-1	1.434326E-2	1.037598E-2
88.5625	1.962280E-1	2.072144E-1	1.373291E-2	1.068115E-2
88.5625	1.885986E-1	2.130127E-1	1.373291E-2	1.129150E-2
88.5782	1.934814E-1	2.136230E-1	1.434326E-2	1.098633E-2
88.5938	1.913452E-1	2.114868E-1	1.434326E-2	1.129150E-2
88.5938	1.928711E-1	2.163696E-1	1.373291E-2	1.068115E-2
88.6094	1.904297E-1	2.090454E-1	1.373291E-2	1.068115E-2
