dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_a00.data	226	250	385
p30_a01.data	225	249	380
p30_a02.data	223	246	372
p30_a03.data	224	246	366
p30_a04.data	222	244	357
p30_a05.data	222	244	351
p30_a06.data	221	242	345
p30_a07.data	221	242	339
p30_a08.data	219	241	333
p30_a09.data	217	238	329
p30_a10.data	218	238	325
p30_a20.data	216	235	302
p30_a30.data	216	235	297
p30_a40.data	214	234	291
p30_a50.data	214	234	287
p30_a60.data	212	231	281
p30_a70.data	212	232	276
p30_a80.data	211	230	271
p30_a90.data	210	229	271
p35_a00.data	232	276	473
p35_a01.data	230	274	468
p35_a02.data	231	274	465
p35_a03.data	228	272	444
p35_a04.data	229	270	437
p35_a05.data	227	270	434
p35_a06.data	225	268	426
p35_a07.data	225	268	417
p35_a08.data	223	266	409
p35_a09.data	224	266	400
p35_a10.data	222	264	396
p35_a20.data	220	262	364
p35_a30.data	220	261	350
p35_a40.data	218	259	343
p35_a50.data	218	259	338
p35_a60.data	216	258	329
p35_a70.data	216	258	324
p35_a80.data	214	256	319
p35_a90.data	214	256	322
