fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_pa+00_a00.data	  0.0	-1.248	 3.287	
p30_pa+00_a01.data	  0.0	-1.241	 3.192	
p30_pa+00_a02.data	  0.0	-1.169	 2.973	
p30_pa+00_a03.data	  0.0	-1.127	 2.703	
p30_pa+00_a04.data	  0.0	-1.126	 2.592	
p30_pa+00_a05.data	  0.0	-1.080	 2.455	
p30_pa+00_a06.data	  0.0	-1.098	 2.301	
p30_pa+00_a07.data	  0.0	-1.105	 2.240	
p30_pa+00_a08.data	  0.0	-1.118	 2.152	
p30_pa+00_a09.data	  0.0	-1.054	 1.995	
p30_pa+00_a10.data	  0.0	-1.182	 2.012	
p30_pa+00_a20.data	  0.0	-0.921	 1.400	
p30_pa+00_a30.data	  0.0	-0.945	 1.350	
p30_pa+00_a40.data	  0.0	-1.036	 1.300	
p30_pa+00_a50.data	  0.0	-1.018	 1.189	
p30_pa+00_a60.data	  0.0	-1.007	 1.035	
p30_pa+00_a70.data	  0.0	-1.120	 0.934	
p30_pa+00_a80.data	  0.0	-1.221	 0.722	
p30_pa+00_a90.data	  0.0	-1.518	 0.430	
p30_pa+05_a00.data	  5.0	-1.269	 3.259	
p30_pa+05_a01.data	  5.0	-1.405	 3.232	
p30_pa+05_a02.data	  5.0	-1.383	 3.098	
p30_pa+05_a03.data	  5.0	-1.387	 3.003	
p30_pa+05_a04.data	  5.0	-1.213	 2.677	
p30_pa+05_a05.data	  5.0	-1.182	 2.517	
p30_pa+05_a06.data	  5.0	-1.195	 2.440	
p30_pa+05_a07.data	  5.0	-1.111	 2.321	
p30_pa+05_a08.data	  5.0	-1.140	 2.222	
p30_pa+05_a09.data	  5.0	-1.124	 2.145	
p30_pa+05_a10.data	  5.0	-1.107	 2.054	
p30_pa+05_a20.data	  5.0	-0.995	 1.508	
p30_pa+05_a30.data	  5.0	-0.927	 1.440	
p30_pa+05_a40.data	  5.0	-0.961	 1.311	
p30_pa+05_a50.data	  5.0	-1.032	 1.246	
p30_pa+05_a60.data	  5.0	-1.088	 1.147	
p30_pa+05_a70.data	  5.0	-1.094	 1.015	
p30_pa+05_a80.data	  5.0	-1.274	 0.888	
p30_pa+05_a90.data	  5.0	-1.464	 0.560	
p30_pa+10_a00.data	 10.0	-2.316	 5.432	
p30_pa+10_a01.data	 10.0	-2.430	 5.515	
p30_pa+10_a02.data	 10.0	-1.709	 3.985	
p30_pa+10_a03.data	 10.0	-1.613	 3.730	
p30_pa+10_a04.data	 10.0	-1.472	 3.537	
p30_pa+10_a05.data	 10.0	-1.442	 3.310	
p30_pa+10_a06.data	 10.0	-1.437	 3.152	
p30_pa+10_a07.data	 10.0	-1.395	 3.083	
p30_pa+10_a08.data	 10.0	-1.457	 3.012	
p30_pa+10_a09.data	 10.0	-1.487	 2.910	
p30_pa+10_a10.data	 10.0	-1.384	 2.897	
p30_pa+10_a20.data	 10.0	-1.201	 2.116	
p30_pa+10_a30.data	 10.0	-1.207	 2.011	
p30_pa+10_a40.data	 10.0	-1.159	 1.868	
p30_pa+10_a50.data	 10.0	-1.154	 1.721	
p30_pa+10_a60.data	 10.0	-1.174	 1.553	
p30_pa+10_a70.data	 10.0	-1.168	 1.328	
p30_pa+10_a80.data	 10.0	-1.286	 1.100	
p30_pa+10_a90.data	 10.0	-1.519	 0.700	
p30_pa+15_a00.data	 15.0	-2.389	 5.664	
p30_pa+15_a01.data	 15.0	-2.461	 5.707	
p30_pa+15_a02.data	 15.0	-2.597	 5.717	
p30_pa+15_a03.data	 15.0	-2.098	 4.612	
p30_pa+15_a04.data	 15.0	-1.718	 3.932	
p30_pa+15_a05.data	 15.0	-1.715	 3.773	
p30_pa+15_a06.data	 15.0	-1.630	 3.563	
p30_pa+15_a07.data	 15.0	-1.630	 3.335	
p30_pa+15_a08.data	 15.0	-1.497	 3.115	
p30_pa+15_a09.data	 15.0	-1.557	 3.101	
p30_pa+15_a10.data	 15.0	-1.513	 2.954	
p30_pa+15_a20.data	 15.0	-1.278	 2.222	
p30_pa+15_a30.data	 15.0	-1.258	 2.128	
p30_pa+15_a40.data	 15.0	-1.295	 2.020	
p30_pa+15_a50.data	 15.0	-1.238	 1.866	
p30_pa+15_a60.data	 15.0	-1.212	 1.676	
p30_pa+15_a70.data	 15.0	-1.208	 1.468	
p30_pa+15_a80.data	 15.0	-1.325	 1.225	
p30_pa+15_a90.data	 15.0	-1.459	 0.830	
p30_pa+20_a00.data	 20.0	-2.339	 5.911	
p30_pa+20_a01.data	 20.0	-2.365	 5.847	
p30_pa+20_a02.data	 20.0	-2.491	 5.849	
p30_pa+20_a03.data	 20.0	-2.447	 5.701	
p30_pa+20_a04.data	 20.0	-2.438	 5.574	
p30_pa+20_a05.data	 20.0	 2.884	-5.682	
p30_pa+20_a06.data	 20.0	-2.408	 5.077	
p30_pa+20_a07.data	 20.0	-2.614	 5.476	
p30_pa+20_a08.data	 20.0	-2.086	 4.464	
p30_pa+20_a09.data	 20.0	-1.754	 3.700	
p30_pa+20_a10.data	 20.0	-1.615	 3.509	
p30_pa+20_a20.data	 20.0	-1.400	 2.633	
p30_pa+20_a30.data	 20.0	-1.375	 2.502	
p30_pa+20_a40.data	 20.0	-1.349	 2.402	
p30_pa+20_a50.data	 20.0	-1.384	 2.285	
p30_pa+20_a60.data	 20.0	-1.323	 2.019	
p30_pa+20_a70.data	 20.0	-1.305	 1.732	
p30_pa+20_a80.data	 20.0	-1.315	 1.422	
p30_pa+20_a90.data	 20.0	-1.465	 0.942	
