June 02, 2009 17:04
529b02
H:\20090602-sws10-sls\LS_p33_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -05
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
17.5781	-4.577637E-2	-6.286621E-2	1.129150E-2	8.850098E-3
17.5781	-4.760742E-2	-6.195068E-2	1.129150E-2	8.850098E-3
17.5937	-4.211426E-2	-6.469727E-2	1.129150E-2	8.544922E-3
17.6094	-4.821777E-2	-6.591797E-2	1.159668E-2	8.544922E-3
17.6094	-4.211426E-2	-7.080078E-2	1.159668E-2	8.850098E-3
17.625	-3.784180E-2	-6.958008E-2	1.098633E-2	9.155273E-3
17.625	-4.333496E-2	-6.469727E-2	1.159668E-2	8.544922E-3
17.6406	-4.882812E-2	-6.683350E-2	1.098633E-2	8.850098E-3
17.6562	-3.936768E-2	-7.019043E-2	1.190186E-2	8.239746E-3
17.6562	-4.241943E-2	-7.415771E-2	1.190186E-2	8.850098E-3
17.6719	-3.753662E-2	-6.744385E-2	1.190186E-2	8.544922E-3
17.6875	-4.455566E-2	-6.408691E-2	1.159668E-2	8.544922E-3
17.6875	-4.150391E-2	-7.385254E-2	1.220703E-2	8.544922E-3
17.7031	-4.364014E-2	-6.774902E-2	1.159668E-2	8.850098E-3
17.7187	-4.028320E-2	-7.781982E-2	1.159668E-2	8.850098E-3
17.7187	-4.364014E-2	-6.317139E-2	1.220703E-2	8.850098E-3
17.7344	-4.882812E-2	-6.072998E-2	1.159668E-2	8.850098E-3
17.75	-4.150391E-2	-7.812500E-2	1.159668E-2	9.155273E-3
17.75	-4.180908E-2	-7.202148E-2	1.190186E-2	8.850098E-3
17.7656	-4.760742E-2	-7.202148E-2	1.159668E-2	8.850098E-3
17.7812	-4.272461E-2	-6.652832E-2	1.129150E-2	8.239746E-3
17.7812	-4.791260E-2	-6.256104E-2	1.190186E-2	9.155273E-3
17.7969	-4.547119E-2	-7.080078E-2	1.159668E-2	9.155273E-3
17.7969	-3.997803E-2	-6.713867E-2	1.159668E-2	8.544922E-3
17.8125	-4.608154E-2	-6.896973E-2	1.220703E-2	8.850098E-3
17.8281	-4.241943E-2	-6.530762E-2	1.251221E-2	8.850098E-3
