June 02, 2009 17:33
529b02
H:\20090602-sws10-sls\LS_p33_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = 5
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
69.8282	-3.234863E-2	-5.584717E-2	1.190186E-2	8.850098E-3
69.8438	-3.356934E-2	-5.798340E-2	1.190186E-2	9.155273E-3
69.8594	-2.899170E-2	-5.676270E-2	1.220703E-2	9.155273E-3
69.8594	-3.051758E-2	-5.340576E-2	1.190186E-2	9.155273E-3
69.875	-2.777100E-2	-6.256104E-2	1.190186E-2	8.850098E-3
69.8907	-3.448486E-2	-5.950928E-2	1.220703E-2	8.544922E-3
69.8907	-2.929687E-2	-5.889893E-2	1.220703E-2	9.155273E-3
69.9063	-3.234863E-2	-5.249023E-2	1.190186E-2	8.544922E-3
69.9219	-2.532959E-2	-5.645752E-2	1.159668E-2	8.850098E-3
69.9219	-2.899170E-2	-5.676270E-2	1.159668E-2	9.460449E-3
69.9375	-3.234863E-2	-5.767822E-2	1.159668E-2	9.155273E-3
69.9375	-2.990723E-2	-5.432129E-2	1.159668E-2	8.544922E-3
69.9532	-2.166748E-2	-5.279541E-2	1.220703E-2	9.155273E-3
69.9688	-3.662109E-2	-5.767822E-2	1.190186E-2	9.460449E-3
69.9688	-2.746582E-2	-5.737305E-2	1.159668E-2	8.850098E-3
69.9844	-3.204346E-2	-5.584717E-2	1.190186E-2	8.850098E-3
70.0	-2.899170E-2	-5.523682E-2	1.190186E-2	8.544922E-3
70.0	-3.784180E-2	-5.187988E-2	1.220703E-2	8.850098E-3
70.0157	-2.929687E-2	-5.676270E-2	1.159668E-2	9.155273E-3
70.0313	-3.631592E-2	-4.730225E-2	1.220703E-2	9.155273E-3
70.0313	-3.631592E-2	-5.126953E-2	1.190186E-2	8.850098E-3
70.0469	-3.662109E-2	-5.615234E-2	1.190186E-2	8.850098E-3
70.0625	-2.655029E-2	-6.256104E-2	1.220703E-2	8.544922E-3
70.0625	-3.540039E-2	-5.767822E-2	1.190186E-2	9.155273E-3
70.0782	-2.777100E-2	-5.432129E-2	1.190186E-2	8.544922E-3
70.0782	-2.899170E-2	-6.347656E-2	1.190186E-2	8.850098E-3
70.0938	-2.777100E-2	-6.042480E-2	1.129150E-2	8.850098E-3
70.1094	-2.899170E-2	-5.554199E-2	1.159668E-2	8.544922E-3
70.1094	-3.265381E-2	-5.279541E-2	1.159668E-2	9.155273E-3
70.125	-2.532959E-2	-5.157471E-2	1.190186E-2	8.850098E-3
70.1407	-3.051758E-2	-6.225586E-2	1.220703E-2	8.850098E-3
70.1407	-3.448486E-2	-5.279541E-2	1.220703E-2	8.850098E-3
70.1563	-2.044678E-2	-5.950928E-2	1.190186E-2	9.460449E-3
70.1719	-3.387451E-2	-5.371094E-2	1.159668E-2	9.155273E-3
70.1719	-3.417969E-2	-5.432129E-2	1.190186E-2	8.850098E-3
70.1875	-3.234863E-2	-5.920410E-2	1.220703E-2	9.155273E-3
70.1875	-2.899170E-2	-4.791260E-2	1.190186E-2	9.460449E-3
70.2032	-3.173828E-2	-4.974365E-2	1.220703E-2	8.850098E-3
