June 02, 2009 17:04
529b02
H:\20090602-sws10-sls\LS_p33_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -05
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
26.3125	-4.302979E-2	-5.371094E-2	1.190186E-2	8.544922E-3
26.3281	-3.753662E-2	-6.225586E-2	1.159668E-2	8.850098E-3
26.3281	-4.058838E-2	-5.828857E-2	1.129150E-2	8.544922E-3
26.3437	-4.058838E-2	-6.958008E-2	1.129150E-2	8.544922E-3
26.3594	-4.028320E-2	-5.462646E-2	1.220703E-2	8.850098E-3
26.3594	-4.394531E-2	-6.927490E-2	1.159668E-2	8.544922E-3
26.375	-3.448486E-2	-5.981445E-2	1.129150E-2	8.544922E-3
26.3906	-3.967285E-2	-5.401611E-2	1.159668E-2	9.155273E-3
26.3906	-3.692627E-2	-6.652832E-2	1.190186E-2	8.239746E-3
26.4062	-4.150391E-2	-7.019043E-2	1.220703E-2	8.544922E-3
26.4219	-4.028320E-2	-5.645752E-2	1.129150E-2	9.460449E-3
26.4219	-3.540039E-2	-5.950928E-2	1.159668E-2	8.850098E-3
26.4375	-3.631592E-2	-5.889893E-2	1.220703E-2	8.544922E-3
26.4531	-3.875732E-2	-5.981445E-2	1.190186E-2	8.850098E-3
26.4531	-3.356934E-2	-6.561279E-2	1.190186E-2	8.850098E-3
26.4687	-3.875732E-2	-6.408691E-2	1.190186E-2	8.239746E-3
26.4687	-3.936768E-2	-5.950928E-2	1.190186E-2	8.544922E-3
26.4844	-3.997803E-2	-6.195068E-2	1.159668E-2	8.850098E-3
26.4844	-4.455566E-2	-6.317139E-2	1.159668E-2	8.544922E-3
26.5	-4.241943E-2	-5.828857E-2	1.159668E-2	8.544922E-3
26.5156	-3.845215E-2	-6.072998E-2	1.129150E-2	8.544922E-3
26.5156	-3.601074E-2	-6.530762E-2	1.159668E-2	8.544922E-3
26.5312	-3.662109E-2	-5.218506E-2	1.129150E-2	8.850098E-3
26.5469	-4.089355E-2	-6.805420E-2	1.129150E-2	8.544922E-3
26.5469	-4.364014E-2	-5.859375E-2	1.190186E-2	8.544922E-3
26.5625	-3.967285E-2	-4.974365E-2	1.190186E-2	8.239746E-3
26.5781	-3.509521E-2	-6.378174E-2	1.190186E-2	8.544922E-3
26.5781	-3.479004E-2	-5.798340E-2	1.159668E-2	8.850098E-3
26.5937	-3.845215E-2	-7.446289E-2	1.159668E-2	9.460449E-3
26.6094	-3.967285E-2	-6.072998E-2	1.098633E-2	8.239746E-3
26.6094	-4.333496E-2	-5.493164E-2	1.190186E-2	8.544922E-3
26.625	-3.265381E-2	-5.920410E-2	1.159668E-2	8.544922E-3
26.625	-3.265381E-2	-5.645752E-2	1.159668E-2	8.850098E-3
26.6406	-3.540039E-2	-6.103516E-2	1.129150E-2	8.544922E-3
26.6562	-3.845215E-2	-6.164551E-2	1.159668E-2	8.850098E-3
26.6562	-2.929687E-2	-5.950928E-2	1.190186E-2	8.544922E-3
26.6719	-3.570557E-2	-6.378174E-2	1.098633E-2	8.544922E-3
26.6875	-3.875732E-2	-5.950928E-2	1.159668E-2	8.850098E-3
26.6875	-4.058838E-2	-6.866455E-2	1.159668E-2	8.850098E-3
26.7031	-4.089355E-2	-6.103516E-2	1.159668E-2	8.544922E-3
26.7187	-3.234863E-2	-5.676270E-2	1.159668E-2	8.544922E-3
26.7187	-3.875732E-2	-5.554199E-2	1.190186E-2	8.544922E-3
