dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_a00.data	223	253	349
p30_a01.data	223	251	346
p30_a02.data	220	249	339
p30_a03.data	221	248	337
p30_a04.data	219	248	337
p30_a05.data	215	246	335
p30_a06.data	219	246	335
p30_a07.data	216	244	331
p30_a08.data	217	244	328
p30_a09.data	216	242	324
p30_a10.data	216	242	320
p30_a20.data	215	241	304
p30_a30.data	213	239	299
p30_a40.data	213	239	295
p30_a50.data	211	237	288
p30_a60.data	211	237	283
p30_a70.data	210	237	275
p30_a80.data	207	236	272
p30_a90.data	209	236	272
p33_a00.data	224	266	397
p33_a01.data	223	264	404
p33_a02.data	223	263	381
p33_a03.data	218	261	373
p33_a04.data	219	260	367
p33_a05.data	219	259	367
p33_a06.data	216	256	360
p33_a07.data	216	256	358
p33_a08.data	214	254	352
p33_a09.data	214	255	347
p33_a10.data	212	252	346
p33_a20.data	211	250	335
p33_a30.data	209	250	324
p33_a40.data	209	248	318
p33_a50.data	209	248	314
p33_a60.data	207	246	307
p33_a70.data	207	246	301
p33_a80.data	201	243	291
p33_a90.data	204	243	292
p36_a00.data	227	282	432
p36_a01.data	225	279	429
p36_a02.data	224	278	425
p36_a03.data	224	278	421
p36_a04.data	222	277	416
p36_a05.data	223	277	418
p36_a06.data	221	275	415
p36_a07.data	220	274	412
p36_a08.data	220	274	409
p36_a09.data	214	272	399
p36_a10.data	219	272	390
p36_a20.data	219	272	375
p36_a30.data	218	271	363
p36_a40.data	218	271	360
p36_a50.data	217	270	351
p36_a60.data	217	270	345
p36_a70.data	213	268	337
p36_a80.data	215	268	330
p36_a90.data	215	268	332
