fileName	anglePitch	forceMaxAdhesion	forceMaxShear	angle	preload
p30_a00.data	0	-1.904	6.815	0	30
p30_a01.data	0	-1.83	6.378	1	30
p30_a02.data	0	-2.016	6.213	2	30
p30_a03.data	0	-1.949	5.855	3	30
p30_a04.data	0	-1.606	5.032	4	30
p30_a05.data	0	-1.486	4.7	5	30
p30_a06.data	0	-1.405	4.353	6	30
p30_a07.data	0	-1.303	3.944	7	30
p30_a08.data	0	-1.101	3.622	8	30
p30_a09.data	0	-1.059	3.454	9	30
p30_a10.data	0	-1.111	3.323	10	30
p30_a20.data	0	-0.867	2.083	20	30
p30_a30.data	0	-0.85	1.838	30	30
p30_a40.data	0	-0.913	1.722	40	30
p30_a50.data	0	-0.849	1.337	50	30
p30_a60.data	0	-0.96	1.365	60	30
p30_a70.data	0	-0.726	0.966	70	30
p30_a80.data	0	-0.858	0.567	80	30
p30_a90.data	0	-1.126	0.15	90	30
p33_a00.data	0	-3.263	11.31	0	33
p33_a01.data	0	-3.228	10.523	1	33
p33_a02.data	0	-2.975	9.324	2	33
p33_a03.data	0	-2.793	8.719	3	33
p33_a04.data	0	-2.158	7.081	4	33
p33_a05.data	0	-2.066	6.596	5	33
p33_a06.data	0	-2.089	6.455	6	33
p33_a07.data	0	-2.062	6.064	7	33
p33_a08.data	0	-2.096	5.899	8	33
p33_a09.data	0	-1.629	5.125	9	33
p33_a10.data	0	-1.598	4.79	10	33
p33_a20.data	0	-1.17	2.935	20	33
p33_a30.data	0	-1.087	2.462	30	33
p33_a40.data	0	-0.924	2.032	40	33
p33_a50.data	0	-0.975	1.705	50	33
p33_a60.data	0	-0.949	1.4	60	33
p33_a70.data	0	-0.896	1.203	70	33
p33_a80.data	0	-0.945	0.7	80	33
p33_a90.data	0	-1.175	0.133	90	33
p36_a00.data	0	-4.298	17.117	0	36
p36_a01.data	0	-3.076	11.997	1	36
p36_a02.data	0	-3.362	12.024	2	36
p36_a03.data	0	-3.687	12.263	3	36
p36_a04.data	0	-3.813	11.883	4	36
p36_a05.data	0	-3.686	10.974	5	36
p36_a06.data	0	-3.13	9.607	6	36
p36_a07.data	0	-3.236	9.35	7	36
p36_a08.data	0	-2.639	8.055	8	36
p36_a09.data	0	-2.255	7.031	9	36
p36_a10.data	0	-2.122	6.648	10	36
p36_a20.data	0	-1.396	3.921	20	36
p36_a30.data	0	-1.359	2.994	30	36
p36_a40.data	0	-1.178	2.723	40	36
p36_a50.data	0	-0.925	2.099	50	36
p36_a60.data	0	-0.911	1.54	60	36
p36_a70.data	0	-0.925	1.349	70	36
p36_a80.data	0	-0.871	0.779	80	36
p36_a90.data	0	-1.221	0.162	90	36
