June 10, 2009 13:50
529b02
H:\20090610-sws13-ls\LS_p36_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -03
roll angle = 200
cantilever = 529b02
sample = sws13
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
122.7656	-5.706787E-2	-4.211426E-2	1.068115E-2	8.239746E-3
122.7813	-5.767822E-2	-4.028320E-2	1.098633E-2	7.629395E-3
122.7813	-5.920410E-2	-3.936768E-2	1.098633E-2	7.324219E-3
122.7969	-6.225586E-2	-4.089355E-2	1.129150E-2	7.934570E-3
122.8125	-5.035400E-2	-3.417969E-2	1.037598E-2	7.934570E-3
122.8125	-5.615234E-2	-4.150391E-2	1.037598E-2	8.239746E-3
122.8281	-6.072998E-2	-4.119873E-2	1.037598E-2	7.324219E-3
122.8281	-6.164551E-2	-3.967285E-2	1.068115E-2	7.934570E-3
122.8438	-5.096436E-2	-3.417969E-2	1.068115E-2	7.629395E-3
122.8594	-5.798340E-2	-4.302979E-2	9.765625E-3	7.934570E-3
122.8594	-5.981445E-2	-3.417969E-2	1.037598E-2	7.934570E-3
122.875	-5.981445E-2	-3.845215E-2	1.037598E-2	7.934570E-3
122.8906	-5.554199E-2	-3.265381E-2	1.037598E-2	8.239746E-3
122.8906	-5.981445E-2	-4.211426E-2	1.068115E-2	8.239746E-3
122.9063	-5.615234E-2	-4.211426E-2	1.068115E-2	8.239746E-3
122.9219	-5.767822E-2	-3.326416E-2	1.068115E-2	7.934570E-3
122.9219	-5.310059E-2	-4.150391E-2	1.037598E-2	8.239746E-3
122.9375	-5.859375E-2	-3.570557E-2	1.037598E-2	7.934570E-3
122.9531	-5.767822E-2	-4.577637E-2	1.068115E-2	7.629395E-3
122.9531	-5.798340E-2	-3.570557E-2	1.037598E-2	7.934570E-3
122.9688	-5.004883E-2	-3.356934E-2	1.098633E-2	7.934570E-3
122.9844	-5.889893E-2	-4.608154E-2	1.068115E-2	7.934570E-3
122.9844	-6.347656E-2	-4.028320E-2	1.007080E-2	7.629395E-3
123.0	-5.432129E-2	-3.906250E-2	1.098633E-2	8.239746E-3
123.0156	-5.340576E-2	-3.936768E-2	1.037598E-2	7.934570E-3
123.0156	-5.310059E-2	-3.784180E-2	1.037598E-2	7.629395E-3
123.0313	-5.645752E-2	-3.814697E-2	1.007080E-2	7.629395E-3
123.0313	-5.981445E-2	-3.570557E-2	1.037598E-2	7.629395E-3
123.0469	-5.554199E-2	-3.265381E-2	1.098633E-2	8.239746E-3
123.0625	-4.638672E-2	-3.967285E-2	1.068115E-2	7.934570E-3
123.0625	-5.371094E-2	-4.425049E-2	9.765625E-3	7.934570E-3
123.0781	-5.432129E-2	-4.241943E-2	1.037598E-2	7.934570E-3
123.0938	-5.889893E-2	-3.173828E-2	1.007080E-2	7.324219E-3
123.0938	-5.523682E-2	-3.143311E-2	9.155273E-3	7.629395E-3
123.1094	-5.493164E-2	-3.845215E-2	1.007080E-2	7.324219E-3
123.125	-5.859375E-2	-3.784180E-2	1.037598E-2	7.934570E-3
123.125	-5.462646E-2	-4.211426E-2	1.037598E-2	7.934570E-3
123.1406	-5.615234E-2	-3.723145E-2	1.037598E-2	7.934570E-3
123.1406	-5.279541E-2	-3.784180E-2	1.037598E-2	7.629395E-3
123.1563	-5.462646E-2	-4.333496E-2	1.068115E-2	7.934570E-3
123.1719	-5.554199E-2	-4.455566E-2	1.037598E-2	7.629395E-3
123.1719	-5.798340E-2	-3.662109E-2	1.007080E-2	8.239746E-3
123.1875	-5.401611E-2	-4.058838E-2	1.007080E-2	7.629395E-3
123.2031	-5.828857E-2	-3.845215E-2	1.007080E-2	7.934570E-3
123.2031	-6.347656E-2	-4.211426E-2	1.037598E-2	7.629395E-3
123.2188	-5.371094E-2	-2.807617E-2	1.068115E-2	8.239746E-3
123.2188	-5.584717E-2	-3.387451E-2	1.037598E-2	7.019043E-3
123.2344	-5.432129E-2	-4.089355E-2	1.037598E-2	7.629395E-3
123.25	-5.432129E-2	-3.295898E-2	1.037598E-2	7.324219E-3
123.25	-5.340576E-2	-4.425049E-2	1.037598E-2	7.324219E-3
123.2656	-5.767822E-2	-3.845215E-2	1.068115E-2	8.239746E-3
123.2813	-5.889893E-2	-3.387451E-2	1.007080E-2	7.629395E-3
123.2813	-5.157471E-2	-3.417969E-2	1.037598E-2	7.324219E-3
123.2969	-5.462646E-2	-3.051758E-2	1.037598E-2	7.629395E-3
123.3125	-5.950928E-2	-4.302979E-2	1.007080E-2	8.239746E-3
123.3125	-5.035400E-2	-4.241943E-2	1.007080E-2	7.629395E-3
123.3281	-5.889893E-2	-3.326416E-2	1.037598E-2	8.544922E-3
123.3438	-5.981445E-2	-3.143311E-2	9.460449E-3	8.239746E-3
123.3438	-5.706787E-2	-4.241943E-2	1.068115E-2	8.239746E-3
123.3594	-6.103516E-2	-3.234863E-2	1.037598E-2	7.934570E-3
123.375	-5.584717E-2	-4.211426E-2	1.068115E-2	7.934570E-3
123.375	-5.615234E-2	-4.211426E-2	1.068115E-2	7.629395E-3
