fileName	anglePitch	forceMaxAdhesion	forceMaxShear
../20091124-sws10-ls/data/separated/p30_a00.data	-12.0	-0.716	 2.937	
../20091124-sws10-ls/data/separated/p30_a01.data	-12.0	-0.745	 2.811	
../20091124-sws10-ls/data/separated/p30_a02.data	-12.0	-0.749	 2.606	
../20091124-sws10-ls/data/separated/p30_a03.data	-12.0	-0.816	 2.485	
../20091124-sws10-ls/data/separated/p30_a04.data	-12.0	-0.763	 2.286	
../20091124-sws10-ls/data/separated/p30_a05.data	-12.0	-0.806	 2.155	
../20091124-sws10-ls/data/separated/p30_a06.data	-12.0	-0.807	 2.017	
../20091124-sws10-ls/data/separated/p30_a07.data	-12.0	-0.791	 1.939	
../20091124-sws10-ls/data/separated/p30_a08.data	-12.0	-0.821	 1.887	
../20091124-sws10-ls/data/separated/p30_a09.data	-12.0	-0.830	 1.834	
../20091124-sws10-ls/data/separated/p30_a10.data	-12.0	-0.840	 1.778	
../20091124-sws10-ls/data/separated/p30_a20.data	-12.0	-1.103	 1.363	
../20091124-sws10-ls/data/separated/p30_a30.data	-12.0	-1.176	 1.248	
../20091124-sws10-ls/data/separated/p30_a40.data	-12.0	-1.220	 1.200	
../20091124-sws10-ls/data/separated/p30_a50.data	-12.0	-1.242	 1.035	
../20091124-sws10-ls/data/separated/p30_a60.data	-12.0	-1.312	 0.900	
../20091124-sws10-ls/data/separated/p30_a70.data	-12.0	-1.439	 0.707	
../20091124-sws10-ls/data/separated/p30_a80.data	-12.0	-1.522	 0.413	
../20091124-sws10-ls/data/separated/p30_a90.data	-12.0	-1.539	 0.086	
../20091124-sws10-ls/data/separated/p33_a00.data	-12.0	-2.024	 6.331	
../20091124-sws10-ls/data/separated/p33_a01.data	-12.0	-1.689	 6.029	
../20091124-sws10-ls/data/separated/p33_a02.data	-12.0	-1.268	 4.726	
../20091124-sws10-ls/data/separated/p33_a03.data	-12.0	-1.139	 4.161	
../20091124-sws10-ls/data/separated/p33_a04.data	-12.0	-0.986	 3.627	
../20091124-sws10-ls/data/separated/p33_a05.data	-12.0	-0.947	 3.315	
../20091124-sws10-ls/data/separated/p33_a06.data	-12.0	-0.886	 3.045	
../20091124-sws10-ls/data/separated/p33_a07.data	-12.0	-0.805	 2.782	
../20091124-sws10-ls/data/separated/p33_a08.data	-12.0	-0.810	 2.582	
../20091124-sws10-ls/data/separated/p33_a09.data	-12.0	-0.843	 2.503	
../20091124-sws10-ls/data/separated/p33_a10.data	-12.0	-0.799	 2.332	
../20091124-sws10-ls/data/separated/p33_a20.data	-12.0	-1.017	 1.760	
../20091124-sws10-ls/data/separated/p33_a30.data	-12.0	-1.150	 1.598	
../20091124-sws10-ls/data/separated/p33_a40.data	-12.0	-1.226	 1.485	
../20091124-sws10-ls/data/separated/p33_a50.data	-12.0	-1.316	 1.361	
../20091124-sws10-ls/data/separated/p33_a60.data	-12.0	-1.378	 1.130	
../20091124-sws10-ls/data/separated/p33_a70.data	-12.0	-1.536	 0.935	
../20091124-sws10-ls/data/separated/p33_a80.data	-12.0	-1.690	 0.558	
../20091124-sws10-ls/data/separated/p33_a90.data	-12.0	-1.718	 0.082	
../20091124-sws10-ls/data/separated/p36_a00.data	-12.0	-2.001	 0.094	
../20091124-sws10-ls/data/separated/p36_a01.data	-12.0	-2.132	 0.093	
../20091124-sws10-ls/data/separated/p36_a02.data	-12.0	-2.281	 0.092	
../20091124-sws10-ls/data/separated/p36_a03.data	-12.0	-2.416	 0.088	
../20091124-sws10-ls/data/separated/p36_a04.data	-12.0	-1.712	 0.064	
../20091124-sws10-ls/data/separated/p36_a05.data	-12.0	-1.681	 0.057	
../20091124-sws10-ls/data/separated/p36_a06.data	-12.0	-1.432	 0.049	
../20091124-sws10-ls/data/separated/p36_a07.data	-12.0	-1.115	 0.042	
../20091124-sws10-ls/data/separated/p36_a08.data	-12.0	-1.157	 0.039	
../20091124-sws10-ls/data/separated/p36_a09.data	-12.0	-1.036	 0.036	
../20091124-sws10-ls/data/separated/p36_a10.data	-12.0	-0.975	 0.034	
../20091124-sws10-ls/data/separated/p36_a20.data	-12.0	-0.958	 0.023	
../20091124-sws10-ls/data/separated/p36_a30.data	-12.0	-1.120	 0.018	
../20091124-sws10-ls/data/separated/p36_a40.data	-12.0	-1.225	 0.017	
../20091124-sws10-ls/data/separated/p36_a50.data	-12.0	-1.224	 0.016	
../20091124-sws10-ls/data/separated/p36_a60.data	-12.0	-1.397	 0.014	
../20091124-sws10-ls/data/separated/p36_a70.data	-12.0	-1.607	 0.011	
../20091124-sws10-ls/data/separated/p36_a80.data	-12.0	-1.830	 0.007	
../20091124-sws10-ls/data/separated/p36_a90.data	-12.0	-1.995	 0.001	
