November 24, 2009 13:10
629a03
H:\20091124-sws10-ls\traj\LS_p33_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 500
pitch angle = -12
roll angle = 156
cantilever = 629a03
sample = sws10
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
78.5	-2.044678E-2	-2.807617E-2	8.850098E-3	5.798340E-3
78.5	-3.570557E-2	-1.525879E-3	7.934570E-3	6.103516E-3
78.5156	-2.899170E-2	2.075195E-2	8.544922E-3	6.408691E-3
78.5156	6.103516E-4	-1.831055E-2	8.850098E-3	5.798340E-3
78.5312	-1.068115E-2	-3.021240E-2	8.850098E-3	5.493164E-3
78.5469	-1.220703E-2	-3.662109E-2	8.544922E-3	5.798340E-3
78.5469	-1.647949E-2	7.324219E-3	7.934570E-3	5.187988E-3
78.5625	-1.861572E-2	-1.922607E-2	8.239746E-3	5.493164E-3
78.5625	-3.479004E-2	-2.105713E-2	8.239746E-3	5.493164E-3
78.5781	-2.471924E-2	-2.014160E-2	8.239746E-3	5.187988E-3
78.5937	-1.373291E-2	-1.098633E-2	8.239746E-3	5.798340E-3
78.5937	-3.051758E-3	1.678467E-2	8.544922E-3	5.187988E-3
78.6094	-5.798340E-3	5.187988E-3	8.544922E-3	5.493164E-3
78.625	-2.960205E-2	-1.525879E-3	8.544922E-3	5.493164E-3
78.625	-3.967285E-2	3.051758E-3	8.239746E-3	6.103516E-3
78.6406	-2.227783E-2	2.075195E-2	8.544922E-3	5.187988E-3
78.6562	-2.655029E-2	1.251221E-2	8.544922E-3	5.798340E-3
78.6562	-1.953125E-2	1.037598E-2	8.850098E-3	4.882812E-3
78.6719	-1.861572E-2	-1.434326E-2	8.544922E-3	6.103516E-3
78.6875	-2.044678E-2	-1.037598E-2	8.239746E-3	5.187988E-3
78.6875	-2.990723E-2	-8.850098E-3	8.544922E-3	5.798340E-3
78.7031	-1.220703E-2	5.187988E-3	8.239746E-3	5.493164E-3
78.7187	-1.953125E-2	5.493164E-3	7.934570E-3	5.798340E-3
78.7187	-1.434326E-2	1.556396E-2	8.544922E-3	5.187988E-3
78.7344	-2.716064E-2	-3.204346E-2	8.544922E-3	5.798340E-3
78.75	-5.493164E-3	-5.798340E-3	7.934570E-3	5.493164E-3
78.75	-1.037598E-2	9.155273E-3	8.544922E-3	6.103516E-3
78.7656	-2.105713E-2	-2.960205E-2	8.239746E-3	4.882812E-3
78.7656	-2.075195E-2	1.586914E-2	8.544922E-3	5.798340E-3
78.7812	-2.227783E-2	1.495361E-2	7.934570E-3	4.882812E-3
78.7969	-2.624512E-2	-3.021240E-2	8.239746E-3	5.493164E-3
78.7969	-1.586914E-2	1.068115E-2	8.239746E-3	6.408691E-3
78.8125	-2.014160E-2	-3.051758E-2	8.850098E-3	6.103516E-3
78.8281	-1.647949E-2	-4.577637E-3	8.239746E-3	5.187988E-3
78.8281	-1.586914E-2	-9.460449E-3	8.544922E-3	5.187988E-3
78.8437	-1.953125E-2	-2.441406E-2	8.544922E-3	5.187988E-3
78.8594	-2.563477E-2	-3.204346E-2	8.544922E-3	5.798340E-3
78.8594	-6.713867E-3	-1.495361E-2	7.934570E-3	5.493164E-3
78.875	-2.990723E-2	-8.239746E-3	8.544922E-3	5.187988E-3
78.8906	-1.281738E-2	1.922607E-2	8.239746E-3	5.187988E-3
78.8906	-1.586914E-2	7.934570E-3	8.544922E-3	5.493164E-3
78.9062	-2.593994E-2	-2.563477E-2	8.239746E-3	5.798340E-3
78.9062	-2.716064E-2	-2.349854E-2	8.239746E-3	5.493164E-3
78.9219	-3.051758E-2	-1.190186E-2	8.850098E-3	5.493164E-3
78.9375	-2.014160E-2	-2.197266E-2	8.239746E-3	6.103516E-3
78.9375	-3.082275E-2	-2.410889E-2	8.544922E-3	5.798340E-3
78.9531	-3.448486E-2	-2.807617E-2	8.239746E-3	5.187988E-3
78.9531	-3.479004E-2	-2.136230E-2	7.934570E-3	5.493164E-3
78.9687	-6.103516E-3	-4.974365E-2	8.239746E-3	5.798340E-3
78.9844	-2.441406E-2	-3.601074E-2	8.544922E-3	5.798340E-3
78.9844	-2.838135E-2	2.838135E-2	7.934570E-3	5.493164E-3
79.0	-1.647949E-2	-3.265381E-2	8.239746E-3	5.493164E-3
79.0156	-3.784180E-2	-3.356934E-3	8.239746E-3	5.493164E-3
79.0156	-3.173828E-2	-1.708984E-2	8.239746E-3	5.798340E-3
79.0312	-2.349854E-2	-1.525879E-2	7.629395E-3	6.103516E-3
79.0469	-2.288818E-2	-2.502441E-2	8.239746E-3	5.187988E-3
79.0469	-7.934570E-3	-3.356934E-3	8.239746E-3	5.187988E-3
79.0625	-1.037598E-2	5.493164E-3	8.544922E-3	5.187988E-3
79.0781	-1.953125E-2	-1.525879E-3	8.850098E-3	5.798340E-3
79.0781	-1.922607E-2	-1.159668E-2	8.544922E-3	6.103516E-3
79.0937	-2.075195E-2	-1.831055E-3	7.934570E-3	5.187988E-3
79.1094	-8.239746E-3	0.000000E+0	8.544922E-3	5.187988E-3
79.1094	-9.765625E-3	-2.044678E-2	8.544922E-3	6.408691E-3
79.125	-8.544922E-3	1.770020E-2	8.850098E-3	5.493164E-3
79.125	-1.922607E-2	-2.441406E-3	8.239746E-3	5.798340E-3
79.1406	-2.685547E-2	-4.882812E-3	8.239746E-3	4.882812E-3
79.1562	-1.190186E-2	-3.051758E-3	8.239746E-3	5.493164E-3
79.1562	-1.586914E-2	8.239746E-3	8.239746E-3	5.493164E-3
79.1719	-3.051758E-3	1.129150E-2	8.239746E-3	5.493164E-3
79.1875	-2.777100E-2	-2.288818E-2	8.239746E-3	5.493164E-3
79.1875	-2.136230E-2	-5.798340E-3	8.239746E-3	5.493164E-3
79.2031	-2.197266E-2	-4.272461E-3	8.239746E-3	6.103516E-3
79.2187	-2.990723E-2	2.807617E-2	8.239746E-3	5.493164E-3
79.2187	-3.082275E-2	9.155273E-3	8.239746E-3	6.103516E-3
79.2344	-2.838135E-2	-6.103516E-4	8.544922E-3	6.103516E-3
79.25	-1.129150E-2	-2.868652E-2	7.934570E-3	6.103516E-3
79.25	-1.800537E-2	-4.882812E-3	7.934570E-3	5.493164E-3
79.2656	-7.019043E-3	1.251221E-2	7.934570E-3	5.187988E-3
79.2656	-1.892090E-2	1.525879E-2	8.544922E-3	5.493164E-3
79.2812	-7.934570E-3	1.525879E-2	8.239746E-3	5.187988E-3
79.2969	-1.647949E-2	1.037598E-2	8.850098E-3	5.493164E-3
79.2969	-1.281738E-2	-1.434326E-2	9.155273E-3	5.187988E-3
79.3125	-2.197266E-2	3.356934E-3	8.239746E-3	5.798340E-3
79.3125	-1.098633E-2	1.617432E-2	7.934570E-3	4.882812E-3
79.3281	-2.014160E-2	1.556396E-2	8.544922E-3	5.493164E-3
79.3437	-6.103516E-3	5.187988E-3	7.934570E-3	5.187988E-3
79.3437	-6.103516E-3	-4.577637E-3	8.239746E-3	6.103516E-3
79.3594	-1.647949E-2	-7.629395E-3	8.544922E-3	5.798340E-3
79.375	-1.495361E-2	1.739502E-2	8.544922E-3	5.493164E-3
79.375	-2.014160E-2	-4.882812E-3	8.239746E-3	5.187988E-3
79.3906	-1.495361E-2	2.593994E-2	8.239746E-3	6.408691E-3
79.4062	-2.197266E-2	-1.983643E-2	8.239746E-3	5.187988E-3
79.4062	-1.831055E-2	1.831055E-3	1.037598E-2	5.493164E-3
