fileName	anglePitch	forceMaxAdhesion	forceMaxShear
a0.0.data	  0.0	-1.292	 3.924	
a1.0.data	  0.0	-1.294	 3.771	
a10.0.data	  0.0	-0.950	 2.306	
a2.0.data	  0.0	-1.280	 3.618	
a20.0.data	  0.0	-0.869	 1.670	
a3.0.data	  0.0	-1.203	 3.374	
a30.0.data	  0.0	-0.921	 1.537	
a4.0.data	  0.0	-1.184	 3.225	
a40.0.data	  0.0	-0.964	 1.451	
a5.0.data	  0.0	-1.007	 2.849	
a50.0.data	  0.0	-0.956	 1.320	
a6.0.data	  0.0	-0.907	 2.683	
a60.0.data	  0.0	-1.100	 1.163	
a7.0.data	  0.0	-1.002	 2.587	
a70.0.data	  0.0	-1.228	 1.015	
a8.0.data	  0.0	-0.909	 2.426	
a80.0.data	  0.0	-1.367	 0.732	
a9.0.data	  0.0	-0.910	 2.374	
a0.0.data	  0.0	-2.880	 10.281	
a1.0.data	  0.0	-2.838	 9.696	
a10.0.data	  0.0	-1.867	 4.968	
a2.0.data	  0.0	-3.056	 9.601	
a20.0.data	  0.0	-1.089	 2.894	
a3.0.data	  0.0	-3.097	 9.386	
a30.0.data	  0.0	-1.013	 2.266	
a4.0.data	  0.0	-2.043	 6.654	
a40.0.data	  0.0	-1.046	 2.174	
a5.0.data	  0.0	-2.048	 6.374	
a50.0.data	  0.0	-0.944	 1.863	
a6.0.data	  0.0	-2.192	 6.345	
a60.0.data	  0.0	-1.019	 1.597	
a7.0.data	  0.0	-2.279	 6.222	
a70.0.data	  0.0	-1.096	 1.228	
a8.0.data	  0.0	-2.322	 5.968	
a80.0.data	  0.0	-1.419	 0.923	
a9.0.data	  0.0	-1.939	 5.188	
a90.0.data	  0.0	-1.887	 0.427	
