fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_a00.data	-10.0	-1.886	 5.719	
p30_a01.data	-10.0	-1.631	 5.113	
p30_a02.data	-10.0	-1.284	 4.210	
p30_a03.data	-10.0	-1.219	 3.915	
p30_a04.data	-10.0	-1.102	 3.627	
p30_a05.data	-10.0	-1.093	 3.425	
p30_a06.data	-10.0	-1.113	 3.271	
p30_a07.data	-10.0	-1.046	 3.050	
p30_a08.data	-10.0	-0.861	 2.680	
p30_a09.data	-10.0	-0.899	 2.602	
p30_a10.data	-10.0	-0.848	 2.465	
p30_a20.data	-10.0	-0.786	 1.706	
p30_a30.data	-10.0	-0.830	 1.558	
p30_a40.data	-10.0	-0.844	 1.464	
p30_a50.data	-10.0	-0.847	 1.271	
p30_a60.data	-10.0	-0.900	 1.086	
p30_a70.data	-10.0	-1.079	 0.950	
p30_a80.data	-10.0	-1.387	 0.686	
p30_a90.data	-10.0	-1.765	 0.296	
p35_a00.data	-10.0	-2.662	 10.231	
p35_a01.data	-10.0	-2.566	 9.235	
p35_a02.data	-10.0	-2.551	 8.613	
p35_a03.data	-10.0	-1.665	 6.285	
p35_a04.data	-10.0	-1.696	 6.093	
p35_a05.data	-10.0	-1.622	 5.709	
p35_a06.data	-10.0	-1.617	 5.484	
p35_a07.data	-10.0	-1.780	 5.321	
p35_a08.data	-10.0	-1.328	 4.575	
p35_a09.data	-10.0	-1.281	 4.217	
p35_a10.data	-10.0	-1.052	 3.902	
p35_a20.data	-10.0	-0.757	 2.503	
p35_a30.data	-10.0	-0.783	 2.037	
p35_a40.data	-10.0	-0.791	 1.864	
p35_a50.data	-10.0	-0.692	 1.616	
p35_a60.data	-10.0	-0.750	 1.364	
p35_a70.data	-10.0	-0.898	 1.093	
p35_a80.data	-10.0	-1.254	 0.772	
p35_a90.data	-10.0	-1.726	 0.292	
p30_a00.data	-15.0	-1.196	 4.287	
p30_a01.data	-15.0	-1.188	 4.055	
p30_a02.data	-15.0	-1.106	 3.713	
p30_a03.data	-15.0	-1.046	 3.438	
p30_a04.data	-15.0	-0.975	 3.141	
p30_a05.data	-15.0	-0.857	 2.907	
p30_a06.data	-15.0	-0.875	 2.687	
p30_a07.data	-15.0	-0.819	 2.558	
p30_a08.data	-15.0	-0.840	 2.422	
p30_a09.data	-15.0	-0.811	 2.329	
p30_a10.data	-15.0	-0.826	 2.192	
p30_a20.data	-15.0	-0.782	 1.527	
p30_a30.data	-15.0	-0.871	 1.395	
p30_a40.data	-15.0	-0.927	 1.323	
p30_a50.data	-15.0	-1.013	 1.226	
p30_a60.data	-15.0	-1.063	 1.094	
p30_a70.data	-15.0	-1.301	 0.878	
p30_a80.data	-15.0	-1.585	 0.572	
p30_a90.data	-15.0	-1.887	 0.173	
p35_a00.data	-15.0	-2.568	 9.725	
p35_a01.data	-15.0	-2.703	 9.408	
p35_a02.data	-15.0	-2.891	 9.224	
p35_a03.data	-15.0	-2.069	 7.111	
p35_a04.data	-15.0	-2.103	 6.683	
p35_a05.data	-15.0	-2.080	 6.442	
p35_a06.data	-15.0	-1.969	 6.012	
p35_a07.data	-15.0	-1.734	 5.367	
p35_a08.data	-15.0	-1.545	 4.836	
p35_a09.data	-15.0	-1.315	 4.229	
p35_a10.data	-15.0	-1.264	 4.069	
p35_a20.data	-15.0	-0.922	 2.515	
p35_a30.data	-15.0	-0.830	 1.976	
p35_a40.data	-15.0	-0.819	 1.783	
p35_a50.data	-15.0	-0.805	 1.601	
p35_a60.data	-15.0	-0.929	 1.423	
p35_a70.data	-15.0	-1.171	 1.163	
p35_a80.data	-15.0	-1.639	 0.786	
p35_a90.data	-15.0	-2.077	 0.203	
p30_a00.data	  5.0	-1.568	 3.878	
p30_a01.data	  5.0	-1.462	 3.615	
p30_a02.data	  5.0	-1.492	 3.443	
p30_a03.data	  5.0	-1.402	 3.258	
p30_a04.data	  5.0	-1.434	 3.152	
p30_a05.data	  5.0	-1.435	 3.052	
p30_a06.data	  5.0	-1.392	 2.821	
p30_a07.data	  5.0	-1.399	 2.754	
p30_a08.data	  5.0	-1.182	 2.458	
p30_a09.data	  5.0	-1.246	 2.406	
p30_a10.data	  5.0	-1.167	 2.317	
p30_a20.data	  5.0	-1.176	 1.881	
p30_a30.data	  5.0	-1.092	 1.153	
p30_a40.data	  5.0	-1.056	 1.527	
p30_a50.data	  5.0	-1.108	 1.443	
p30_a60.data	  5.0	-1.195	 1.301	
p30_a70.data	  5.0	-1.221	 1.157	
p30_a80.data	  5.0	-1.421	 0.912	
p30_a90.data	  5.0	-1.636	 0.618	
p30_a00.data	 15.0	-2.460	 5.746	
p30_a01.data	 15.0	-2.412	 5.564	
p30_a02.data	 15.0	-2.499	 5.579	
p30_a03.data	 15.0	-2.490	 5.375	
p30_a04.data	 15.0	-2.046	 4.520	
p30_a05.data	 15.0	-1.763	 3.891	
p30_a06.data	 15.0	-1.665	 3.741	
p30_a07.data	 15.0	-1.625	 3.405	
p30_a08.data	 15.0	-1.499	 3.264	
p30_a09.data	 15.0	-1.595	 3.215	
p30_a10.data	 15.0	-1.551	 3.057	
p30_a20.data	 15.0	-1.375	 2.443	
p30_a30.data	 15.0	-1.369	 2.342	
p30_a40.data	 15.0	-1.287	 2.143	
p30_a50.data	 15.0	-1.272	 2.036	
p30_a60.data	 15.0	-1.273	 1.789	
p30_a70.data	 15.0	-1.321	 1.606	
p30_a80.data	 15.0	-1.375	 1.266	
p30_a90.data	 15.0	-1.534	 0.823	
p35_a00.data	 15.0	-3.204	 11.470	
p35_a01.data	 15.0	-3.383	 11.641	
p35_a02.data	 15.0	-3.449	 11.519	
p35_a03.data	 15.0	-2.965	 9.762	
p35_a04.data	 15.0	-3.061	 9.615	
p35_a05.data	 15.0	-3.221	 9.510	
p35_a06.data	 15.0	-3.205	 9.416	
p35_a07.data	 15.0	-3.264	 9.229	
p35_a08.data	 15.0	-3.325	 9.093	
p35_a09.data	 15.0	-3.384	 9.139	
p35_a10.data	 15.0	-3.509	 9.044	
p35_a20.data	 15.0	-2.695	 5.722	
p35_a30.data	 15.0	-1.887	 3.860	
p35_a40.data	 15.0	-1.692	 3.528	
p35_a50.data	 15.0	-1.531	 3.060	
p35_a60.data	 15.0	-1.464	 2.638	
p35_a70.data	 15.0	-1.323	 2.022	
p35_a80.data	 15.0	-1.352	 1.544	
p35_a90.data	 15.0	-1.688	 0.943	
p30_a00.data	 10.0	-2.371	 6.014	
p30_a01.data	 10.0	-2.438	 6.008	
p30_a02.data	 10.0	-2.451	 5.948	
p30_a03.data	 10.0	-2.489	 5.743	
p30_a04.data	 10.0	-2.236	 5.144	
p30_a05.data	 10.0	-2.117	 4.732	
p30_a06.data	 10.0	-1.665	 3.966	
p30_a07.data	 10.0	-1.589	 3.717	
p30_a08.data	 10.0	-1.563	 3.554	
p30_a09.data	 10.0	-1.484	 3.360	
p30_a10.data	 10.0	-1.532	 3.312	
p30_a20.data	 10.0	-1.296	 2.456	
p30_a30.data	 10.0	-1.214	 2.157	
p30_a40.data	 10.0	-1.213	 2.069	
p30_a50.data	 10.0	-1.275	 2.016	
p30_a60.data	 10.0	-1.173	 1.671	
p30_a70.data	 10.0	-1.223	 1.468	
p30_a80.data	 10.0	-1.444	 1.176	
p30_a90.data	 10.0	-1.641	 0.743	
p35_a00.data	 10.0	-3.321	 11.622	
p35_a01.data	 10.0	-3.449	 11.853	
p35_a02.data	 10.0	-3.483	 11.466	
p35_a03.data	 10.0	-3.108	 10.066	
p35_a04.data	 10.0	-3.126	 9.703	
p35_a05.data	 10.0	-3.238	 9.731	
p35_a06.data	 10.0	-3.294	 9.474	
p35_a07.data	 10.0	-3.355	 9.300	
p35_a08.data	 10.0	-3.414	 9.229	
p35_a09.data	 10.0	-3.545	 9.267	
p35_a10.data	 10.0	-2.476	 6.525	
p35_a20.data	 10.0	-2.227	 4.922	
p35_a30.data	 10.0	-1.703	 3.555	
p35_a40.data	 10.0	-1.603	 3.256	
p35_a50.data	 10.0	-1.570	 2.911	
p35_a60.data	 10.0	-1.366	 2.375	
p35_a70.data	 10.0	-1.274	 1.880	
p35_a80.data	 10.0	-1.337	 1.344	
p35_a90.data	 10.0	-1.732	 0.791	
a-5.0.data	  -5.0	-1.292	 3.924	
a1.0.data	  -5.0	-1.294	 3.771	
a1-5.0.data	  -5.0	-0.950	 2.306	
a2.0.data	  -5.0	-1.280	 3.618	
a2-5.0.data	  -5.0	-0.869	 1.670	
a3.0.data	  -5.0	-1.203	 3.374	
a3-5.0.data	  -5.0	-0.921	 1.537	
a4.0.data	  -5.0	-1.184	 3.225	
a4-5.0.data	  -5.0	-0.964	 1.451	
a5.0.data	  -5.0	-1.007	 2.849	
a5-5.0.data	  -5.0	-0.956	 1.320	
a6.0.data	  -5.0	-0.907	 2.683	
a6-5.0.data	  -5.0	-1.100	 1.163	
a7.0.data	  -5.0	-1.002	 2.587	
a7-5.0.data	  -5.0	-1.228	 1.015	
a8.0.data	  -5.0	-0.909	 2.426	
a8-5.0.data	  -5.0	-1.367	 0.732	
a9.0.data	  -5.0	-0.910	 2.374	
a-5.0.data	  -5.0	-2.880	 10.281	
a1.0.data	  -5.0	-2.838	 9.696	
a1-5.0.data	  -5.0	-1.867	 4.968	
a2.0.data	  -5.0	-3.056	 9.601	
a2-5.0.data	  -5.0	-1.089	 2.894	
a3.0.data	  -5.0	-3.097	 9.386	
a3-5.0.data	  -5.0	-1.013	 2.266	
a4.0.data	  -5.0	-2.043	 6.654	
a4-5.0.data	  -5.0	-1.046	 2.174	
a5.0.data	  -5.0	-2.048	 6.374	
a5-5.0.data	  -5.0	-0.944	 1.863	
a6.0.data	  -5.0	-2.192	 6.345	
a6-5.0.data	  -5.0	-1.019	 1.597	
a7.0.data	  -5.0	-2.279	 6.222	
a7-5.0.data	  -5.0	-1.096	 1.228	
a8.0.data	  -5.0	-2.322	 5.968	
a8-5.0.data	  -5.0	-1.419	 0.923	
a9.0.data	  -5.0	-1.939	 5.188	
a9-5.0.data	  -5.0	-1.887	 0.427	
