May 28, 2009 15:32
529b02
H:\20090528-sws10-sls\LS_p30_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = -10
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
59.8907	2.700806E-1	2.960205E-1	1.373291E-2	1.068115E-2
59.9063	2.691650E-1	2.896118E-1	1.434326E-2	1.037598E-2
59.9219	2.615356E-1	2.975464E-1	1.373291E-2	1.098633E-2
59.9219	2.719116E-1	2.984619E-1	1.403809E-2	1.037598E-2
59.9375	2.639771E-1	2.963257E-1	1.403809E-2	1.068115E-2
59.9532	2.661133E-1	2.926636E-1	1.403809E-2	1.068115E-2
59.9532	2.639771E-1	2.941895E-1	1.403809E-2	1.068115E-2
59.9688	2.679443E-1	2.917480E-1	1.403809E-2	1.129150E-2
59.9844	2.661133E-1	2.957153E-1	1.434326E-2	1.068115E-2
59.9844	2.694702E-1	2.944946E-1	1.403809E-2	1.098633E-2
60.0	2.691650E-1	3.018188E-1	1.373291E-2	1.007080E-2
60.0157	2.694702E-1	2.960205E-1	1.464844E-2	1.098633E-2
60.0157	2.670288E-1	2.969360E-1	1.373291E-2	1.037598E-2
60.0313	2.688599E-1	2.963257E-1	1.342773E-2	1.098633E-2
60.0469	2.700806E-1	2.920532E-1	1.403809E-2	1.037598E-2
60.0469	2.639771E-1	2.947998E-1	1.434326E-2	1.129150E-2
60.0625	2.679443E-1	2.923584E-1	1.434326E-2	1.068115E-2
60.0782	2.719116E-1	2.966309E-1	1.434326E-2	1.098633E-2
60.0782	2.725220E-1	2.960205E-1	1.403809E-2	1.037598E-2
60.0938	2.706909E-1	2.975464E-1	1.403809E-2	1.098633E-2
60.0938	2.731323E-1	2.969360E-1	1.373291E-2	1.068115E-2
60.1094	2.725220E-1	2.960205E-1	1.403809E-2	1.007080E-2
60.125	2.688599E-1	2.947998E-1	1.403809E-2	1.098633E-2
60.125	2.664185E-1	2.902222E-1	1.403809E-2	1.098633E-2
60.1407	2.722168E-1	2.926636E-1	1.464844E-2	1.159668E-2
60.1563	2.648926E-1	2.975464E-1	1.434326E-2	1.129150E-2
60.1563	2.673340E-1	2.978516E-1	1.434326E-2	1.129150E-2
60.1719	2.697754E-1	2.975464E-1	1.373291E-2	1.098633E-2
60.1719	2.642822E-1	2.893066E-1	1.312256E-2	1.159668E-2
60.1875	2.645874E-1	2.957153E-1	1.434326E-2	1.037598E-2
60.2032	2.609253E-1	2.954102E-1	1.403809E-2	1.098633E-2
60.2032	2.703857E-1	2.978516E-1	1.403809E-2	1.098633E-2
